Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1410.9,1424.9,1401,1406.2,1404.1,1407.4,1411.83,1621.4,995.65,2777119,3920814647,76581.00,AdaniPorts
15-May-25,EQ,1375.6,1409.9,1371.9,1371.8,1401.5,1406.2,1395.34,1621.4,995.65,3706424,5171737002,128942.00,AdaniPorts
14-May-25,EQ,1380,1381.9,1362,1369.2,1377,1371.8,1373.76,1621.4,995.65,1557379,2139462540,68596.00,AdaniPorts
13-May-25,EQ,1360.6,1391.9,1347.1,1362.1,1370,1369.2,1371.81,1621.4,995.65,3356599,4604612632,113339.00,AdaniPorts
12-May-25,EQ,1360,1375,1345.5,1306.3,1361.5,1362.1,1362.35,1621.4,995.65,3662785,4989980394,108208.00,AdaniPorts
09-May-25,EQ,1300,1324.9,1292.6,1333.1,1313,1306.3,1308.75,1621.4,995.65,2979366,3899243342,117720.00,AdaniPorts
08-May-25,EQ,1340,1366.9,1316.4,1338.2,1320,1333.1,1347.7,1621.4,995.65,5077662,6843142149,181619.00,AdaniPorts
07-May-25,EQ,1298.8,1341.3,1298.7,1320.8,1337.5,1338.2,1328.96,1621.4,995.65,3269847,4345509640,111178.00,AdaniPorts
06-May-25,EQ,1350,1356.3,1315,1347.1,1316.4,1320.8,1327.58,1621.4,995.65,3604276,4784960530,106576.00,AdaniPorts
05-May-25,EQ,1290,1377,1285.7,1267.1,1346.5,1347.1,1340.74,1621.4,995.65,14191797,19027520645,306181.00,AdaniPorts
02-May-25,EQ,1255,1295,1242.7,1216.5,1269.7,1267.1,1273.43,1621.4,995.65,12024229,15312012661,319276.00,AdaniPorts
30-Apr-25,EQ,1215.1,1226.5,1203.9,1216.4,1215.8,1216.5,1218.89,1621.4,995.65,1824334,2223657525,69871.00,AdaniPorts
29-Apr-25,EQ,1212,1223.9,1202.5,1209.9,1216.7,1216.4,1216.5,1621.4,995.65,2381980,2897667983,69608.00,AdaniPorts
28-Apr-25,EQ,1188.1,1214.7,1184.1,1193,1207,1209.9,1204.43,1621.4,995.65,2646406,3187401336,102513.00,AdaniPorts
25-Apr-25,EQ,1236.3,1243.4,1181.2,1236.4,1189.5,1193,1198.87,1621.4,995.65,3628854,4350535463,129403.00,AdaniPorts
24-Apr-25,EQ,1238,1248,1231.6,1239.1,1236,1236.4,1238.81,1621.4,995.65,2133285,2642727021,69539.00,AdaniPorts
23-Apr-25,EQ,1240.1,1242.8,1216.8,1233.2,1237,1239.1,1232.79,1621.4,995.65,2580999,3181838658,72145.00,AdaniPorts
22-Apr-25,EQ,1249.6,1255.6,1227,1243.1,1228.2,1233.2,1245.23,1621.4,995.65,2932537,3651679928,95418.00,AdaniPorts
21-Apr-25,EQ,1259.4,1260,1209.4,1259.4,1243.4,1243.1,1231.63,1621.4,995.65,6049182,7450339085,148403.00,AdaniPorts
17-Apr-25,EQ,1232.9,1282.5,1218.6,1232.9,1261,1259.4,1253.24,1621.4,995.65,4280765,5364811285,138507.00,AdaniPorts
16-Apr-25,EQ,1210,1235.5,1201.6,1210.8,1235.5,1232.9,1217.92,1621.4,995.65,1909731,2325894725,74756.00,AdaniPorts
15-Apr-25,EQ,1200,1225.9,1179,1164.55,1212.8,1210.8,1209.91,1621.4,995.65,3176522,3843307369,108943.00,AdaniPorts
11-Apr-25,EQ,1163,1170.3,1148,1131.8,1162,1164.55,1161.8,1621.4,995.65,3536245,4108401026,106358.00,AdaniPorts
09-Apr-25,EQ,1133.85,1135.6,1112,1131.35,1135,1131.8,1123.75,1621.4,995.65,1537177,1727399262,86698.00,AdaniPorts
08-Apr-25,EQ,1135,1155.65,1111.05,1110.65,1133.15,1131.35,1130.81,1621.4,995.65,2423486,2740495975,91657.00,AdaniPorts
07-Apr-25,EQ,1049.95,1119,1041.5,1148.35,1119,1110.65,1094.18,1621.4,995.65,2192949,2399481626,117039.00,AdaniPorts
04-Apr-25,EQ,1196,1200.1,1143,1199.9,1152,1148.35,1162.37,1621.4,995.65,1785093,2074931547,80561.00,AdaniPorts
03-Apr-25,EQ,1170.25,1205.8,1170.25,1195.45,1201.3,1199.9,1195.41,1621.4,995.65,1300511,1554645099,56947.00,AdaniPorts
02-Apr-25,EQ,1182.4,1198.95,1167.35,1174.75,1193.5,1195.45,1187.75,1621.4,995.65,1232853,1464317480,50998.00,AdaniPorts
01-Apr-25,EQ,1179,1202,1168.05,1182.95,1176.5,1174.75,1183.25,1621.4,995.65,1584541,1874903889,72638.00,AdaniPorts
28-Mar-25,EQ,1197.7,1205,1175.2,1196.75,1180.5,1182.95,1190.15,1621.4,995.65,1670913,1988642935,83630.00,AdaniPorts
27-Mar-25,EQ,1182,1212,1175,1181.6,1201,1196.75,1189.12,1621.4,995.65,2004036,2383032583,80456.00,AdaniPorts
26-Mar-25,EQ,1183,1202.2,1173.05,1182.45,1181,1181.6,1188.53,1621.4,995.65,1676081,1992077775,75984.00,AdaniPorts
25-Mar-25,EQ,1205,1209.1,1174.55,1200.8,1179.7,1182.45,1187.91,1621.4,995.65,2090037,2482776268,88959.00,AdaniPorts
24-Mar-25,EQ,1196,1210.85,1186.05,1188.8,1200.5,1200.8,1202.5,1621.4,995.65,2135192,2567573243,65546.00,AdaniPorts
21-Mar-25,EQ,1182,1202.55,1172.05,1177.45,1189,1188.8,1189.51,1621.4,995.65,3127446,3720129319,74993.00,AdaniPorts
20-Mar-25,EQ,1185,1186.95,1161.2,1173.5,1175,1177.45,1173.77,1621.4,995.65,1919013,2252470953,62423.00,AdaniPorts
19-Mar-25,EQ,1160,1184.5,1158.8,1158.8,1171.7,1173.5,1174.86,1621.4,995.65,2416781,2839383400,70214.00,AdaniPorts
