Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,7080.00,7105.00,6993.00,7072.50,7000.00,7015.00,7038.35,7545.35,5693.20,270773.00,1905794168.00,35087.00,ApolloHosp
15-May-25,EQ,6942.00,7096.50,6870.00,6916.50,7086.50,7072.50,6956.47,7545.35,5693.20,656146.00,4564460084.50,81911.00,ApolloHosp
14-May-25,EQ,6930.00,6993.00,6862.50,6917.50,6918.00,6916.50,6922.17,7545.35,5693.20,324593.00,2246888910.00,37449.00,ApolloHosp
13-May-25,EQ,6908.00,7013.00,6900.00,6926.00,6926.00,6917.50,6944.67,7545.35,5693.20,323598.00,2247282790.00,49744.00,ApolloHosp
12-May-25,EQ,6800.00,6940.50,6758.50,6722.00,6920.00,6926.00,6892.09,7545.35,5693.20,237009.00,1633486796.50,37188.00,ApolloHosp
09-May-25,EQ,6735.50,6844.00,6677.50,6851.50,6724.00,6722.00,6725.29,7545.35,5693.20,428193.00,2879720868.50,49000.00,ApolloHosp
08-May-25,EQ,6950.00,6979.00,6806.00,6983.00,6815.00,6851.50,6876.94,7545.35,5693.20,383274.00,2635751037.00,58211.00,ApolloHosp
07-May-25,EQ,6970.00,7056.00,6950.00,7009.00,6970.00,6983.00,7004.11,7545.35,5693.20,338311.00,2369568251.00,36369.00,ApolloHosp
06-May-25,EQ,6999.50,7074.00,6950.00,6974.00,6994.50,7009.00,7016.28,7545.35,5693.20,292595.00,2052928828.50,37108.00,ApolloHosp
05-May-25,EQ,6960.00,7031.00,6950.00,6954.50,6970.00,6974.00,6990.77,7545.35,5693.20,259097.00,1811287436.50,32443.00,ApolloHosp
02-May-25,EQ,6922.00,7098.00,6913.50,6977.00,6926.50,6954.50,6976.68,7545.35,5693.20,269757.00,1882009602.00,40701.00,ApolloHosp
30-Apr-25,EQ,6992.00,7035.50,6920.00,6992.50,6970.00,6977.00,6981.86,7545.35,5693.20,499567.00,3487907965.00,43279.00,ApolloHosp
29-Apr-25,EQ,7049.00,7090.00,6976.00,7045.00,6990.00,6992.50,7013.69,7545.35,5693.20,174253.00,1222156074.00,31643.00,ApolloHosp
28-Apr-25,EQ,6954.50,7056.00,6954.50,6953.00,7033.00,7045.00,7015.79,7545.35,5693.20,379519.00,2662625802.00,51170.00,ApolloHosp
25-Apr-25,EQ,7169.50,7243.00,6898.00,7159.50,6932.00,6953.00,7006.62,7545.35,5693.20,550158.00,3854749213.50,48287.00,ApolloHosp
24-Apr-25,EQ,7141.50,7184.50,7093.50,7142.00,7130.00,7159.50,7132.37,7545.35,5693.20,277769.00,1981152148.50,38007.00,ApolloHosp
23-Apr-25,EQ,7088.50,7169.00,7071.50,7088.50,7110.50,7142.00,7131.71,7545.35,5693.20,287593.00,2051030286.00,46415.00,ApolloHosp
22-Apr-25,EQ,7141.50,7172.50,7070.00,7142.50,7071.50,7088.50,7105.63,7545.35,5693.20,305540.00,2171054012.50,27612.00,ApolloHosp
21-Apr-25,EQ,7150.00,7189.00,7058.00,7073.50,7137.00,7142.50,7144.13,7545.35,5693.20,244570.00,1747240778.00,43111.00,ApolloHosp
17-Apr-25,EQ,7038.00,7092.00,7000.00,7005.50,7075.00,7073.50,7043.56,7545.35,5693.20,533349.00,3756677314.00,74246.00,ApolloHosp
16-Apr-25,EQ,6870.00,7034.50,6865.00,6905.00,7010.00,7005.50,6982.48,7545.35,5693.20,621996.00,4343072739.00,99827.00,ApolloHosp
15-Apr-25,EQ,6965.00,6965.00,6835.00,6780.95,6896.50,6905.00,6892.78,7545.35,5693.20,778401.00,5365343189.00,82124.00,ApolloHosp
11-Apr-25,EQ,6822.70,6870.95,6765.50,6834.10,6798.00,6780.95,6813.29,7545.35,5693.20,652003.00,4442286784.60,56646.00,ApolloHosp
09-Apr-25,EQ,6665.00,6851.45,6665.00,6755.60,6840.85,6834.10,6818.76,7545.35,5693.20,680834.00,4642446394.50,58855.00,ApolloHosp
08-Apr-25,EQ,6725.00,6790.00,6716.25,6683.30,6748.05,6755.60,6764.38,7545.35,5693.20,578124.00,3910651919.40,60815.00,ApolloHosp
07-Apr-25,EQ,6565.00,6725.70,6490.85,6714.55,6714.50,6683.30,6665.36,7545.35,5693.20,744140.00,4959957323.80,88565.00,ApolloHosp
04-Apr-25,EQ,6672.00,6735.00,6582.00,6671.35,6735.00,6714.55,6668.51,7545.35,5693.20,279897.00,1866496394.45,49107.00,ApolloHosp
03-Apr-25,EQ,6675.05,6774.95,6660.05,6732.15,6670.05,6671.35,6719.10,7545.35,5693.20,312519.00,2099846930.15,35390.00,ApolloHosp
02-Apr-25,EQ,6632.30,6746.40,6632.30,6632.30,6720.35,6732.15,6714.59,7545.35,5693.20,292940.00,1966972486.35,32949.00,ApolloHosp
01-Apr-25,EQ,6599.00,6661.90,6545.65,6616.20,6632.25,6632.30,6619.95,7545.35,5693.20,319668.00,2116186073.10,37045.00,ApolloHosp
28-Mar-25,EQ,6492.05,6649.75,6432.95,6492.05,6614.00,6616.20,6568.44,7545.35,5693.20,413873.00,2718498644.80,62767.00,ApolloHosp
27-Mar-25,EQ,6500.05,6559.95,6430.25,6519.80,6470.00,6492.05,6497.94,7545.35,5693.20,728926.00,4736520209.25,86671.00,ApolloHosp
26-Mar-25,EQ,6653.80,6680.00,6491.05,6644.70,6529.10,6519.80,6579.39,7545.35,5693.20,281646.00,1853058903.15,57614.00,ApolloHosp
25-Mar-25,EQ,6596.50,6667.15,6562.05,6615.80,6650.00,6644.70,6632.05,7545.35,5693.20,223679.00,1483450948.20,33944.00,ApolloHosp
24-Mar-25,EQ,6649.40,6699.95,6600.45,6611.55,6630.00,6615.80,6645.96,7545.35,5693.20,390002.00,2591936621.35,55252.00,ApolloHosp
21-Mar-25,EQ,6494.00,6634.10,6470.05,6474.35,6615.00,6611.55,6585.02,7545.35,5693.20,496635.00,3270351594.65,45117.00,ApolloHosp
20-Mar-25,EQ,6465.00,6484.65,6363.75,6427.55,6473.30,6474.35,6433.74,7545.35,5693.20,457285.00,2942053562.50,52921.00,ApolloHosp
19-Mar-25,EQ,6275.25,6434.90,6227.10,6246.80,6430.00,6427.55,6388.76,7545.35,5693.20,579880.00,3704711430.65,58740.00,ApolloHosp
18-Mar-25,EQ,6209.90,6260.95,6162.50,6156.65,6240.35,6246.80,6229.94,7545.35,5693.20,308477.00,1921794003.55,40776.00,ApolloHosp
17-Mar-25,EQ,6002.00,6204.20,6002.00,6105.65,6160.00,6156.65,6151.09,7545.35,5693.20,287639.00,1769293737.20,34958.00,ApolloHosp
13-Mar-25,EQ,6155.10,6200.00,6082.10,6143.75,6095.20,6105.65,6110.26,7545.35,5693.20,247628.00,1513072020.55,33961.00,ApolloHosp
12-Mar-25,EQ,6134.10,6157.95,6063.75,6134.80,6140.00,6143.75,6106.33,7545.35,5693.20,250139.00,1527430729.65,35934.00,ApolloHosp
11-Mar-25,EQ,6130.00,6155.70,6040.00,6149.60,6134.10,6134.80,6084.71,7545.35,5693.20,526709.00,3204870279.30,69621.00,ApolloHosp
10-Mar-25,EQ,6206.40,6212.00,6133.90,6216.10,6150.00,6149.60,6167.89,7545.35,5693.20,266044.00,1640929690.20,30485.00,ApolloHosp
07-Mar-25,EQ,6292.25,6314.75,6197.30,6274.10,6207.80,6216.10,6257.88,7545.35,5693.20,299433.00,1873817118.45,42613.00,ApolloHosp
06-Mar-25,EQ,6255.00,6292.00,6217.05,6214.40,6279.00,6274.10,6271.79,7545.35,5693.20,284475.00,1784168174.25,49711.00,ApolloHosp
05-Mar-25,EQ,6200.00,6235.05,6130.65,6188.15,6223.00,6214.40,6191.79,7545.35,5693.20,345922.00,2141877791.60,40891.00,ApolloHosp
04-Mar-25,EQ,6133.00,6220.50,6112.30,6170.60,6199.95,6188.15,6186.12,7545.35,5693.20,445246.00,2754347127.70,41698.00,ApolloHosp
03-Mar-25,EQ,6025.60,6195.00,6001.00,6052.60,6182.00,6170.60,6142.57,7545.35,5693.20,373515.00,2294341330.55,81757.00,ApolloHosp
28-Feb-25,EQ,6145.05,6145.05,6001.35,6185.20,6085.00,6052.60,6059.80,7545.35,5693.20,845516.00,5123660526.45,75645.00,ApolloHosp
27-Feb-25,EQ,6261.00,6282.25,6145.45,6251.35,6170.00,6185.20,6189.22,7545.35,5693.20,397857.00,2462424029.75,75758.00,ApolloHosp
25-Feb-25,EQ,6251.00,6279.95,6213.05,6251.40,6255.00,6251.35,6248.90,7545.35,5693.20,421160.00,2631786473.70,49887.00,ApolloHosp
24-Feb-25,EQ,6275.00,6275.00,6236.00,6317.55,6255.00,6251.40,6254.18,7545.35,5693.20,458224.00,2865816461.00,45968.00,ApolloHosp
21-Feb-25,EQ,6362.30,6395.60,6292.95,6390.95,6303.10,6317.55,6325.95,7545.35,5693.20,220428.00,1394416494.75,41282.00,ApolloHosp
20-Feb-25,EQ,6384.25,6469.45,6377.90,6422.65,6394.00,6390.95,6414.52,7545.35,5693.20,165304.00,1060345176.15,32942.00,ApolloHosp
19-Feb-25,EQ,6348.25,6435.00,6284.25,6376.85,6413.00,6422.65,6398.67,7545.35,5693.20,195067.00,1248169478.10,31118.00,ApolloHosp
18-Feb-25,EQ,6320.00,6390.00,6320.00,6300.20,6358.00,6376.85,6365.72,7545.35,5693.20,220118.00,1401210502.85,43260.00,ApolloHosp
17-Feb-25,EQ,6150.00,6317.00,6150.00,6270.50,6295.00,6300.20,6255.16,7545.35,5693.20,482329.00,3017046319.80,84163.00,ApolloHosp
14-Feb-25,EQ,6377.25,6379.90,6230.60,6372.20,6256.75,6270.50,6279.80,7545.35,5693.20,320088.00,2010088567.35,59915.00,ApolloHosp
13-Feb-25,EQ,6372.25,6425.00,6344.45,6374.55,6365.95,6372.20,6380.27,7545.35,5693.20,636246.00,4059421477.95,86464.00,ApolloHosp
12-Feb-25,EQ,6349.60,6494.05,6215.00,6317.35,6381.00,6374.55,6366.90,7545.35,5693.20,1133586.00,7217425763.65,149886.00,ApolloHosp
11-Feb-25,EQ,6799.90,6815.00,6282.50,6761.25,6314.00,6317.35,6406.94,7545.35,5693.20,1728723.00,11075833041.55,235653.00,ApolloHosp
10-Feb-25,EQ,6817.20,6834.35,6686.00,6790.55,6792.95,6761.25,6741.21,7545.35,5693.20,213808.00,1441324013.00,46186.00,ApolloHosp
07-Feb-25,EQ,6921.45,6929.85,6750.00,6874.25,6804.00,6790.55,6829.44,7545.35,5693.20,259335.00,1771112959.30,52962.00,ApolloHosp
06-Feb-25,EQ,6837.40,6925.00,6785.55,6944.65,6880.00,6874.25,6865.72,7545.35,5693.20,334197.00,2294504038.55,47606.00,ApolloHosp
05-Feb-25,EQ,6826.15,7008.00,6796.45,6792.20,6958.00,6944.65,6946.68,7545.35,5693.20,389639.00,2706697294.20,46679.00,ApolloHosp
04-Feb-25,EQ,6785.00,6816.60,6706.30,6798.65,6786.00,6792.20,6760.29,7545.35,5693.20,223642.00,1511883906.40,36953.00,ApolloHosp
03-Feb-25,EQ,6781.60,6886.75,6724.95,6841.10,6792.00,6798.65,6799.98,7545.35,5693.20,250589.00,1704000317.95,47631.00,ApolloHosp
01-Feb-25,EQ,6810.30,6940.00,6810.25,6810.50,6825.00,6841.10,6875.22,7545.35,5693.20,117096.00,805061258.60,17817.00,ApolloHosp
31-Jan-25,EQ,6822.25,6880.00,6789.15,6824.65,6832.00,6810.50,6822.10,7545.35,5693.20,187712.00,1280589941.30,25591.00,ApolloHosp
30-Jan-25,EQ,6786.25,6895.00,6770.35,6784.30,6840.00,6824.65,6835.40,7545.35,5693.20,204648.00,1398851821.35,38769.00,ApolloHosp
29-Jan-25,EQ,6741.00,6798.75,6697.25,6708.95,6772.05,6784.30,6760.37,7545.35,5693.20,146288.00,988960961.60,32729.00,ApolloHosp
28-Jan-25,EQ,6699.00,6747.50,6635.05,6695.45,6720.10,6708.95,6702.02,7545.35,5693.20,202194.00,1355109159.65,37212.00,ApolloHosp
27-Jan-25,EQ,6700.00,6729.80,6674.35,6745.05,6698.40,6695.45,6704.07,7545.35,5693.20,191705.00,1285203027.60,34020.00,ApolloHosp
24-Jan-25,EQ,6915.25,6915.25,6728.45,6920.85,6742.00,6745.05,6792.20,7545.35,5693.20,317194.00,2154444036.50,47547.00,ApolloHosp
23-Jan-25,EQ,6892.25,6963.10,6823.20,6892.90,6941.85,6920.85,6901.38,7545.35,5693.20,271085.00,1870859493.15,51902.00,ApolloHosp
22-Jan-25,EQ,6908.00,6941.95,6829.90,6919.15,6900.00,6892.90,6880.19,7545.35,5693.20,247081.00,1699964887.70,41319.00,ApolloHosp
21-Jan-25,EQ,6838.00,7014.95,6838.00,6780.85,6925.00,6919.15,6964.50,7545.35,5693.20,799900.00,5570900583.50,88051.00,ApolloHosp
20-Jan-25,EQ,6901.00,6910.00,6740.00,6828.10,6767.00,6780.85,6793.06,7545.35,5693.20,120356.00,817585870.35,26704.00,ApolloHosp
17-Jan-25,EQ,6819.95,6845.00,6762.30,6789.65,6813.45,6828.10,6813.60,7545.35,5693.20,166710.00,1135895852.25,24619.00,ApolloHosp
16-Jan-25,EQ,6760.00,6807.80,6700.05,6691.85,6800.95,6789.65,6757.56,7545.35,5693.20,579821.00,3918172500.65,84362.00,ApolloHosp
15-Jan-25,EQ,6749.60,6759.95,6608.00,6706.85,6727.90,6691.85,6691.82,7545.35,5693.20,547360.00,3662834579.15,71429.00,ApolloHosp
14-Jan-25,EQ,6854.60,6899.00,6683.10,6839.60,6716.00,6706.85,6739.76,7545.35,5693.20,362659.00,2444235228.95,53488.00,ApolloHosp
13-Jan-25,EQ,7000.00,7000.00,6756.05,7036.75,6852.05,6839.60,6841.15,7545.35,5693.20,431086.00,2949123170.35,55878.00,ApolloHosp
10-Jan-25,EQ,7090.00,7139.00,7016.85,7091.55,7025.10,7036.75,7056.03,7545.35,5640.00,185381.00,1308054410.05,37098.00,ApolloHosp
09-Jan-25,EQ,7140.00,7163.70,6991.10,7142.65,7102.00,7091.55,7092.48,7545.35,5640.00,305521.00,2166900187.20,46494.00,ApolloHosp
08-Jan-25,EQ,7448.75,7460.00,7131.00,7436.75,7135.05,7142.65,7242.98,7545.35,5640.00,450295.00,3261475594.15,70699.00,ApolloHosp
07-Jan-25,EQ,7466.25,7545.35,7345.20,7429.15,7430.00,7436.75,7454.47,7545.35,5640.00,398234.00,2968625281.45,49799.00,ApolloHosp
06-Jan-25,EQ,7298.35,7473.00,7290.75,7298.35,7440.00,7429.15,7396.34,7545.00,5640.00,527272.00,3899883906.55,63050.00,ApolloHosp
03-Jan-25,EQ,7427.95,7437.55,7280.00,7421.65,7320.00,7298.35,7338.72,7545.00,5640.00,180636.00,1325636931.20,30041.00,ApolloHosp
02-Jan-25,EQ,7405.00,7444.95,7333.05,7369.65,7405.10,7421.65,7410.82,7545.00,5640.00,265991.00,1971212631.60,38557.00,ApolloHosp
01-Jan-25,EQ,7320.00,7445.00,7300.40,7296.35,7370.00,7369.65,7397.50,7545.00,5640.00,341399.00,2525500161.90,49129.00,ApolloHosp
31-Dec-24,EQ,7305.60,7365.95,7252.80,7314.25,7296.00,7296.35,7308.18,7545.00,5640.00,212227.00,1550992740.90,34635.00,ApolloHosp
30-Dec-24,EQ,7240.00,7378.40,7220.05,7246.30,7303.00,7314.25,7306.51,7545.00,5640.00,428884.00,3133645612.25,52011.00,ApolloHosp
27-Dec-24,EQ,7261.15,7295.00,7155.00,7261.15,7250.00,7246.30,7246.08,7545.00,5526.15,189089.00,1370153976.00,32337.00,ApolloHosp
26-Dec-24,EQ,7272.20,7298.05,7224.75,7240.00,7252.00,7261.15,7265.41,7545.00,5526.15,116439.00,845977065.45,26463.00,ApolloHosp
24-Dec-24,EQ,7260.00,7279.75,7210.40,7265.10,7221.00,7240.00,7247.49,7545.00,5526.15,146814.00,1064032661.20,34052.00,ApolloHosp
23-Dec-24,EQ,7251.10,7329.90,7185.00,7251.70,7250.00,7265.10,7259.41,7545.00,5526.15,179062.00,1299884747.00,41082.00,ApolloHosp
