Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,2333.90,2355.00,2315.00,2329.90,2353.00,2353.60,2340.13,3394.90,2124.75,785113.00,1837268694.20,54809.00,Asianpaint
15-May-25,EQ,2285.00,2335.50,2268.00,2282.30,2331.40,2329.90,2306.60,3394.90,2124.75,1675016.00,3863590864.00,113120.00,Asianpaint
14-May-25,EQ,2319.00,2319.00,2277.10,2324.60,2286.00,2282.30,2288.00,3394.90,2124.75,1549845.00,3546048010.40,116059.00,Asianpaint
13-May-25,EQ,2354.00,2358.00,2315.10,2356.40,2322.60,2324.60,2328.80,3394.90,2124.75,1220489.00,2842270299.00,81010.00,Asianpaint
12-May-25,EQ,2330.00,2378.50,2321.00,2299.60,2339.30,2356.40,2358.02,3394.90,2124.75,940135.00,2216852600.70,47346.00,Asianpaint
09-May-25,EQ,2246.60,2331.80,2245.00,2302.60,2307.90,2299.60,2300.34,3394.90,2124.75,1503010.00,3457441372.60,92881.00,Asianpaint
08-May-25,EQ,2322.00,2349.10,2293.50,2334.10,2300.00,2302.60,2318.80,3394.90,2124.75,2292261.00,5315292783.00,135625.00,Asianpaint
07-May-25,EQ,2388.00,2405.70,2318.50,2418.00,2322.00,2334.10,2361.98,3394.90,2124.75,1711760.00,4043139077.00,109336.00,Asianpaint
06-May-25,EQ,2442.00,2449.90,2391.10,2436.90,2414.40,2418.00,2413.16,3394.90,2124.75,702819.00,1696015229.20,43489.00,Asianpaint
05-May-25,EQ,2423.10,2475.00,2423.10,2409.80,2441.00,2436.90,2454.15,3394.90,2124.75,1229593.00,3017608685.60,70327.00,Asianpaint
02-May-25,EQ,2425.00,2444.90,2398.00,2425.70,2406.00,2409.80,2421.26,3394.90,2124.75,928084.00,2247136438.60,58084.00,Asianpaint
30-Apr-25,EQ,2450.00,2462.20,2401.50,2451.10,2416.50,2425.70,2432.24,3394.90,2124.75,1479678.00,3598936957.00,77845.00,Asianpaint
29-Apr-25,EQ,2460.00,2472.00,2441.60,2452.20,2456.10,2451.10,2456.45,3394.90,2124.75,1235066.00,3033872117.50,63588.00,Asianpaint
28-Apr-25,EQ,2419.90,2459.80,2405.00,2431.60,2446.20,2452.20,2440.86,3394.90,2124.75,554922.00,1354485970.80,52292.00,Asianpaint
25-Apr-25,EQ,2464.30,2468.70,2413.70,2464.40,2425.70,2431.60,2432.80,3394.90,2124.75,702217.00,1708355787.60,60107.00,Asianpaint
24-Apr-25,EQ,2450.00,2491.00,2435.90,2453.10,2466.40,2464.40,2465.69,3394.90,2124.75,1203452.00,2967336184.40,77050.00,Asianpaint
