Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1206.00,1213.30,1203.20,1209.10,1209.00,1208.80,1208.00,1339.65,933.50,4016269.00,4851654282.70,115311.00,AxisBank
15-May-25,EQ,1197.00,1217.00,1185.00,1195.50,1206.80,1209.10,1203.61,1339.65,933.50,6705748.00,8071105980.00,174483.00,AxisBank
14-May-25,EQ,1195.90,1199.40,1185.90,1193.60,1195.00,1195.50,1194.03,1339.65,933.50,4084921.00,4877518351.90,94453.00,AxisBank
13-May-25,EQ,1205.20,1214.80,1190.00,1203.00,1193.30,1193.60,1199.55,1339.65,933.50,5569926.00,6681384586.00,143677.00,AxisBank
12-May-25,EQ,1185.00,1209.00,1175.20,1151.10,1204.50,1203.00,1197.68,1339.65,933.50,7616208.00,9121777672.80,170402.00,AxisBank
09-May-25,EQ,1160.00,1172.20,1148.50,1172.20,1153.00,1151.10,1156.15,1339.65,933.50,5379571.00,6219617831.20,134431.00,AxisBank
08-May-25,EQ,1170.00,1179.00,1165.60,1161.30,1170.00,1172.20,1173.55,1339.65,933.50,9912347.00,11632634928.60,144531.00,AxisBank
07-May-25,EQ,1159.00,1168.60,1152.90,1161.40,1163.00,1161.30,1161.58,1339.65,933.50,4263817.00,4952774071.20,116326.00,AxisBank
06-May-25,EQ,1178.00,1178.80,1157.70,1173.20,1159.00,1161.40,1165.99,1339.65,933.50,5348267.00,6236023777.50,166692.00,AxisBank
05-May-25,EQ,1190.00,1190.00,1164.30,1182.20,1174.10,1173.20,1173.52,1339.65,933.50,7236056.00,8491687633.10,168773.00,AxisBank
02-May-25,EQ,1182.10,1210.50,1180.10,1185.00,1180.60,1182.20,1193.54,1339.65,933.50,6567678.00,7838803788.20,161531.00,AxisBank
30-Apr-25,EQ,1185.10,1193.90,1175.00,1187.30,1183.50,1185.00,1186.17,1339.65,933.50,6288257.00,7458962812.10,168279.00,AxisBank
29-Apr-25,EQ,1194.00,1210.00,1184.40,1192.80,1189.60,1187.30,1195.01,1339.65,933.50,6074520.00,7259133821.40,181038.00,AxisBank
28-Apr-25,EQ,1166.30,1196.00,1164.30,1166.30,1191.30,1192.80,1184.18,1339.65,933.50,5523502.00,6540831412.90,121834.00,AxisBank
25-Apr-25,EQ,1177.00,1179.90,1146.00,1207.10,1165.30,1166.30,1162.38,1339.65,933.50,17243807.00,20043777250.10,333692.00,AxisBank
24-Apr-25,EQ,1199.10,1220.00,1199.10,1206.90,1208.50,1207.10,1210.12,1339.65,933.50,9078137.00,10985620863.50,136986.00,AxisBank
23-Apr-25,EQ,1225.30,1230.00,1194.90,1216.80,1206.00,1206.90,1206.08,1339.65,933.50,9433911.00,11378095632.10,148975.00,AxisBank
22-Apr-25,EQ,1230.40,1235.00,1212.10,1223.00,1215.20,1216.80,1220.89,1339.65,933.50,8461710.00,10330801929.40,235824.00,AxisBank
21-Apr-25,EQ,1202.00,1238.70,1198.10,1190.80,1220.90,1223.00,1226.10,1339.65,933.50,15166580.00,18595779710.90,282053.00,AxisBank
17-Apr-25,EQ,1155.60,1199.20,1153.60,1161.30,1190.10,1190.80,1182.78,1339.65,933.50,13446336.00,15904022428.70,250174.00,AxisBank
16-Apr-25,EQ,1122.70,1163.50,1112.60,1112.80,1161.00,1161.30,1149.46,1339.65,933.50,12836428.00,14754907008.10,276884.00,AxisBank
15-Apr-25,EQ,1090.00,1117.00,1083.00,1068.95,1115.50,1112.80,1108.13,1339.65,933.50,9320299.00,10328121177.80,181266.00,AxisBank
11-Apr-25,EQ,1063.30,1072.70,1057.55,1061.65,1068.75,1068.95,1065.89,1339.65,933.50,8144072.00,8680653944.90,137579.00,AxisBank
09-Apr-25,EQ,1073.10,1081.85,1058.00,1077.85,1063.40,1061.65,1065.69,1339.65,933.50,6690201.00,7129710618.60,154579.00,AxisBank
08-Apr-25,EQ,1061.00,1084.95,1060.30,1047.95,1078.00,1077.85,1076.17,1339.65,933.50,8723357.00,9387848610.45,226367.00,AxisBank
07-Apr-25,EQ,1035.00,1069.00,1032.35,1091.30,1052.00,1047.95,1046.57,1339.65,933.50,9720457.00,10173097350.30,298776.00,AxisBank
04-Apr-25,EQ,1081.50,1101.90,1075.45,1089.85,1090.10,1091.30,1089.41,1339.65,933.50,6059991.00,6601824905.10,128117.00,AxisBank
