Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,9188.50,9286.00,9133.50,9188.50,9172.00,9167.00,9185.88,9660.00,6375.70,625192.00,5742936175.50,63031.00,BajFinance
15-May-25,EQ,9099.50,9215.00,9028.00,9081.00,9182.00,9188.50,9125.14,9660.00,6375.70,1038500.00,9476457633.00,109672.00,BajFinance
14-May-25,EQ,9045.00,9110.50,9012.00,9042.00,9076.00,9081.00,9067.58,9660.00,6375.70,759400.00,6885920342.50,82137.00,BajFinance
13-May-25,EQ,9004.00,9163.50,8991.00,9018.50,9050.00,9042.00,9077.14,9660.00,6375.70,1336300.00,12129788245.50,136605.00,BajFinance
12-May-25,EQ,8849.00,9030.00,8825.50,8641.00,9013.00,9018.50,8973.91,9660.00,6375.70,1063822.00,9546640596.00,84970.00,BajFinance
09-May-25,EQ,8650.00,8781.00,8605.00,8832.50,8662.00,8641.00,8663.06,9660.00,6375.70,1215134.00,10526776560.00,114043.00,BajFinance
08-May-25,EQ,8977.00,9074.50,8775.00,8986.50,8780.00,8832.50,8905.64,9660.00,6375.70,1201809.00,10702875236.00,117820.00,BajFinance
07-May-25,EQ,8750.00,8997.50,8723.00,8797.50,8977.00,8986.50,8916.04,9660.00,6375.70,1163557.00,10374320490.00,122242.00,BajFinance
06-May-25,EQ,8911.00,8974.00,8750.00,8932.00,8785.00,8797.50,8812.05,9660.00,6375.70,1204087.00,10610479824.50,123221.00,BajFinance
05-May-25,EQ,8877.50,9033.00,8866.00,8862.50,8940.00,8932.00,8943.11,9660.00,6375.70,893061.00,7986738577.50,101616.00,BajFinance
02-May-25,EQ,8575.50,8915.00,8566.00,8634.50,8868.00,8862.50,8737.66,9660.00,6375.70,2202675.00,19246231281.50,182711.00,BajFinance
30-Apr-25,EQ,8840.00,8888.00,8556.00,9093.00,8613.50,8634.50,8643.99,9660.00,6375.70,3969057.00,34308503854.50,423669.00,BajFinance
29-Apr-25,EQ,9130.00,9146.00,8960.00,9093.00,9105.00,9093.00,9057.02,9660.00,6375.70,1176818.00,10658468207.50,169967.00,BajFinance
28-Apr-25,EQ,9080.00,9125.00,9000.50,9112.00,9075.00,9093.00,9065.36,9660.00,6375.70,994656.00,9016919103.00,133616.00,BajFinance
25-Apr-25,EQ,9310.50,9344.50,8990.00,9301.00,9080.50,9112.00,9122.64,9660.00,6375.70,1089354.00,9937787574.50,108445.00,BajFinance
24-Apr-25,EQ,9620.00,9660.00,9273.00,9323.00,9290.00,9301.00,9374.10,9660.00,6375.70,1849671.00,17339007268.00,163098.00,BajFinance
23-Apr-25,EQ,9282.00,9348.50,9150.00,9260.50,9305.00,9323.00,9243.71,9393.00,6375.70,1081872.00,10000508735.00,118959.00,BajFinance
22-Apr-25,EQ,9295.00,9393.00,9230.00,9273.50,9235.00,9260.50,9325.06,9393.00,6375.70,1129358.00,10531329282.00,134456.00,BajFinance
21-Apr-25,EQ,9170.00,9315.00,9141.50,9162.50,9274.00,9273.50,9245.67,9315.00,6375.70,782415.00,7233950514.50,86149.00,BajFinance
17-Apr-25,EQ,9040.00,9190.00,8952.00,9056.50,9170.00,9162.50,9079.26,9290.00,6375.70,1141513.00,10364097830.00,113025.00,BajFinance
16-Apr-25,EQ,9149.50,9171.50,8964.00,9141.00,9065.00,9056.50,9062.14,9290.00,6375.70,719822.00,6523126008.00,87994.00,BajFinance
15-Apr-25,EQ,9255.50,9290.00,9075.50,8921.10,9138.00,9141.00,9140.06,9290.00,6375.70,1263361.00,11547189669.50,112755.00,BajFinance
11-Apr-25,EQ,8825.05,8973.50,8810.70,8735.80,8912.00,8921.10,8914.28,9260.05,6375.70,1009722.00,9000939833.10,107731.00,BajFinance
09-Apr-25,EQ,8815.00,8842.00,8625.00,8822.25,8745.00,8735.80,8722.67,9260.05,6375.70,1048774.00,9148105326.60,138514.00,BajFinance
08-Apr-25,EQ,8650.00,8873.00,8650.00,8568.00,8825.05,8822.25,8790.59,9260.05,6375.70,1477563.00,12988651758.25,140461.00,BajFinance
07-Apr-25,EQ,8340.00,8600.50,8307.15,8718.85,8590.10,8568.00,8451.39,9260.05,6375.70,1398124.00,11816096363.45,159133.00,BajFinance
04-Apr-25,EQ,8656.00,8797.00,8583.80,8594.60,8739.90,8718.85,8709.85,9260.05,6375.70,1849658.00,16110251144.45,155607.00,BajFinance
03-Apr-25,EQ,8650.00,8765.00,8460.20,8669.25,8570.00,8594.60,8597.51,9260.05,6375.70,1396633.00,12007559992.75,148865.00,BajFinance
02-Apr-25,EQ,8730.00,8759.85,8612.00,8698.20,8630.00,8669.25,8683.17,9260.05,6375.70,646495.00,5613624153.90,73065.00,BajFinance
01-Apr-25,EQ,8783.30,8925.00,8671.00,8945.60,8719.35,8698.20,8761.66,9260.05,6375.70,1183424.00,10368758175.45,126566.00,BajFinance
28-Mar-25,EQ,8997.60,9028.90,8861.00,9003.85,8929.90,8945.60,8936.02,9260.05,6375.70,977099.00,8731379557.85,96063.00,BajFinance
27-Mar-25,EQ,8861.00,9055.40,8822.25,8866.05,9004.70,9003.85,8982.55,9260.05,6375.70,2092044.00,18791887533.70,130155.00,BajFinance
26-Mar-25,EQ,9102.05,9126.90,8849.95,9067.25,8870.00,8866.05,8956.50,9260.05,6375.70,886211.00,7937351688.05,91406.00,BajFinance
25-Mar-25,EQ,9125.00,9260.05,8977.05,9090.05,9040.00,9067.25,9099.50,9260.05,6375.70,1748260.00,15908285700.90,168353.00,BajFinance
24-Mar-25,EQ,9095.95,9115.00,8927.00,8916.10,9079.70,9090.05,9050.90,9115.00,6375.70,1433217.00,12971903809.20,139069.00,BajFinance
21-Mar-25,EQ,9039.95,9089.00,8831.00,8679.65,8911.10,8916.10,8928.93,9089.00,6375.70,2744801.00,24508142273.20,188335.00,BajFinance
20-Mar-25,EQ,8725.00,8768.05,8541.15,8731.60,8680.00,8679.65,8649.09,8879.00,6375.70,792433.00,6853822658.90,100459.00,BajFinance
19-Mar-25,EQ,8700.00,8879.00,8682.60,8682.50,8693.25,8731.60,8784.84,8879.00,6375.70,1289820.00,11330861437.60,123937.00,BajFinance
18-Mar-25,EQ,8615.00,8699.00,8494.80,8580.35,8694.00,8682.50,8606.53,8739.00,6375.70,1103110.00,9493945717.35,90493.00,BajFinance
17-Mar-25,EQ,8399.20,8629.95,8386.00,8420.45,8580.00,8580.35,8566.96,8739.00,6375.70,1102085.00,9441519270.45,103206.00,BajFinance
13-Mar-25,EQ,8500.00,8560.00,8393.00,8484.45,8415.00,8420.45,8471.30,8739.00,6297.80,1217351.00,10312544763.65,108914.00,BajFinance
12-Mar-25,EQ,8341.10,8524.50,8272.55,8340.45,8515.45,8484.45,8393.12,8739.00,6297.80,2088223.00,17526706410.45,100018.00,BajFinance
11-Mar-25,EQ,8305.00,8375.00,8211.25,8342.60,8344.90,8340.45,8304.82,8739.00,6297.80,813567.00,6756531010.55,97805.00,BajFinance
10-Mar-25,EQ,8437.75,8637.90,8326.05,8404.50,8330.00,8342.60,8474.89,8739.00,6297.80,1016453.00,8614332254.60,115793.00,BajFinance
07-Mar-25,EQ,8409.90,8470.00,8366.45,8410.85,8406.00,8404.50,8419.84,8739.00,6187.80,472946.00,3982127841.45,64573.00,BajFinance
06-Mar-25,EQ,8365.00,8459.80,8275.55,8298.70,8384.00,8410.85,8386.18,8739.00,6187.80,881422.00,7391764661.45,128900.00,BajFinance
05-Mar-25,EQ,8455.00,8500.00,8221.00,8585.95,8297.00,8298.70,8340.74,8739.00,6187.80,1630092.00,13596181067.00,166591.00,BajFinance
04-Mar-25,EQ,8522.20,8619.30,8513.65,8627.85,8576.35,8585.95,8568.46,8739.00,6187.80,765506.00,6559207035.55,97645.00,BajFinance
03-Mar-25,EQ,8536.00,8650.80,8438.10,8530.30,8647.00,8627.85,8568.04,8739.00,6187.80,874996.00,7496999725.85,109736.00,BajFinance
28-Feb-25,EQ,8665.00,8670.00,8510.05,8705.40,8546.00,8530.30,8570.85,8739.00,6187.80,1754580.00,15038239540.50,154691.00,BajFinance
27-Feb-25,EQ,8542.60,8739.00,8542.60,8488.80,8660.75,8705.40,8687.83,8739.00,6187.80,1838283.00,15970691652.65,205850.00,BajFinance
25-Feb-25,EQ,8354.95,8526.65,8338.05,8354.95,8472.00,8488.80,8477.93,8662.80,6187.80,1098541.00,9313351852.30,127296.00,BajFinance
24-Feb-25,EQ,8328.00,8399.00,8311.05,8396.70,8345.00,8354.95,8361.05,8662.80,6187.80,355260.00,2970347450.60,71140.00,BajFinance
21-Feb-25,EQ,8360.00,8420.30,8288.00,8399.45,8387.00,8396.70,8367.99,8662.80,6187.80,608647.00,5093151150.40,95180.00,BajFinance
20-Feb-25,EQ,8355.85,8455.60,8345.65,8439.45,8384.30,8399.45,8398.68,8662.80,6187.80,790070.00,6635543165.00,101049.00,BajFinance
19-Feb-25,EQ,8459.15,8529.00,8400.00,8465.90,8430.00,8439.45,8465.20,8662.80,6187.80,896198.00,7586491245.70,120371.00,BajFinance
18-Feb-25,EQ,8430.00,8480.00,8360.70,8426.60,8450.00,8465.90,8435.91,8662.80,6187.80,868977.00,7330611281.40,116664.00,BajFinance
17-Feb-25,EQ,8220.25,8488.00,8220.25,8392.30,8425.05,8426.60,8416.41,8662.80,6187.80,862799.00,7261670120.65,108327.00,BajFinance
14-Feb-25,EQ,8408.55,8455.60,8282.00,8409.00,8376.00,8392.30,8374.46,8662.80,6187.80,863315.00,7229796814.90,154600.00,BajFinance
13-Feb-25,EQ,8197.05,8498.00,8197.05,8214.05,8401.00,8409.00,8408.57,8662.80,6187.80,1800313.00,15138059388.20,216047.00,BajFinance
12-Feb-25,EQ,8149.65,8284.00,8025.00,8191.20,8205.80,8214.05,8167.65,8662.80,6187.80,1483731.00,12118600924.60,145069.00,BajFinance
11-Feb-25,EQ,8299.00,8355.10,8139.35,8286.80,8182.25,8191.20,8221.51,8662.80,6187.80,963059.00,7917794440.65,144441.00,BajFinance
10-Feb-25,EQ,8478.80,8488.00,8220.00,8474.25,8283.00,8286.80,8299.26,8662.80,6187.80,1243838.00,10322940705.60,123520.00,BajFinance
07-Feb-25,EQ,8585.00,8585.00,8383.90,8507.30,8476.65,8474.25,8475.59,8662.80,6187.80,966540.00,8191991962.45,124302.00,BajFinance
06-Feb-25,EQ,8534.25,8662.80,8462.00,8509.45,8512.00,8507.30,8539.27,8662.80,6187.80,1709473.00,14597643862.95,133578.00,BajFinance
05-Feb-25,EQ,8500.00,8588.70,8445.50,8475.35,8497.10,8509.45,8507.71,8588.70,6187.80,1867493.00,15888083062.55,169832.00,BajFinance
04-Feb-25,EQ,8425.00,8490.00,8303.00,8425.80,8440.00,8475.35,8408.81,8490.00,6187.80,1966300.00,16534242243.50,272188.00,BajFinance
03-Feb-25,EQ,7922.20,8439.30,7921.05,8000.10,8410.00,8425.80,8220.07,8439.30,6187.80,4336926.00,35649831136.05,393397.00,BajFinance
01-Feb-25,EQ,7880.00,8109.95,7784.40,7885.10,8001.00,8000.10,7975.69,8250.65,6187.80,1615378.00,12883760900.70,119672.00,BajFinance
31-Jan-25,EQ,7925.00,7980.65,7791.00,7901.65,7898.75,7885.10,7889.80,8250.65,6187.80,1833546.00,14466308765.35,175966.00,BajFinance
30-Jan-25,EQ,7850.00,8250.65,7850.00,7759.65,7925.00,7901.65,8024.32,8250.65,6187.80,5648883.00,45328472070.85,406837.00,BajFinance
29-Jan-25,EQ,7657.25,7787.00,7568.95,7606.60,7759.85,7759.65,7721.51,7824.00,6187.80,1514920.00,11697473038.50,187016.00,BajFinance
28-Jan-25,EQ,7390.00,7706.80,7345.00,7295.45,7610.00,7606.60,7563.70,7824.00,6187.80,2478933.00,18749894586.80,231617.00,BajFinance
27-Jan-25,EQ,7380.10,7474.50,7260.00,7438.60,7280.00,7295.45,7352.53,7824.00,6187.80,692810.00,5093907127.70,79231.00,BajFinance
24-Jan-25,EQ,7443.25,7505.00,7338.30,7443.25,7430.00,7438.60,7446.29,7824.00,6187.80,679687.00,5061145721.75,78084.00,BajFinance
23-Jan-25,EQ,7341.00,7524.00,7325.00,7397.15,7442.00,7443.25,7452.70,7824.00,6187.80,1030295.00,7678484044.05,99054.00,BajFinance
22-Jan-25,EQ,7339.00,7420.25,7260.35,7291.65,7394.95,7397.15,7331.95,7824.00,6187.80,727368.00,5333024131.70,83741.00,BajFinance
21-Jan-25,EQ,7450.00,7485.00,7277.60,7440.10,7310.00,7291.65,7366.62,7824.00,6187.80,1003206.00,7390235487.70,122479.00,BajFinance
20-Jan-25,EQ,7182.10,7470.00,7182.10,7182.10,7427.50,7440.10,7390.35,7824.00,6187.80,1067971.00,7892684655.50,119221.00,BajFinance
17-Jan-25,EQ,7221.00,7284.95,7156.30,7259.75,7185.00,7182.10,7216.33,7824.00,6187.80,665274.00,4800833640.25,82589.00,BajFinance
16-Jan-25,EQ,7200.00,7289.00,7194.05,7177.40,7253.05,7259.75,7253.15,7824.00,6187.80,860849.00,6243869263.40,87340.00,BajFinance
15-Jan-25,EQ,7340.50,7350.00,7105.20,7335.00,7172.95,7177.40,7178.61,7824.00,6187.80,681750.00,4894018113.85,86703.00,BajFinance
14-Jan-25,EQ,7230.00,7388.00,7191.15,7150.95,7342.10,7335.00,7330.07,7824.00,6187.80,998011.00,7315487115.25,139664.00,BajFinance
13-Jan-25,EQ,7240.00,7255.10,7134.00,7288.05,7150.00,7150.95,7186.74,7824.00,6187.80,664274.00,4773963938.40,83899.00,BajFinance
10-Jan-25,EQ,7277.45,7367.05,7245.05,7277.45,7293.00,7288.05,7298.39,7830.00,6187.80,808963.00,5904127035.55,86689.00,BajFinance
09-Jan-25,EQ,7338.45,7355.40,7236.00,7355.40,7291.70,7277.45,7272.61,7830.00,6187.80,668141.00,4859126680.85,77798.00,BajFinance
08-Jan-25,EQ,7361.85,7388.45,7256.70,7353.95,7338.65,7355.40,7321.00,7830.00,6187.80,844466.00,6182334272.40,80722.00,BajFinance
07-Jan-25,EQ,7354.95,7446.90,7301.45,7349.35,7339.85,7353.95,7371.34,7830.00,6187.80,1042538.00,7684902854.05,98286.00,BajFinance
06-Jan-25,EQ,7500.00,7599.90,7316.75,7407.25,7369.90,7349.35,7476.99,7830.00,6187.80,1905976.00,14250957133.65,182775.00,BajFinance
03-Jan-25,EQ,7389.75,7500.00,7359.25,7389.20,7367.90,7407.25,7423.47,7830.00,6187.80,1505928.00,11179204585.25,139616.00,BajFinance
02-Jan-25,EQ,6980.00,7430.00,6971.00,6935.30,7373.60,7389.20,7279.06,7830.00,6187.80,3171651.00,23086644007.70,254919.00,BajFinance
01-Jan-25,EQ,6823.00,6947.95,6806.00,6823.00,6940.00,6935.30,6898.89,7830.00,6187.80,418721.00,2888711434.00,51537.00,BajFinance
31-Dec-24,EQ,6869.95,6877.00,6792.00,6888.25,6835.00,6823.00,6825.62,7830.00,6187.80,615398.00,4200475279.30,75307.00,BajFinance
30-Dec-24,EQ,6900.00,6995.00,6865.00,6907.75,6889.15,6888.25,6912.32,7830.00,6187.80,490876.00,3393089810.60,50466.00,BajFinance
27-Dec-24,EQ,6846.85,6976.70,6830.40,6815.75,6901.00,6907.75,6923.17,7830.00,6187.80,555418.00,3845253938.65,65835.00,BajFinance
26-Dec-24,EQ,6830.40,6858.00,6800.05,6808.20,6810.00,6815.75,6832.80,7830.00,6187.80,329096.00,2248647811.05,60398.00,BajFinance
24-Dec-24,EQ,6882.00,6910.00,6794.00,6866.70,6810.00,6808.20,6828.83,7830.00,6187.80,601427.00,4107043152.10,55078.00,BajFinance
23-Dec-24,EQ,6897.00,6976.90,6855.95,6848.25,6868.00,6866.70,6899.96,7830.00,6187.80,582928.00,4022178744.40,75903.00,BajFinance
20-Dec-24,EQ,6913.35,7024.00,6804.70,6918.55,6829.95,6848.25,6862.09,7830.00,6187.80,2700019.00,18527768544.10,132637.00,BajFinance
19-Dec-24,EQ,6950.00,7024.45,6887.85,7074.45,6915.00,6918.55,6928.30,7830.00,6187.80,907675.00,6288644189.10,120117.00,BajFinance
18-Dec-24,EQ,7149.00,7178.80,7060.40,7152.80,7071.15,7074.45,7102.45,7830.00,6187.80,727514.00,5167129579.90,101261.00,BajFinance
17-Dec-24,EQ,7200.00,7257.40,7110.00,7208.40,7145.00,7152.80,7168.78,7830.00,6187.80,1031856.00,7397144089.85,80129.00,BajFinance
16-Dec-24,EQ,7182.80,7248.00,7156.10,7182.80,7200.00,7208.40,7210.65,7830.00,6187.80,796074.00,5740212278.65,82441.00,BajFinance
13-Dec-24,EQ,7099.00,7217.25,6980.60,7125.80,7175.10,7182.80,7117.48,7830.00,6187.80,1250436.00,8899948311.50,122645.00,BajFinance
12-Dec-24,EQ,7121.85,7148.40,7075.00,7115.10,7115.00,7125.80,7125.73,7830.00,6187.80,966796.00,6889128655.95,99964.00,BajFinance
11-Dec-24,EQ,6959.90,7165.00,6893.10,6936.20,7099.00,7115.10,7052.13,7830.00,6187.80,1993104.00,14055636608.35,142779.00,BajFinance
10-Dec-24,EQ,6884.80,6958.85,6844.05,6868.35,6935.00,6936.20,6912.65,7830.00,6187.80,1204563.00,8326719633.25,86609.00,BajFinance
09-Dec-24,EQ,6850.10,6925.00,6827.90,6850.30,6878.95,6868.35,6880.87,7830.00,6187.80,840910.00,5786194623.50,72729.00,BajFinance
