Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,8350.00,8495.00,8280.00,8326.00,8491.00,8482.50,8413.65,12774.00,7089.35,483122.00,4064819656.50,54407.00,BajajAuto
15-May-25,EQ,8135.00,8366.00,8077.00,8102.50,8335.00,8326.00,8241.18,12774.00,7089.35,497959.00,4103768627.50,85429.00,BajajAuto
14-May-25,EQ,8090.00,8208.00,8032.00,8063.00,8095.50,8102.50,8116.62,12774.00,7089.35,225717.00,1832059578.50,35513.00,BajajAuto
13-May-25,EQ,8039.50,8109.00,7950.00,8039.50,8066.50,8063.00,8028.45,12774.00,7089.35,407395.00,3270750990.50,57904.00,BajajAuto
12-May-25,EQ,7800.00,8048.50,7778.00,7682.50,8047.00,8039.50,7966.31,12774.00,7089.35,296774.00,2364193872.50,40508.00,BajajAuto
09-May-25,EQ,7620.00,7743.50,7612.00,7724.50,7711.50,7682.50,7678.94,12774.00,7089.35,248982.00,1911917845.00,47790.00,BajajAuto
08-May-25,EQ,7850.50,7869.50,7670.00,7849.00,7670.50,7724.50,7761.57,12774.00,7089.35,461725.00,3583710007.50,70938.00,BajajAuto
07-May-25,EQ,7915.50,7978.00,7811.50,7945.50,7845.00,7849.00,7881.46,12774.00,7089.35,459640.00,3622632470.00,55124.00,BajajAuto
06-May-25,EQ,7930.00,8044.00,7910.00,7920.50,7926.50,7945.50,7996.40,12774.00,7089.35,270568.00,2163568678.00,39935.00,BajajAuto
05-May-25,EQ,7869.50,7964.50,7850.00,7836.50,7905.00,7920.50,7905.66,12774.00,7089.35,250175.00,1977797592.00,36482.00,BajajAuto
02-May-25,EQ,8000.00,8086.00,7803.00,8030.00,7809.00,7836.50,7903.49,12774.00,7089.35,455898.00,3603186356.00,74875.00,BajajAuto
30-Apr-25,EQ,8060.00,8077.50,7977.50,8078.50,8015.00,8030.00,8014.86,12774.00,7089.35,447067.00,3583177578.50,39138.00,BajajAuto
29-Apr-25,EQ,8136.50,8169.50,8020.00,8096.00,8088.50,8078.50,8075.88,12774.00,7089.35,228383.00,1844393203.50,31599.00,BajajAuto
28-Apr-25,EQ,8034.00,8134.50,7971.00,8034.00,8097.50,8096.00,8061.90,12774.00,7089.35,282481.00,2277334633.50,30651.00,BajajAuto
25-Apr-25,EQ,8225.00,8259.50,7965.00,8201.50,8010.50,8034.00,8059.68,12774.00,7089.35,508224.00,4096122973.00,51578.00,BajajAuto
24-Apr-25,EQ,8260.00,8328.00,8169.00,8261.50,8215.00,8201.50,8239.63,12774.00,7089.35,322100.00,2653985823.00,44141.00,BajajAuto
23-Apr-25,EQ,8111.00,8294.50,8051.00,8141.00,8229.00,8261.50,8168.07,12774.00,7089.35,598686.00,4890108515.00,59699.00,BajajAuto
