Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,2054.00,2071.00,2022.00,2041.90,2036.00,2033.60,2039.48,2135.00,1419.05,1568556.00,3199041705.20,64803.00,BajajFinsv
15-May-25,EQ,2015.10,2050.40,1996.70,2020.40,2042.00,2041.90,2031.12,2135.00,1419.05,2640223.00,5362599475.80,133748.00,BajajFinsv
14-May-25,EQ,2028.90,2042.00,2010.00,2018.20,2019.90,2020.40,2022.00,2135.00,1419.05,1670853.00,3378471328.20,56885.00,BajajFinsv
13-May-25,EQ,2046.90,2061.40,2010.60,2050.40,2022.90,2018.20,2025.48,2135.00,1419.05,2217985.00,4492474874.80,104157.00,BajajFinsv
12-May-25,EQ,2024.90,2057.60,2011.80,1970.00,2048.00,2050.40,2043.37,2135.00,1419.05,1057561.00,2160985676.60,55915.00,BajajFinsv
09-May-25,EQ,1970.00,1999.00,1963.00,2006.00,1975.00,1970.00,1971.78,2135.00,1419.05,1207361.00,2380647761.10,80510.00,BajajFinsv
08-May-25,EQ,2032.00,2050.00,1992.90,2030.30,2000.00,2006.00,2016.49,2135.00,1419.05,1697652.00,3423292655.20,92264.00,BajajFinsv
07-May-25,EQ,2011.30,2045.50,2009.70,2035.80,2030.50,2030.30,2025.84,2135.00,1419.05,1078158.00,2184172720.80,66555.00,BajajFinsv
06-May-25,EQ,2028.90,2045.00,2008.10,2026.20,2032.00,2035.80,2029.47,2135.00,1419.05,1698230.00,3446501543.00,81535.00,BajajFinsv
05-May-25,EQ,1964.90,2036.60,1959.10,1958.00,2029.00,2026.20,2009.31,2135.00,1419.05,2072898.00,4165084732.70,109841.00,BajajFinsv
02-May-25,EQ,1955.00,1986.60,1917.20,1951.60,1954.00,1958.00,1951.55,2135.00,1419.05,2236491.00,4364616782.60,131044.00,BajajFinsv
30-Apr-25,EQ,2018.20,2020.00,1926.50,2066.90,1951.00,1951.60,1945.95,2135.00,1419.05,4684518.00,9115858817.90,270995.00,BajajFinsv
29-Apr-25,EQ,2061.00,2082.00,2028.80,2049.70,2063.80,2066.90,2059.03,2135.00,1419.05,2119823.00,4364775534.90,129661.00,BajajFinsv
28-Apr-25,EQ,2040.00,2094.80,2040.00,2045.50,2050.00,2049.70,2051.58,2135.00,1419.05,6311008.00,12947542187.90,94363.00,BajajFinsv
25-Apr-25,EQ,2105.00,2125.00,2023.10,2105.00,2045.00,2045.50,2057.39,2135.00,1419.05,1960343.00,4033192843.30,121923.00,BajajFinsv
24-Apr-25,EQ,2121.80,2135.00,2085.40,2100.80,2103.30,2105.00,2101.84,2135.00,1419.05,1465968.00,3081232057.20,80988.00,BajajFinsv
23-Apr-25,EQ,2094.00,2117.80,2057.40,2077.00,2097.30,2100.80,2090.83,2118.70,1419.05,1483177.00,3101071968.60,92289.00,BajajFinsv
22-Apr-25,EQ,2104.00,2110.00,2070.00,2103.50,2074.00,2077.00,2086.66,2118.70,1419.05,1447675.00,3020798804.50,89910.00,BajajFinsv
21-Apr-25,EQ,2037.10,2118.70,2035.70,2035.30,2106.00,2103.50,2090.40,2118.70,1419.05,2642028.00,5522888457.30,120077.00,BajajFinsv
17-Apr-25,EQ,1961.50,2039.70,1955.00,1969.20,2031.00,2035.30,2005.06,2039.70,1419.05,2104540.00,4219724255.60,106220.00,BajajFinsv
16-Apr-25,EQ,1961.00,1975.70,1949.60,1968.00,1968.50,1969.20,1961.09,2029.90,1419.05,1033717.00,2027208894.50,75492.00,BajajFinsv
15-Apr-25,EQ,1984.00,1984.00,1960.80,1946.30,1971.00,1968.00,1970.86,2029.90,1419.05,1250872.00,2465298689.80,70250.00,BajajFinsv
11-Apr-25,EQ,1909.45,1966.00,1906.55,1895.70,1946.30,1946.30,1949.06,2029.90,1419.05,1880510.00,3665223608.10,97508.00,BajajFinsv
09-Apr-25,EQ,1899.00,1918.30,1878.00,1903.20,1900.00,1895.70,1895.76,2029.90,1419.05,1394829.00,2644257525.50,87029.00,BajajFinsv
08-Apr-25,EQ,1890.00,1934.00,1873.70,1852.65,1903.45,1903.20,1904.64,2029.90,1419.05,3182018.00,6060600685.45,112746.00,BajajFinsv
07-Apr-25,EQ,1835.00,1894.00,1823.50,1912.30,1849.70,1852.65,1853.13,2029.90,1419.05,2594074.00,4807158591.35,113616.00,BajajFinsv
04-Apr-25,EQ,1912.00,1929.95,1897.00,1920.45,1911.85,1912.30,1915.68,2029.90,1419.05,2120708.00,4062607203.45,77607.00,BajajFinsv
03-Apr-25,EQ,1915.00,1950.00,1904.95,1930.95,1919.00,1920.45,1927.12,2029.90,1419.05,1598430.00,3080368323.65,71288.00,BajajFinsv
02-Apr-25,EQ,1946.30,1963.50,1920.95,1937.10,1921.35,1930.95,1942.20,2029.90,1419.05,1057344.00,2053570858.65,48639.00,BajajFinsv
01-Apr-25,EQ,1998.00,2002.00,1932.50,2007.35,1941.90,1937.10,1957.73,2029.90,1419.05,2125921.00,4161984989.20,134764.00,BajajFinsv
28-Mar-25,EQ,1995.75,2022.00,1994.20,2005.75,2002.30,2007.35,2007.24,2029.90,1419.05,1907116.00,3828040639.70,98083.00,BajajFinsv
27-Mar-25,EQ,1940.00,2011.50,1932.60,1943.40,1999.00,2005.75,1992.48,2029.90,1419.05,4506778.00,8979668689.10,170421.00,BajajFinsv
26-Mar-25,EQ,1951.00,1978.00,1935.00,1945.05,1935.00,1943.40,1954.40,2029.90,1419.05,2779682.00,5432616782.70,147190.00,BajajFinsv
25-Mar-25,EQ,1905.00,1954.40,1894.90,1894.15,1935.45,1945.05,1937.36,2029.90,1419.05,3512725.00,6805404860.45,164527.00,BajajFinsv
24-Mar-25,EQ,1855.35,1898.70,1845.50,1847.25,1895.35,1894.15,1881.28,2029.90,1419.05,1864839.00,3508282728.90,88656.00,BajajFinsv
21-Mar-25,EQ,1878.00,1880.00,1825.00,1851.85,1842.00,1847.25,1844.07,2029.90,1419.05,3537391.00,6523188403.70,100832.00,BajajFinsv
20-Mar-25,EQ,1842.25,1855.00,1814.10,1842.25,1852.00,1851.85,1839.57,2029.90,1419.05,2306910.00,4243728885.30,80931.00,BajajFinsv
19-Mar-25,EQ,1855.00,1864.40,1840.00,1844.65,1841.00,1842.25,1851.54,2029.90,1419.05,2411880.00,4465698374.15,53144.00,BajajFinsv
18-Mar-25,EQ,1900.00,1907.85,1833.25,1871.60,1846.50,1844.65,1848.89,2029.90,1419.05,4342446.00,8028683887.05,139248.00,BajajFinsv
17-Mar-25,EQ,1820.00,1880.90,1797.15,1807.45,1875.10,1871.60,1864.99,2029.90,1419.05,6994838.00,13045304192.05,137436.00,BajajFinsv
13-Mar-25,EQ,1828.00,1840.00,1803.15,1819.45,1807.00,1807.45,1816.49,2029.90,1419.05,1333932.00,2423068666.95,72823.00,BajajFinsv
12-Mar-25,EQ,1814.00,1824.35,1800.00,1805.40,1822.00,1819.45,1814.78,2029.90,1419.05,1196955.00,2172208009.95,59222.00,BajajFinsv
11-Mar-25,EQ,1830.00,1836.85,1788.25,1840.35,1808.20,1805.40,1806.72,2029.90,1419.05,2298735.00,4153160526.95,96641.00,BajajFinsv
10-Mar-25,EQ,1844.75,1888.75,1835.00,1845.30,1837.55,1840.35,1860.62,2029.90,1419.05,1703046.00,3168721160.95,102164.00,BajajFinsv
07-Mar-25,EQ,1845.15,1865.55,1836.50,1845.45,1839.00,1845.30,1849.98,2029.90,1419.05,1332323.00,2464765772.20,65579.00,BajajFinsv
06-Mar-25,EQ,1818.80,1853.00,1784.10,1801.80,1842.50,1845.45,1830.56,2029.90,1419.05,2176883.00,3984905103.15,116521.00,BajajFinsv
05-Mar-25,EQ,1787.00,1808.80,1733.00,1790.30,1805.90,1801.80,1782.38,2029.90,1419.05,2143253.00,3820095973.85,90678.00,BajajFinsv
04-Mar-25,EQ,1829.75,1833.50,1785.25,1838.55,1789.90,1790.30,1799.04,2029.90,1419.05,1443339.00,2596623313.90,85829.00,BajajFinsv
03-Mar-25,EQ,1884.70,1884.70,1818.70,1872.30,1840.00,1838.55,1837.94,2029.90,1419.05,1046987.00,1924301340.55,69233.00,BajajFinsv
28-Feb-25,EQ,1911.05,1920.00,1862.55,1925.55,1870.20,1872.30,1881.72,2029.90,1419.05,1797567.00,3382516970.60,100037.00,BajajFinsv
27-Feb-25,EQ,1882.15,1938.80,1881.00,1875.10,1920.10,1925.55,1919.78,2029.90,1419.05,2878330.00,5525751015.70,135147.00,BajajFinsv
25-Feb-25,EQ,1857.80,1896.00,1857.80,1857.80,1872.00,1875.10,1878.43,2029.90,1419.05,1761019.00,3307953733.00,92372.00,BajajFinsv
24-Feb-25,EQ,1868.00,1889.90,1853.00,1879.35,1862.45,1857.80,1868.23,2029.90,1419.05,1076484.00,2011121751.60,76366.00,BajajFinsv
21-Feb-25,EQ,1872.20,1893.30,1866.40,1881.25,1872.50,1879.35,1879.92,2029.90,1419.05,852037.00,1601765245.75,47511.00,BajajFinsv
20-Feb-25,EQ,1867.85,1887.50,1861.05,1875.35,1881.45,1881.25,1872.26,2029.90,1419.05,1012144.00,1894991778.75,59280.00,BajajFinsv
19-Feb-25,EQ,1891.05,1899.20,1868.05,1893.70,1873.40,1875.35,1883.55,2029.90,1419.05,768994.00,1448441519.45,53147.00,BajajFinsv
18-Feb-25,EQ,1892.00,1913.80,1880.80,1894.85,1889.20,1893.70,1900.79,2029.90,1419.05,2116513.00,4023053476.45,130673.00,BajajFinsv
17-Feb-25,EQ,1841.30,1898.75,1830.45,1841.30,1890.05,1894.85,1877.14,2029.90,1419.05,3022597.00,5673844443.45,158604.00,BajajFinsv
14-Feb-25,EQ,1853.50,1867.60,1825.00,1849.25,1839.00,1841.30,1844.64,2029.90,1419.05,1823774.00,3364204803.50,93825.00,BajajFinsv
13-Feb-25,EQ,1803.95,1853.50,1796.65,1788.70,1842.35,1849.25,1838.89,2029.90,1419.05,4070038.00,7484369896.00,149987.00,BajajFinsv
12-Feb-25,EQ,1749.00,1800.85,1727.25,1744.85,1792.25,1788.70,1765.66,2029.90,1419.05,1888823.00,3335013175.20,105418.00,BajajFinsv
11-Feb-25,EQ,1792.40,1795.30,1742.00,1792.40,1744.05,1744.85,1763.84,2029.90,1419.05,1944713.00,3430162416.60,88571.00,BajajFinsv
10-Feb-25,EQ,1804.90,1806.95,1774.80,1798.35,1789.05,1792.40,1788.51,2029.90,1419.05,908769.00,1625345952.15,51076.00,BajajFinsv
07-Feb-25,EQ,1801.00,1822.00,1784.35,1788.00,1800.00,1798.35,1801.29,2029.90,1419.05,1748940.00,3150352701.45,82177.00,BajajFinsv
06-Feb-25,EQ,1808.00,1812.95,1779.45,1796.75,1790.95,1788.00,1790.70,2029.90,1419.05,1119866.00,2005345029.05,73249.00,BajajFinsv
05-Feb-25,EQ,1811.00,1826.55,1780.00,1813.25,1791.85,1796.75,1798.42,2029.90,1419.05,1286850.00,2314299265.10,101972.00,BajajFinsv
04-Feb-25,EQ,1800.00,1818.90,1772.80,1794.85,1804.10,1813.25,1798.97,2029.90,1419.05,2285643.00,4111803401.50,129778.00,BajajFinsv
03-Feb-25,EQ,1735.00,1805.00,1733.35,1754.00,1794.75,1794.85,1783.86,2029.90,1419.05,2918355.00,5205930528.35,202204.00,BajajFinsv
01-Feb-25,EQ,1747.00,1780.00,1617.00,1736.10,1766.30,1754.00,1728.26,2029.90,1419.05,2887325.00,4990055226.70,93248.00,BajajFinsv
31-Jan-25,EQ,1713.60,1753.70,1698.20,1745.20,1742.35,1736.10,1730.15,2029.90,1419.05,1917476.00,3317528820.95,100846.00,BajajFinsv
30-Jan-25,EQ,1825.00,1856.00,1741.00,1790.40,1750.00,1745.20,1800.97,2029.90,1419.05,5190089.00,9347187115.70,243873.00,BajajFinsv
29-Jan-25,EQ,1776.95,1804.95,1767.25,1768.95,1787.60,1790.40,1791.61,2029.90,1419.05,1880079.00,3368374337.10,98757.00,BajajFinsv
28-Jan-25,EQ,1732.95,1788.05,1715.00,1711.60,1770.10,1768.95,1755.45,2029.90,1419.05,2439528.00,4282463470.75,121743.00,BajajFinsv
27-Jan-25,EQ,1714.85,1732.65,1702.00,1728.70,1705.05,1711.60,1714.13,2029.90,1419.05,1017680.00,1744432087.50,59456.00,BajajFinsv
24-Jan-25,EQ,1751.00,1754.90,1725.00,1746.15,1729.55,1728.70,1736.76,2029.90,1419.05,747930.00,1298976587.35,42241.00,BajajFinsv
23-Jan-25,EQ,1742.55,1766.00,1730.45,1743.30,1747.00,1746.15,1754.58,2029.90,1419.05,1888122.00,3312862198.85,76896.00,BajajFinsv
22-Jan-25,EQ,1720.00,1746.85,1710.50,1717.00,1742.55,1743.30,1728.07,2029.90,1419.05,1369310.00,2366270035.20,65189.00,BajajFinsv
21-Jan-25,EQ,1745.00,1751.00,1711.00,1735.20,1712.00,1717.00,1733.96,2029.90,1419.05,2008953.00,3483443599.45,91485.00,BajajFinsv
20-Jan-25,EQ,1686.30,1738.00,1674.40,1680.65,1737.00,1735.20,1719.67,2029.90,1419.05,1674215.00,2879089623.30,72811.00,BajajFinsv
17-Jan-25,EQ,1686.10,1698.40,1670.95,1697.35,1682.70,1680.65,1682.81,2029.90,1419.05,905680.00,1524085472.90,43706.00,BajajFinsv
16-Jan-25,EQ,1680.00,1705.95,1679.20,1671.65,1695.90,1697.35,1693.98,2029.90,1419.05,1105433.00,1872585819.20,79807.00,BajajFinsv
15-Jan-25,EQ,1721.10,1730.45,1650.00,1713.50,1674.80,1671.65,1674.05,2029.90,1419.05,2098490.00,3512978879.75,115194.00,BajajFinsv
