Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,351.60,371.15,349.60,350.40,363.80,363.90,362.87,371.15,221.00,68855818.00,24985416033.65,673858.00,Bel
15-May-25,EQ,346.50,351.00,340.80,344.35,350.00,350.40,346.74,351.00,221.00,35959338.00,12468471429.75,259856.00,Bel
14-May-25,EQ,339.00,346.00,334.50,335.75,344.50,344.35,341.89,346.00,221.00,43684324.00,14935411262.75,312261.00,Bel
13-May-25,EQ,323.70,337.75,322.80,322.80,335.90,335.75,334.18,340.50,221.00,57985762.00,19377555971.65,628573.00,Bel
12-May-25,EQ,325.00,325.00,316.20,315.85,322.20,322.80,320.63,340.50,221.00,39927141.00,12801817273.75,502870.00,Bel
09-May-25,EQ,305.00,321.80,305.00,307.15,316.15,315.85,316.25,340.50,221.00,44244945.00,13992522066.45,443942.00,Bel
08-May-25,EQ,310.50,313.70,304.80,309.95,304.90,307.15,309.63,340.50,221.00,17110997.00,5297995118.10,116453.00,Bel
07-May-25,EQ,305.00,315.20,305.00,310.50,310.10,309.95,310.40,340.50,221.00,19274367.00,5982720437.50,126765.00,Bel
06-May-25,EQ,315.65,319.30,309.20,315.30,309.50,310.50,313.42,340.50,221.00,17029890.00,5337449948.05,123408.00,Bel
05-May-25,EQ,313.95,316.90,313.20,311.35,315.65,315.30,315.16,340.50,221.00,10955763.00,3452852218.60,85400.00,Bel
02-May-25,EQ,310.80,317.75,310.60,314.10,311.00,311.35,313.95,340.50,221.00,18979609.00,5958558208.15,147507.00,Bel
30-Apr-25,EQ,319.00,320.45,312.60,317.10,312.95,314.10,315.35,340.50,221.00,24863436.00,7840713500.85,208936.00,Bel
29-Apr-25,EQ,306.55,319.45,305.80,305.05,317.15,317.10,315.97,340.50,221.00,57883471.00,18289531907.85,375574.00,Bel
28-Apr-25,EQ,296.00,307.85,295.85,297.60,305.30,305.05,305.13,340.50,221.00,29913417.00,9127348948.05,185562.00,Bel
25-Apr-25,EQ,306.80,307.80,293.70,305.70,297.00,297.60,298.57,340.50,221.00,20307004.00,6063117613.60,145183.00,Bel
24-Apr-25,EQ,305.00,308.60,303.45,305.85,305.45,305.70,305.61,340.50,221.00,17241517.00,5269113310.70,108129.00,Bel
