Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1834.00,1834.00,1810.10,1867.20,1814.40,1814.00,1815.18,1917.00,1219.05,100662047.00,182719665612.80,286997.00,BhartiArtl
15-May-25,EQ,1849.90,1869.90,1825.00,1834.20,1863.10,1867.20,1849.52,1917.00,1219.05,8788351.00,16254270538.10,195431.00,BhartiArtl
14-May-25,EQ,1830.00,1870.70,1820.20,1820.60,1837.90,1834.20,1843.39,1917.00,1219.05,7401614.00,13644025354.70,226624.00,BhartiArtl
13-May-25,EQ,1870.00,1883.70,1816.60,1870.80,1824.50,1820.60,1834.02,1917.00,1219.05,8817763.00,16171933283.30,282085.00,BhartiArtl
12-May-25,EQ,1868.90,1883.40,1854.00,1848.40,1873.00,1870.80,1869.65,1917.00,1219.05,3936019.00,7358980437.00,134363.00,BhartiArtl
09-May-25,EQ,1855.00,1871.10,1836.50,1874.90,1850.00,1848.40,1848.90,1917.00,1219.05,3686209.00,6815420471.70,142316.00,BhartiArtl
08-May-25,EQ,1897.00,1905.80,1862.40,1896.80,1864.50,1874.90,1880.32,1917.00,1219.05,5500724.00,10343102911.10,188110.00,BhartiArtl
07-May-25,EQ,1901.00,1917.00,1885.50,1901.00,1892.70,1896.80,1899.09,1917.00,1219.05,5554616.00,10548724277.00,184822.00,BhartiArtl
06-May-25,EQ,1888.30,1912.00,1882.60,1866.00,1896.00,1901.00,1899.53,1912.00,1219.05,8597920.00,16331996371.70,200749.00,BhartiArtl
05-May-25,EQ,1868.00,1873.50,1849.20,1851.90,1866.00,1866.00,1864.43,1904.30,1219.05,3548839.00,6616547877.00,103413.00,BhartiArtl
02-May-25,EQ,1852.00,1883.60,1832.10,1864.50,1849.00,1851.90,1854.96,1904.30,1219.05,5528529.00,10255209665.90,181226.00,BhartiArtl
30-Apr-25,EQ,1837.00,1876.90,1827.00,1823.80,1854.80,1864.50,1854.65,1904.30,1219.05,9139821.00,16951167803.70,152336.00,BhartiArtl
29-Apr-25,EQ,1823.70,1847.80,1817.60,1821.80,1827.20,1823.80,1829.51,1904.30,1219.05,4684155.00,8569695123.70,153385.00,BhartiArtl
28-Apr-25,EQ,1836.00,1838.90,1813.40,1817.20,1820.30,1821.80,1822.30,1904.30,1219.05,3301891.00,6017036292.30,100779.00,BhartiArtl
25-Apr-25,EQ,1846.70,1861.70,1806.00,1845.60,1815.00,1817.20,1822.78,1904.30,1219.05,4570083.00,8330254030.30,123799.00,BhartiArtl
24-Apr-25,EQ,1874.50,1877.80,1839.50,1881.60,1846.10,1845.60,1849.47,1904.30,1219.05,5180688.00,9581534808.10,136668.00,BhartiArtl
23-Apr-25,EQ,1867.00,1885.90,1836.10,1852.20,1869.90,1881.60,1861.63,1904.30,1219.05,6855027.00,12761537178.80,149770.00,BhartiArtl
22-Apr-25,EQ,1888.00,1888.00,1836.80,1883.40,1848.20,1852.20,1856.49,1904.30,1219.05,6155127.00,11426950907.90,196921.00,BhartiArtl
21-Apr-25,EQ,1898.40,1904.30,1868.60,1889.10,1884.00,1883.40,1881.04,1904.30,1219.05,3501123.00,6585758282.30,154074.00,BhartiArtl
17-Apr-25,EQ,1834.00,1897.70,1825.70,1822.60,1882.90,1889.10,1866.68,1897.70,1210.35,10894325.00,20336174780.80,285724.00,BhartiArtl
16-Apr-25,EQ,1802.40,1826.50,1794.10,1798.80,1821.00,1822.60,1810.55,1826.50,1210.35,6180958.00,11190947200.50,169343.00,BhartiArtl
15-Apr-25,EQ,1808.20,1820.00,1781.10,1756.60,1798.00,1798.80,1799.90,1820.00,1210.35,10313411.00,18563102108.70,225430.00,BhartiArtl
11-Apr-25,EQ,1760.00,1767.00,1732.35,1715.55,1760.60,1756.60,1756.34,1779.00,1183.10,8340002.00,14647837496.05,240119.00,BhartiArtl
09-Apr-25,EQ,1719.65,1726.85,1711.60,1720.40,1715.10,1715.55,1717.91,1779.00,1183.10,5600666.00,9621435360.40,166612.00,BhartiArtl
08-Apr-25,EQ,1720.70,1742.30,1706.80,1686.65,1721.35,1720.40,1723.59,1779.00,1183.10,7206935.00,12421775636.65,251891.00,BhartiArtl
07-Apr-25,EQ,1730.00,1774.75,1669.40,1743.45,1693.00,1686.65,1708.22,1779.00,1183.10,14870388.00,25401930206.30,403223.00,BhartiArtl
04-Apr-25,EQ,1754.50,1770.80,1740.00,1746.00,1740.50,1743.45,1753.12,1779.00,1183.10,7817334.00,13704722222.15,258867.00,BhartiArtl
03-Apr-25,EQ,1748.00,1754.95,1735.45,1754.60,1742.50,1746.00,1746.33,1779.00,1183.10,2341989.00,4089893735.20,91775.00,BhartiArtl
02-Apr-25,EQ,1720.00,1760.40,1716.95,1724.15,1751.15,1754.60,1747.29,1779.00,1183.10,6431226.00,11237222453.50,137465.00,BhartiArtl
01-Apr-25,EQ,1715.00,1765.00,1708.45,1733.40,1723.60,1724.15,1732.43,1779.00,1183.10,6773056.00,11733878299.80,171800.00,BhartiArtl
28-Mar-25,EQ,1733.30,1745.75,1660.00,1724.70,1727.40,1733.40,1730.81,1779.00,1183.10,4133264.00,7153914205.55,179997.00,BhartiArtl
27-Mar-25,EQ,1739.95,1746.40,1713.25,1738.55,1726.00,1724.70,1729.91,1779.00,1183.10,6222339.00,10764094794.10,193040.00,BhartiArtl
26-Mar-25,EQ,1739.15,1765.00,1726.15,1730.50,1733.10,1738.55,1742.16,1779.00,1183.10,7142394.00,12443161155.45,218179.00,BhartiArtl
25-Mar-25,EQ,1725.00,1740.50,1706.10,1718.80,1727.50,1730.50,1726.12,1779.00,1183.10,4857399.00,8384466695.50,167951.00,BhartiArtl
24-Mar-25,EQ,1740.00,1740.00,1714.85,1725.80,1716.95,1718.80,1724.91,1779.00,1183.10,4120999.00,7108364278.00,165902.00,BhartiArtl
21-Mar-25,EQ,1709.65,1731.40,1692.00,1705.25,1721.85,1725.80,1716.34,1779.00,1183.10,14715349.00,25256604396.50,201573.00,BhartiArtl
20-Mar-25,EQ,1660.00,1709.65,1646.10,1637.15,1704.00,1705.25,1686.32,1779.00,1183.10,12074465.00,20361409533.45,240074.00,BhartiArtl
19-Mar-25,EQ,1635.00,1642.05,1627.50,1627.30,1635.00,1637.15,1634.61,1779.00,1183.10,6283464.00,10271009720.55,199602.00,BhartiArtl
18-Mar-25,EQ,1649.50,1655.00,1622.10,1639.15,1632.00,1627.30,1634.46,1779.00,1183.10,6539954.00,10689280328.15,182821.00,BhartiArtl
17-Mar-25,EQ,1612.20,1648.40,1612.20,1632.50,1641.30,1639.15,1638.30,1779.00,1183.10,6405525.00,10494187865.95,212442.00,BhartiArtl
13-Mar-25,EQ,1650.80,1656.90,1629.60,1642.85,1632.90,1632.50,1639.89,1779.00,1151.70,8317331.00,13639534755.50,174903.00,BhartiArtl
12-Mar-25,EQ,1690.00,1716.65,1634.00,1662.95,1647.70,1642.85,1661.25,1779.00,1151.70,9907628.00,16459005626.85,300458.00,BhartiArtl
11-Mar-25,EQ,1630.00,1676.40,1624.05,1630.95,1664.00,1662.95,1655.87,1779.00,1151.70,6078564.00,10065296628.05,356280.00,BhartiArtl
10-Mar-25,EQ,1640.00,1654.90,1626.60,1630.70,1628.00,1630.95,1639.56,1779.00,1151.70,3778450.00,6195012671.45,162065.00,BhartiArtl
07-Mar-25,EQ,1629.00,1642.40,1615.60,1626.90,1637.95,1630.70,1628.92,1779.00,1132.00,3035558.00,4944683610.65,143747.00,BhartiArtl
06-Mar-25,EQ,1618.00,1631.75,1590.45,1618.25,1625.00,1626.90,1615.96,1779.00,1132.00,5174009.00,8361000902.85,185788.00,BhartiArtl
05-Mar-25,EQ,1578.00,1626.10,1577.10,1575.35,1610.00,1618.25,1611.96,1779.00,1132.00,6295425.00,10147975647.30,271207.00,BhartiArtl
04-Mar-25,EQ,1589.00,1590.50,1568.00,1595.80,1575.90,1575.35,1575.21,1779.00,1132.00,5219668.00,8222086740.05,164399.00,BhartiArtl
