Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1509.70,1510.20,1492.00,1502.20,1501.00,1499.90,1499.18,1702.05,1335.00,1660861.00,2489937388.40,65109.00,Cipla
15-May-25,EQ,1495.00,1512.90,1475.00,1494.80,1500.90,1502.20,1492.27,1702.05,1335.00,3918531.00,5847495943.10,179484.00,Cipla
14-May-25,EQ,1495.00,1505.90,1474.60,1520.10,1499.90,1494.80,1494.99,1702.05,1335.00,3417567.00,5109212195.00,191966.00,Cipla
13-May-25,EQ,1515.00,1539.90,1497.10,1511.60,1520.00,1520.10,1520.22,1702.05,1335.00,4042184.00,6145003326.90,192782.00,Cipla
12-May-25,EQ,1478.00,1516.90,1462.20,1480.00,1507.30,1511.60,1496.24,1702.05,1335.00,1706217.00,2552908617.00,104009.00,Cipla
09-May-25,EQ,1469.90,1486.40,1463.70,1486.80,1477.00,1480.00,1476.65,1702.05,1317.25,1042380.00,1539234273.70,123546.00,Cipla
08-May-25,EQ,1500.00,1508.70,1477.90,1508.80,1480.00,1486.80,1487.13,1702.05,1317.25,2773328.00,4124299814.30,191367.00,Cipla
07-May-25,EQ,1500.00,1517.80,1499.40,1511.40,1511.00,1508.80,1508.08,1702.05,1317.25,1424662.00,2148507563.10,62971.00,Cipla
06-May-25,EQ,1530.00,1531.90,1495.00,1542.90,1505.90,1511.40,1510.76,1702.05,1317.25,1788719.00,2702333928.50,92252.00,Cipla
05-May-25,EQ,1532.00,1549.00,1528.30,1525.60,1542.70,1542.90,1539.92,1702.05,1317.25,786898.00,1211760967.20,40000.00,Cipla
02-May-25,EQ,1537.50,1552.50,1513.50,1550.10,1530.00,1525.60,1529.48,1702.05,1317.25,2020145.00,3089763539.70,93365.00,Cipla
30-Apr-25,EQ,1542.00,1570.80,1538.00,1541.50,1550.00,1550.10,1553.86,1702.05,1317.25,2315010.00,3597195037.90,83543.00,Cipla
29-Apr-25,EQ,1555.00,1560.60,1531.00,1555.10,1542.00,1541.50,1543.24,1702.05,1317.25,1385331.00,2137897014.90,92484.00,Cipla
28-Apr-25,EQ,1525.90,1565.00,1525.90,1525.90,1552.00,1555.10,1552.75,1702.05,1317.25,1207247.00,1874548828.60,92013.00,Cipla
25-Apr-25,EQ,1556.00,1566.70,1513.50,1551.70,1525.10,1525.90,1531.07,1702.05,1317.25,1353813.00,2072782757.20,88697.00,Cipla
24-Apr-25,EQ,1533.70,1556.00,1524.90,1533.70,1554.00,1551.70,1546.92,1702.05,1317.25,1590469.00,2460333453.50,76384.00,Cipla
23-Apr-25,EQ,1533.00,1539.00,1516.00,1528.20,1532.00,1533.70,1528.48,1702.05,1317.25,819016.00,1251851697.70,46358.00,Cipla
22-Apr-25,EQ,1514.90,1534.70,1502.70,1511.10,1523.00,1528.20,1524.06,1702.05,1317.25,954974.00,1455441890.20,51860.00,Cipla
21-Apr-25,EQ,1525.00,1525.00,1505.00,1515.20,1513.50,1511.10,1515.07,1702.05,1317.25,570266.00,863995041.30,39460.00,Cipla
17-Apr-25,EQ,1498.00,1522.00,1486.00,1496.40,1514.10,1515.20,1511.99,1702.05,1317.25,1211601.00,1831928072.90,70640.00,Cipla
16-Apr-25,EQ,1467.10,1499.00,1464.40,1481.80,1498.00,1496.40,1490.12,1702.05,1317.25,1023697.00,1525433937.90,69137.00,Cipla
15-Apr-25,EQ,1482.20,1485.90,1462.10,1463.05,1481.90,1481.80,1475.74,1702.05,1317.25,1720323.00,2538744998.40,80819.00,Cipla
11-Apr-25,EQ,1460.00,1488.50,1448.55,1415.60,1459.00,1463.05,1465.09,1702.05,1317.25,2311803.00,3386990689.40,135303.00,Cipla
09-Apr-25,EQ,1416.50,1423.00,1396.05,1432.55,1416.00,1415.60,1414.09,1702.05,1317.25,1701314.00,2405806595.70,79805.00,Cipla
08-Apr-25,EQ,1394.80,1437.60,1382.65,1384.70,1432.30,1432.55,1416.02,1702.05,1317.25,1324180.00,1875065068.95,77089.00,Cipla
07-Apr-25,EQ,1336.00,1401.35,1335.00,1415.25,1393.40,1384.70,1380.02,1702.05,1317.25,1604721.00,2214552500.60,98777.00,Cipla
04-Apr-25,EQ,1495.70,1495.70,1390.05,1495.70,1416.60,1415.25,1417.46,1702.05,1317.25,2768438.00,3924138090.55,134028.00,Cipla
03-Apr-25,EQ,1482.00,1523.30,1480.00,1452.35,1500.00,1495.70,1500.99,1702.05,1317.25,3488899.00,5236805874.05,153378.00,Cipla
02-Apr-25,EQ,1441.00,1464.00,1428.40,1444.25,1453.20,1452.35,1446.07,1702.05,1317.25,1054143.00,1524368766.10,56930.00,Cipla
01-Apr-25,EQ,1438.55,1466.00,1429.00,1442.20,1447.00,1444.25,1448.57,1702.05,1317.25,1080262.00,1564830988.20,65591.00,Cipla
28-Mar-25,EQ,1475.00,1478.65,1434.45,1482.90,1441.00,1442.20,1449.58,1702.05,1317.25,1495932.00,2168474697.15,84874.00,Cipla
27-Mar-25,EQ,1464.70,1489.00,1462.40,1476.20,1484.90,1482.90,1478.78,1702.05,1317.25,1848444.00,2733437425.90,83275.00,Cipla
26-Mar-25,EQ,1507.00,1512.35,1472.30,1511.20,1473.50,1476.20,1488.73,1702.05,1317.25,1375794.00,2048179238.50,67387.00,Cipla
25-Mar-25,EQ,1530.00,1534.00,1505.05,1524.05,1506.00,1511.20,1516.01,1702.05,1317.25,1092805.00,1656706240.35,55781.00,Cipla
24-Mar-25,EQ,1525.05,1535.00,1515.20,1523.85,1524.45,1524.05,1525.11,1702.05,1317.25,826040.00,1259797757.75,59616.00,Cipla
21-Mar-25,EQ,1513.90,1528.90,1510.00,1512.05,1515.75,1523.85,1523.21,1702.05,1317.25,2846648.00,4336050913.75,66099.00,Cipla
20-Mar-25,EQ,1499.65,1517.60,1495.45,1499.15,1508.25,1512.05,1510.19,1702.05,1317.25,984355.00,1486561382.85,50285.00,Cipla
19-Mar-25,EQ,1515.00,1515.00,1496.50,1508.65,1499.45,1499.15,1501.29,1702.05,1317.25,1015731.00,1524903990.30,48442.00,Cipla
18-Mar-25,EQ,1499.10,1512.00,1496.80,1492.60,1509.05,1508.65,1506.36,1702.05,1317.25,1571087.00,2366620582.85,71601.00,Cipla
17-Mar-25,EQ,1459.85,1496.95,1455.70,1461.90,1491.70,1492.60,1490.23,1702.05,1317.25,1329904.00,1981866318.70,101217.00,Cipla
13-Mar-25,EQ,1456.40,1465.70,1445.65,1454.30,1460.05,1461.90,1460.85,1702.05,1317.25,804032.00,1174566411.10,49958.00,Cipla
12-Mar-25,EQ,1442.00,1457.00,1437.75,1445.75,1453.80,1454.30,1447.21,1702.05,1317.25,1254797.00,1815959199.85,52955.00,Cipla
11-Mar-25,EQ,1448.00,1459.00,1438.00,1462.75,1448.50,1445.75,1448.12,1702.05,1317.25,1231247.00,1782988152.20,60429.00,Cipla
