Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,406.00,409.00,403.60,404.65,405.00,404.80,406.14,543.55,349.25,4702603.00,1909915810.00,74827.00,CoalIndia
15-May-25,EQ,403.75,406.40,399.60,403.10,403.50,404.65,403.11,543.55,349.25,10511989.00,4237437466.50,121229.00,CoalIndia
14-May-25,EQ,396.75,404.05,396.45,395.15,403.75,403.10,401.54,543.55,349.25,6822756.00,2739576741.70,78279.00,CoalIndia
13-May-25,EQ,395.50,399.60,394.05,395.50,395.80,395.15,397.23,543.55,349.25,6307140.00,2505391039.45,73665.00,CoalIndia
12-May-25,EQ,391.95,396.10,387.50,382.40,394.80,395.50,393.88,543.55,349.25,6743279.00,2656035198.40,65946.00,CoalIndia
09-May-25,EQ,379.10,383.25,377.05,385.45,382.65,382.40,381.15,543.55,349.25,3809943.00,1452142016.35,65041.00,CoalIndia
08-May-25,EQ,390.00,394.95,382.25,383.30,383.25,385.45,387.53,543.55,349.25,14258083.00,5525465728.55,135448.00,CoalIndia
07-May-25,EQ,370.30,387.30,370.30,378.25,384.20,383.30,382.23,543.55,349.25,9162368.00,3502125191.20,86743.00,CoalIndia
06-May-25,EQ,386.50,387.65,377.40,385.60,378.10,378.25,380.58,543.55,349.25,5982166.00,2276698073.70,69718.00,CoalIndia
05-May-25,EQ,385.95,387.90,381.75,384.40,385.45,385.60,385.64,543.55,349.25,6395704.00,2466414147.05,111481.00,CoalIndia
02-May-25,EQ,385.50,390.95,381.40,385.30,383.35,384.40,385.15,543.55,349.25,6455015.00,2486139569.30,187022.00,CoalIndia
30-Apr-25,EQ,389.10,390.35,383.10,389.10,384.10,385.30,386.49,543.55,349.25,4559122.00,1762047258.40,68225.00,CoalIndia
29-Apr-25,EQ,397.15,400.35,388.45,397.15,388.70,389.10,391.54,543.55,349.25,6274213.00,2456627006.15,86558.00,CoalIndia
28-Apr-25,EQ,393.15,398.80,391.55,393.15,397.05,397.15,396.60,543.55,349.25,3458518.00,1371641450.90,54186.00,CoalIndia
25-Apr-25,EQ,400.30,404.00,389.65,399.85,392.65,393.15,394.39,543.55,349.25,7337588.00,2893890342.45,85539.00,CoalIndia
24-Apr-25,EQ,398.90,401.30,396.85,398.95,399.80,399.85,399.51,543.55,349.25,5762303.00,2302078510.45,93435.00,CoalIndia
23-Apr-25,EQ,400.00,401.60,394.00,398.60,398.20,398.95,398.69,543.55,349.25,7429142.00,2961888102.75,85047.00,CoalIndia
22-Apr-25,EQ,403.50,405.80,394.30,400.50,399.40,398.60,401.61,543.55,349.25,7558174.00,3035420915.90,73532.00,CoalIndia
21-Apr-25,EQ,399.25,406.00,395.65,398.85,400.70,400.50,402.15,543.55,349.25,8987570.00,3614307643.95,144005.00,CoalIndia
17-Apr-25,EQ,396.90,399.55,388.30,399.25,399.00,398.85,395.08,543.55,349.25,8364450.00,3304628345.60,114556.00,CoalIndia
16-Apr-25,EQ,395.25,400.10,392.50,395.25,399.80,399.25,396.91,543.55,349.25,4992290.00,1981480262.50,81985.00,CoalIndia
15-Apr-25,EQ,399.00,399.00,393.50,392.10,395.20,395.25,396.03,543.55,349.25,4371156.00,1731098433.50,61357.00,CoalIndia
11-Apr-25,EQ,389.95,392.80,382.15,374.60,391.85,392.10,389.24,543.55,349.25,6185984.00,2407857259.45,77309.00,CoalIndia
09-Apr-25,EQ,382.30,382.70,373.10,382.85,375.25,374.60,376.91,543.55,349.25,5781453.00,2179058690.80,76973.00,CoalIndia
08-Apr-25,EQ,385.00,385.50,376.65,377.50,382.70,382.85,380.92,543.55,349.25,3577328.00,1362677098.45,73491.00,CoalIndia
07-Apr-25,EQ,358.85,379.40,356.00,385.05,378.90,377.50,370.26,543.55,349.25,10202400.00,3777497296.40,138083.00,CoalIndia
04-Apr-25,EQ,396.00,396.00,382.60,397.05,385.50,385.05,386.45,543.55,349.25,6718760.00,2596445865.25,113957.00,CoalIndia
03-Apr-25,EQ,395.00,400.00,393.20,397.50,396.80,397.05,397.29,543.55,349.25,4970602.00,1974787645.45,78446.00,CoalIndia
02-Apr-25,EQ,401.60,401.60,391.50,397.65,398.15,397.50,395.73,543.55,349.25,4197123.00,1660912213.60,52849.00,CoalIndia
01-Apr-25,EQ,397.80,402.55,395.05,398.20,398.00,397.65,399.08,543.55,349.25,4332950.00,1729209903.45,56235.00,CoalIndia
28-Mar-25,EQ,397.00,401.90,393.50,396.85,397.30,398.20,398.46,543.55,349.25,6923988.00,2758920900.55,80108.00,CoalIndia
27-Mar-25,EQ,393.25,399.65,392.05,394.80,396.70,396.85,397.49,543.55,349.25,7697174.00,3059571875.05,96216.00,CoalIndia
26-Mar-25,EQ,398.50,402.45,393.15,398.30,394.00,394.80,397.47,543.55,349.25,5025274.00,1997380043.85,98740.00,CoalIndia
25-Mar-25,EQ,408.00,408.25,397.10,406.00,397.90,398.30,400.80,543.55,349.25,5636291.00,2259014010.05,82080.00,CoalIndia
24-Mar-25,EQ,407.95,411.80,405.05,405.40,405.65,406.00,407.28,543.55,349.25,5260300.00,2142428737.75,80607.00,CoalIndia
21-Mar-25,EQ,396.40,411.10,395.10,396.40,405.85,405.40,406.14,543.55,349.25,16564019.00,6727238795.70,115822.00,CoalIndia
20-Mar-25,EQ,397.70,398.10,392.05,395.85,398.00,396.40,395.81,543.55,349.25,7025398.00,2780725352.60,76297.00,CoalIndia
19-Mar-25,EQ,390.05,398.05,388.80,389.30,395.75,395.85,394.95,543.55,349.25,5827114.00,2301390498.05,120003.00,CoalIndia
18-Mar-25,EQ,387.45,393.15,386.45,385.75,388.80,389.30,389.88,543.55,349.25,6211943.00,2421889532.55,74255.00,CoalIndia
17-Mar-25,EQ,380.20,387.05,379.05,378.30,385.55,385.75,384.30,543.55,349.25,5456631.00,2096999767.55,76319.00,CoalIndia
13-Mar-25,EQ,381.50,383.00,377.35,380.70,378.75,378.30,379.97,543.55,349.25,3918004.00,1488714285.55,59836.00,CoalIndia
12-Mar-25,EQ,379.55,382.85,373.80,379.05,380.05,380.70,378.79,543.55,349.25,3951912.00,1496949294.05,51879.00,CoalIndia
11-Mar-25,EQ,371.00,380.00,368.00,375.15,378.60,379.05,375.22,543.55,349.25,5340552.00,2003905013.15,64573.00,CoalIndia
