Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1238.90,1238.90,1221.00,1236.30,1228.50,1230.70,1228.28,7107.45,1020.00,882873.00,1084410927.50,39496.00,DrReddy
15-May-25,EQ,1214.00,1239.80,1200.20,1220.00,1231.00,1236.30,1223.92,7107.45,1020.00,2053553.00,2513384526.30,100056.00,DrReddy
14-May-25,EQ,1213.30,1223.30,1193.20,1207.10,1220.30,1220.00,1214.72,7107.45,1020.00,1197152.00,1454203819.40,55110.00,DrReddy
13-May-25,EQ,1196.00,1241.00,1196.00,1195.60,1208.00,1207.10,1223.40,7107.45,1020.00,3134295.00,3834501207.20,114153.00,DrReddy
12-May-25,EQ,1155.90,1204.00,1143.90,1155.90,1193.60,1195.60,1179.20,7107.45,1020.00,5065176.00,5972830720.20,141292.00,DrReddy
09-May-25,EQ,1142.50,1167.00,1138.50,1148.00,1158.10,1155.90,1149.96,7107.45,1020.00,1248574.00,1435809557.90,58467.00,DrReddy
08-May-25,EQ,1152.70,1161.40,1142.00,1160.70,1146.00,1148.00,1149.86,7107.45,1020.00,2616533.00,3008638014.50,99397.00,DrReddy
07-May-25,EQ,1143.40,1164.60,1143.40,1160.40,1162.00,1160.70,1159.02,7107.45,1020.00,1421366.00,1647387239.10,60034.00,DrReddy
06-May-25,EQ,1172.20,1175.00,1129.40,1171.30,1156.00,1160.40,1158.15,7107.45,1020.00,1990745.00,2305578118.90,60270.00,DrReddy
05-May-25,EQ,1188.70,1193.90,1154.50,1182.90,1178.00,1171.30,1168.54,7107.45,1020.00,1893680.00,2212841386.40,55068.00,DrReddy
02-May-25,EQ,1176.10,1194.80,1171.40,1183.90,1184.00,1182.90,1182.01,7107.45,1020.00,1306311.00,1544077141.50,55170.00,DrReddy
30-Apr-25,EQ,1176.20,1196.60,1175.90,1176.00,1179.50,1183.90,1185.52,7107.45,1020.00,1604442.00,1902102797.30,63580.00,DrReddy
29-Apr-25,EQ,1204.40,1204.40,1169.00,1198.70,1176.20,1176.00,1178.75,7107.45,1020.00,1663018.00,1960285386.80,71628.00,DrReddy
28-Apr-25,EQ,1176.30,1205.00,1176.30,1174.80,1202.40,1198.70,1196.74,7107.45,1020.00,1236678.00,1479979904.70,57178.00,DrReddy
25-Apr-25,EQ,1203.90,1210.50,1159.70,1200.50,1172.00,1174.80,1178.66,7107.45,1020.00,1286573.00,1516430178.00,51311.00,DrReddy
24-Apr-25,EQ,1179.00,1210.00,1176.30,1186.00,1204.90,1200.50,1195.66,7107.45,1020.00,4819678.00,5762672667.50,80333.00,DrReddy
23-Apr-25,EQ,1185.10,1191.80,1175.90,1175.00,1183.10,1186.00,1183.91,7107.45,1020.00,3192132.00,3779209145.20,82010.00,DrReddy
22-Apr-25,EQ,1173.90,1180.50,1162.30,1177.40,1175.10,1175.00,1173.84,7107.45,1020.00,1313400.00,1541716008.00,42491.00,DrReddy
21-Apr-25,EQ,1163.40,1179.70,1155.00,1163.60,1176.80,1177.40,1169.82,7107.45,1020.00,1938756.00,2268003614.40,66564.00,DrReddy
17-Apr-25,EQ,1150.10,1173.60,1150.10,1158.40,1163.30,1163.60,1164.83,7107.45,1020.00,2788024.00,3247579205.90,72694.00,DrReddy
16-Apr-25,EQ,1150.20,1161.40,1143.70,1154.90,1150.90,1158.40,1153.68,7107.45,1020.00,1451875.00,1675001335.40,77501.00,DrReddy
15-Apr-25,EQ,1140.90,1158.10,1129.00,1109.50,1156.00,1154.90,1146.65,7107.45,1020.00,2683350.00,3076869271.10,72640.00,DrReddy
11-Apr-25,EQ,1139.90,1139.90,1102.25,1094.05,1110.00,1109.50,1119.70,7107.45,1020.00,2740831.00,3068904560.90,91866.00,DrReddy
09-Apr-25,EQ,1094.50,1103.25,1061.65,1107.95,1093.25,1094.05,1091.35,7107.45,1020.00,5511474.00,6014946285.75,117243.00,DrReddy
08-Apr-25,EQ,1100.00,1113.65,1088.70,1087.90,1109.85,1107.95,1103.17,7107.45,1020.00,1577632.00,1740391167.90,79851.00,DrReddy
07-Apr-25,EQ,1020.00,1098.85,1020.00,1109.95,1092.30,1087.90,1086.88,7107.45,1020.00,3888037.00,4225840425.70,136195.00,DrReddy
04-Apr-25,EQ,1151.80,1157.45,1076.20,1151.45,1114.00,1109.95,1103.77,7107.45,1076.20,5423861.00,5986709250.80,206413.00,DrReddy
03-Apr-25,EQ,1190.50,1226.90,1149.05,1150.00,1151.80,1151.45,1181.31,7107.45,1092.45,6324685.00,7471413120.45,175194.00,DrReddy
02-Apr-25,EQ,1150.00,1152.70,1135.00,1152.20,1151.65,1150.00,1143.53,7107.45,1092.45,2071245.00,2368526047.90,60874.00,DrReddy
01-Apr-25,EQ,1144.20,1164.40,1136.05,1144.20,1150.00,1152.20,1153.13,7107.45,1092.45,4158012.00,4794716300.25,98563.00,DrReddy
28-Mar-25,EQ,1159.25,1159.25,1140.75,1162.20,1145.00,1144.20,1148.00,7107.45,1092.45,2762934.00,3171838628.35,95730.00,DrReddy
27-Mar-25,EQ,1160.00,1172.40,1144.00,1164.60,1161.40,1162.20,1154.04,7107.45,1092.45,4460409.00,5147481095.40,141276.00,DrReddy
26-Mar-25,EQ,1177.90,1179.80,1152.65,1177.90,1161.40,1164.60,1163.85,7107.45,1092.45,2864505.00,3333849572.85,134793.00,DrReddy
25-Mar-25,EQ,1210.30,1215.95,1167.95,1210.30,1173.50,1177.90,1178.26,7107.45,1092.45,2860907.00,3370901737.45,98645.00,DrReddy
24-Mar-25,EQ,1205.00,1216.35,1190.25,1200.15,1208.00,1210.30,1204.27,7107.45,1092.45,1660669.00,1999888358.55,64032.00,DrReddy
21-Mar-25,EQ,1190.20,1204.65,1177.05,1187.20,1202.25,1200.15,1195.13,7107.45,1092.45,2313824.00,2765319297.85,90859.00,DrReddy
20-Mar-25,EQ,1178.95,1190.75,1165.30,1172.10,1186.00,1187.20,1180.35,7107.45,1092.45,1521677.00,1796107267.85,90571.00,DrReddy
19-Mar-25,EQ,1174.00,1177.70,1158.10,1163.70,1171.00,1172.10,1167.17,7107.45,1092.45,1507415.00,1759405481.55,58947.00,DrReddy
18-Mar-25,EQ,1157.80,1169.40,1149.00,1150.70,1163.00,1163.70,1161.70,7107.45,1092.45,1734982.00,2015521876.80,67683.00,DrReddy
17-Mar-25,EQ,1107.90,1154.10,1101.50,1107.95,1151.50,1150.70,1142.59,7107.45,1092.45,2714559.00,3101622486.70,88380.00,DrReddy
13-Mar-25,EQ,1105.15,1110.25,1095.05,1105.15,1106.35,1107.95,1104.66,7107.45,1092.45,1299174.00,1435145064.45,52788.00,DrReddy
12-Mar-25,EQ,1116.60,1116.65,1092.45,1116.65,1107.25,1105.15,1101.33,7107.45,1092.45,1914579.00,2108584700.55,84955.00,DrReddy
11-Mar-25,EQ,1117.00,1126.95,1110.65,1120.20,1117.40,1116.65,1119.09,7107.45,1103.90,884438.00,989767086.20,51801.00,DrReddy
10-Mar-25,EQ,1134.95,1137.15,1115.40,1133.25,1120.00,1120.20,1127.02,7107.45,1103.90,950503.00,1071239552.55,63406.00,DrReddy
07-Mar-25,EQ,1140.10,1145.20,1130.00,1140.10,1133.20,1133.25,1137.13,7107.45,1103.90,790599.00,899016658.45,59286.00,DrReddy
06-Mar-25,EQ,1135.00,1145.70,1118.65,1126.40,1138.40,1140.10,1134.29,7107.45,1103.90,1648697.00,1870096561.65,116885.00,DrReddy
05-Mar-25,EQ,1120.50,1129.00,1110.55,1120.15,1125.75,1126.40,1124.02,7107.45,1103.90,1260157.00,1416443105.20,60780.00,DrReddy
04-Mar-25,EQ,1111.10,1124.15,1105.05,1119.60,1118.05,1120.15,1117.00,7107.45,1103.90,1074133.00,1199808579.80,58710.00,DrReddy
