Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,5504.00,5585.50,5491.00,5466.00,5509.00,5509.50,5538.12,5906.50,4253.85,638327.00,3535129664.00,59243.00,Eichermot
15-May-25,EQ,5500.00,5548.00,5360.00,5446.50,5473.50,5466.00,5456.86,5906.50,4253.85,1930277.00,10533243960.50,168706.00,Eichermot
14-May-25,EQ,5430.00,5477.50,5360.00,5419.00,5447.00,5446.50,5434.81,5906.50,4253.85,315866.00,1716670532.00,39786.00,Eichermot
13-May-25,EQ,5506.50,5553.50,5392.50,5520.00,5424.00,5419.00,5443.59,5906.50,4253.85,416275.00,2266029794.50,44047.00,Eichermot
12-May-25,EQ,5505.00,5541.00,5414.00,5324.00,5525.00,5520.00,5498.63,5906.50,4253.85,327631.00,1801522776.00,37927.00,Eichermot
09-May-25,EQ,5295.00,5340.50,5260.50,5372.50,5328.00,5324.00,5300.75,5906.50,4253.85,412056.00,2184204245.50,73452.00,Eichermot
08-May-25,EQ,5463.50,5488.50,5339.50,5489.00,5355.00,5372.50,5403.54,5906.50,4253.85,609858.00,3295392532.50,58774.00,Eichermot
07-May-25,EQ,5460.50,5571.00,5452.50,5515.00,5468.50,5489.00,5506.44,5906.50,4253.85,349955.00,1927004526.00,39958.00,Eichermot
06-May-25,EQ,5460.50,5597.00,5440.50,5460.50,5505.00,5515.00,5542.36,5906.50,4253.85,514699.00,2852646553.00,51260.00,Eichermot
05-May-25,EQ,5469.50,5480.00,5411.00,5437.50,5473.00,5460.50,5450.54,5906.50,4253.85,320466.00,1746713176.00,36689.00,Eichermot
02-May-25,EQ,5560.00,5560.00,5376.00,5567.00,5428.00,5437.50,5436.49,5906.50,4253.85,695557.00,3781388630.50,72873.00,Eichermot
30-Apr-25,EQ,5605.00,5605.00,5505.50,5579.00,5573.50,5567.00,5558.91,5906.50,4253.85,509786.00,2833853646.00,53509.00,Eichermot
29-Apr-25,EQ,5626.50,5691.50,5508.00,5622.00,5574.50,5579.00,5570.01,5906.50,4253.85,309552.00,1724207968.00,48124.00,Eichermot
28-Apr-25,EQ,5580.50,5658.00,5550.50,5575.50,5618.00,5622.00,5618.00,5906.50,4253.85,403569.00,2267250051.00,58261.00,Eichermot
25-Apr-25,EQ,5662.50,5668.00,5517.50,5650.50,5560.00,5575.50,5580.77,5906.50,4253.85,457510.00,2553258451.00,45892.00,Eichermot
24-Apr-25,EQ,5736.00,5774.50,5620.00,5740.00,5632.00,5650.50,5678.29,5906.50,4253.85,503663.00,2859943645.50,59332.00,Eichermot
23-Apr-25,EQ,5789.00,5816.50,5605.50,5784.00,5730.00,5740.00,5712.56,5906.50,4253.85,582611.00,3328202930.00,71511.00,Eichermot
