Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,242.60,246.94,242.00,242.59,244.90,245.76,245.02,304.70,146.30,30854384.00,7559835500.94,152112.00,Eternal
15-May-25,EQ,236.20,245.30,233.75,236.86,242.18,242.59,240.41,304.70,146.30,40335990.00,9697192437.11,191729.00,Eternal
14-May-25,EQ,232.00,237.44,232.00,231.65,236.27,236.86,235.44,304.70,146.30,23158211.00,5452465594.33,144650.00,Eternal
13-May-25,EQ,238.00,239.47,231.05,239.50,231.50,231.65,233.74,304.70,146.30,44837486.00,10480381213.75,309388.00,Eternal
12-May-25,EQ,232.00,240.00,232.00,227.14,239.05,239.50,236.98,304.70,146.30,31757003.00,7525650379.98,163171.00,Eternal
09-May-25,EQ,222.00,229.00,222.00,229.81,228.15,227.14,226.20,304.70,146.30,24415321.00,5522855143.34,255926.00,Eternal
08-May-25,EQ,235.25,236.45,226.60,236.90,227.00,229.81,230.27,304.70,146.30,49888442.00,11487618942.17,222882.00,Eternal
07-May-25,EQ,228.60,237.67,228.60,232.64,236.48,236.90,234.26,304.70,146.30,31614852.00,7406083012.83,137963.00,Eternal
06-May-25,EQ,240.00,241.50,231.85,239.90,232.70,232.64,235.04,304.70,146.30,25327712.00,5953028751.27,213490.00,Eternal
05-May-25,EQ,234.50,240.97,232.93,234.29,240.10,239.90,238.94,304.70,146.30,37948115.00,9067175346.83,240824.00,Eternal
02-May-25,EQ,220.05,239.50,220.05,232.52,234.41,234.29,234.13,304.70,146.30,104910316.00,24562471038.55,697809.00,Eternal
30-Apr-25,EQ,232.00,234.75,226.10,231.11,231.43,232.52,231.06,304.70,146.30,45831746.00,10590029248.45,213328.00,Eternal
29-Apr-25,EQ,228.37,234.24,226.60,227.21,231.16,231.11,230.59,304.70,146.30,32761971.00,7554710474.34,177098.00,Eternal
28-Apr-25,EQ,226.00,231.99,225.06,228.81,226.70,227.21,227.58,304.70,146.30,29327020.00,6674331221.86,146990.00,Eternal
25-Apr-25,EQ,235.90,239.00,227.31,236.38,227.71,228.81,231.73,304.70,146.30,32437650.00,7516617504.34,165167.00,Eternal
24-Apr-25,EQ,237.00,241.37,235.00,239.24,236.80,236.38,237.78,304.70,146.30,46103369.00,10962263425.59,186390.00,Eternal
23-Apr-25,EQ,237.48,240.25,233.05,237.47,238.15,239.24,237.42,304.70,146.30,42294685.00,10041669791.04,280063.00,Eternal
22-Apr-25,EQ,236.00,243.45,235.00,234.24,236.57,237.47,238.74,304.70,146.30,59667380.00,14245260298.96,320284.00,Eternal
21-Apr-25,EQ,229.00,235.30,227.10,231.60,234.22,234.24,232.13,304.70,146.30,66028533.00,15326976502.55,318929.00,Eternal
17-Apr-25,EQ,220.60,236.14,220.38,222.08,232.00,231.60,230.19,304.70,146.30,70125937.00,16142293627.55,302980.00,Eternal
16-Apr-25,EQ,220.51,222.64,218.40,222.23,221.85,222.08,221.00,304.70,146.30,26155875.00,5780329675.67,130093.00,Eternal
15-Apr-25,EQ,224.25,224.25,220.10,217.20,222.90,222.23,221.95,304.70,146.30,45034496.00,9995455680.55,194207.00,Eternal
11-Apr-25,EQ,216.00,218.31,214.10,211.39,216.00,217.20,216.93,304.70,146.30,28917549.00,6273038370.64,179516.00,Eternal
09-Apr-25,EQ,216.00,216.00,209.86,215.19,211.15,211.39,211.64,304.70,146.30,25359931.00,5367159351.21,162551.00,Eternal
08-Apr-25,EQ,213.19,219.19,210.81,209.63,214.55,215.19,215.33,304.70,146.30,62002510.00,13351193760.76,362486.00,Eternal
07-Apr-25,EQ,196.00,211.00,194.80,210.53,211.00,209.63,205.47,304.70,146.30,64932923.00,13341895638.20,334420.00,Eternal
04-Apr-25,EQ,211.84,212.58,205.67,210.90,210.46,210.53,209.49,304.70,146.30,48296676.00,10117471819.20,248714.00,Eternal
03-Apr-25,EQ,208.15,214.00,208.00,212.03,211.00,210.90,211.51,304.70,146.30,44447473.00,9401128837.48,298707.00,Eternal
02-Apr-25,EQ,203.50,212.60,202.00,202.01,211.70,212.03,207.87,304.70,146.30,59441448.00,12355907874.91,277483.00,Eternal
01-Apr-25,EQ,201.70,205.00,198.85,201.70,203.35,202.01,201.89,304.70,146.30,63369467.00,12793574019.85,361222.00,Eternal
28-Mar-25,EQ,204.24,209.90,200.50,206.28,201.20,201.70,204.43,304.70,146.30,74842762.00,15299765438.29,334406.00,Eternal
27-Mar-25,EQ,204.47,208.75,200.37,203.29,203.00,206.28,205.79,304.70,146.30,400414753.00,82400147801.58,539248.00,Eternal
26-Mar-25,EQ,202.35,206.90,199.92,209.81,204.47,203.29,203.89,304.70,146.30,114342130.00,23312857118.08,478755.00,Eternal
25-Mar-25,EQ,223.80,225.10,209.00,222.80,210.20,209.81,213.41,304.70,146.30,84184995.00,17966220990.50,422009.00,Eternal
24-Mar-25,EQ,228.80,230.20,222.20,227.52,222.84,222.80,225.05,304.70,146.30,41920679.00,9434393719.25,246715.00,Eternal
21-Mar-25,EQ,220.00,228.85,220.00,224.47,227.50,227.52,225.92,304.70,146.30,113328549.00,25602736121.47,257104.00,Eternal
20-Mar-25,EQ,226.00,228.00,221.87,223.53,224.00,224.47,224.74,304.70,146.30,61376776.00,13793810551.36,188392.00,Eternal
19-Mar-25,EQ,218.50,227.50,218.50,218.19,223.80,223.53,224.39,304.70,146.30,65519150.00,14701655217.63,381459.00,Eternal
18-Mar-25,EQ,204.28,219.10,204.28,203.69,218.91,218.19,213.74,304.70,146.30,79201906.00,16928573546.83,367430.00,Eternal
17-Mar-25,EQ,200.00,207.20,199.17,201.43,204.28,203.69,203.89,304.70,146.30,48729405.00,9935325477.68,312138.00,Eternal
13-Mar-25,EQ,208.20,208.60,200.20,205.46,202.50,201.43,203.98,304.70,144.30,60780855.00,12398380094.37,278069.00,Eternal
12-Mar-25,EQ,209.09,212.50,201.20,208.07,205.80,205.46,205.12,304.70,144.30,80010768.00,16411613880.98,320372.00,Eternal
11-Mar-25,EQ,205.01,210.42,199.80,211.28,208.50,208.07,204.61,304.70,144.30,122391053.00,25042091435.90,655855.00,Eternal
10-Mar-25,EQ,217.41,219.09,210.55,216.83,211.51,211.28,213.37,304.70,144.30,62786821.00,13396732461.19,293972.00,Eternal
07-Mar-25,EQ,223.89,224.65,216.00,225.43,217.10,216.83,219.76,304.70,144.30,43864788.00,9639673208.20,224254.00,Eternal
06-Mar-25,EQ,231.44,231.44,224.50,227.02,225.02,225.43,227.37,304.70,144.30,31864115.00,7245036037.57,193971.00,Eternal
05-Mar-25,EQ,229.00,231.75,225.36,227.61,227.07,227.02,228.13,304.70,144.30,33095222.00,7549985171.54,196956.00,Eternal
04-Mar-25,EQ,220.60,229.66,218.70,222.14,226.90,227.61,226.69,304.70,144.30,40794122.00,9247507891.87,230022.00,Eternal
03-Mar-25,EQ,222.05,225.58,215.25,222.10,222.47,222.14,220.58,304.70,144.30,33262928.00,7337106835.31,237045.00,Eternal
28-Feb-25,EQ,226.00,228.46,217.82,229.04,221.50,222.10,222.58,304.70,144.30,115467128.00,25700617574.24,299830.00,Eternal
27-Feb-25,EQ,226.00,229.74,225.05,225.63,228.91,229.04,227.43,304.70,144.30,33845022.00,7697304414.55,166607.00,Eternal
25-Feb-25,EQ,224.20,230.18,223.05,222.69,225.80,225.63,227.37,304.70,144.30,48478366.00,11022488332.55,273484.00,Eternal
24-Feb-25,EQ,219.98,227.80,219.98,230.36,222.57,222.69,224.48,304.70,144.30,43335473.00,9727901617.03,239930.00,Eternal
21-Feb-25,EQ,233.00,238.73,228.87,233.93,229.81,230.36,232.42,304.70,144.30,36768250.00,8545689653.90,249247.00,Eternal
20-Feb-25,EQ,231.50,236.65,230.11,234.10,232.95,233.93,233.95,304.70,144.30,27119319.00,6344459408.22,187397.00,Eternal
19-Feb-25,EQ,220.60,234.60,220.00,223.31,234.00,234.10,231.09,304.70,144.30,47896911.00,11068436661.34,294295.00,Eternal
18-Feb-25,EQ,220.00,224.60,216.52,218.53,222.50,223.31,220.92,304.70,144.30,35519896.00,7847078156.71,220740.00,Eternal
17-Feb-25,EQ,213.19,219.13,210.51,215.99,218.83,218.53,216.81,304.70,144.30,23560419.00,5108219452.16,260613.00,Eternal
14-Feb-25,EQ,218.54,219.72,213.44,217.87,216.44,215.99,216.25,304.70,144.30,32738152.00,7079678971.18,188566.00,Eternal
13-Feb-25,EQ,218.01,220.44,216.47,214.70,217.49,217.87,218.58,304.70,144.30,25633804.00,5603010522.89,173231.00,Eternal
12-Feb-25,EQ,213.01,219.35,206.75,215.45,217.00,214.70,212.91,304.70,144.30,86778158.00,18475869012.40,468042.00,Eternal
11-Feb-25,EQ,227.00,227.24,213.37,227.25,216.00,215.45,217.20,304.70,144.30,71258339.00,15477340198.51,406441.00,Eternal
10-Feb-25,EQ,233.35,234.89,224.75,233.90,227.00,227.25,227.85,304.70,144.30,38606975.00,8796620685.75,208383.00,Eternal
07-Feb-25,EQ,230.70,234.70,229.40,229.05,233.37,233.90,232.17,304.70,138.05,39271458.00,9117609782.42,234305.00,Eternal
