Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,2845.00,2845.00,2775.10,2824.80,2808.00,2804.20,2800.93,2877.75,2171.60,700214.00,1961253234.00,48990.00,Grasim
15-May-25,EQ,2734.30,2829.50,2720.00,2737.20,2829.50,2824.80,2790.61,2877.75,2171.60,1353535.00,3777194229.10,92091.00,Grasim
14-May-25,EQ,2719.90,2747.00,2705.30,2708.70,2739.00,2737.20,2728.79,2877.75,2171.60,330652.00,902278922.10,32256.00,Grasim
13-May-25,EQ,2741.00,2748.00,2702.70,2742.80,2713.40,2708.70,2716.60,2877.75,2171.60,313964.00,852913584.30,28936.00,Grasim
12-May-25,EQ,2671.10,2761.90,2671.10,2634.80,2741.00,2742.80,2734.31,2877.75,2171.60,498304.00,1362516497.90,34800.00,Grasim
09-May-25,EQ,2676.90,2684.00,2626.60,2698.70,2638.90,2634.80,2642.42,2877.75,2171.60,444671.00,1175009545.00,46194.00,Grasim
08-May-25,EQ,2685.00,2709.60,2676.50,2699.90,2680.60,2698.70,2692.91,2877.75,2171.60,966461.00,2602588565.60,64880.00,Grasim
07-May-25,EQ,2699.00,2727.30,2682.40,2728.70,2697.70,2699.90,2701.41,2877.75,2171.60,417883.00,1128872491.80,32124.00,Grasim
06-May-25,EQ,2754.00,2764.50,2718.00,2755.10,2718.00,2728.70,2737.92,2877.75,2171.60,288396.00,789606597.10,25953.00,Grasim
05-May-25,EQ,2730.00,2773.00,2718.30,2718.30,2748.80,2755.10,2757.96,2877.75,2171.60,661587.00,1824627877.10,42213.00,Grasim
02-May-25,EQ,2725.60,2771.80,2695.80,2737.50,2715.00,2718.30,2730.60,2877.75,2171.60,1007903.00,2752184573.90,42205.00,Grasim
30-Apr-25,EQ,2735.00,2750.90,2718.90,2745.70,2722.10,2737.50,2739.12,2877.75,2171.60,662477.00,1814605559.80,27818.00,Grasim
29-Apr-25,EQ,2753.10,2755.60,2719.00,2753.40,2737.10,2745.70,2737.63,2877.75,2171.60,890929.00,2439032139.00,41123.00,Grasim
28-Apr-25,EQ,2735.00,2773.70,2723.30,2734.80,2752.00,2753.40,2757.42,2877.75,2171.60,416635.00,1148839216.60,37851.00,Grasim
25-Apr-25,EQ,2726.00,2739.90,2675.20,2729.20,2732.10,2734.80,2710.11,2877.75,2171.60,649356.00,1759828805.70,45697.00,Grasim
24-Apr-25,EQ,2690.00,2736.30,2673.00,2685.60,2730.50,2729.20,2720.38,2877.75,2171.60,562050.00,1528992227.10,39302.00,Grasim
23-Apr-25,EQ,2750.10,2763.90,2675.10,2749.40,2695.00,2685.60,2700.69,2877.75,2171.60,603774.00,1630606476.30,43307.00,Grasim
22-Apr-25,EQ,2750.30,2772.10,2737.70,2756.90,2737.70,2749.40,2755.85,2877.75,2171.60,211167.00,581944013.60,22885.00,Grasim
21-Apr-25,EQ,2755.00,2787.30,2735.00,2760.70,2756.00,2756.90,2767.75,2877.75,2171.60,322964.00,893882637.90,37266.00,Grasim
17-Apr-25,EQ,2701.00,2772.00,2686.90,2702.80,2761.90,2760.70,2747.74,2877.75,2171.60,1061496.00,2916716423.00,91814.00,Grasim
16-Apr-25,EQ,2690.00,2722.00,2682.20,2718.60,2715.80,2702.80,2702.33,2877.75,2171.60,462016.00,1248520562.70,41564.00,Grasim
15-Apr-25,EQ,2675.00,2726.20,2670.00,2651.25,2725.00,2718.60,2707.18,2877.75,2171.60,815058.00,2206512001.40,52975.00,Grasim
