Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1691.90,1693.50,1658.00,1696.00,1661.00,1659.90,1667.09,2012.20,1235.00,2586263.00,4311543189.20,99649.00,HclTech
15-May-25,EQ,1650.00,1702.60,1625.00,1637.70,1692.00,1696.00,1671.48,2012.20,1235.00,4961582.00,8293207213.50,184925.00,HclTech
14-May-25,EQ,1630.00,1642.30,1617.00,1619.60,1641.30,1637.70,1632.79,2012.20,1235.00,1569126.00,2562050834.10,83272.00,HclTech
13-May-25,EQ,1685.00,1688.10,1615.20,1670.30,1619.90,1619.60,1632.90,2012.20,1235.00,3118470.00,5092158125.30,119292.00,HclTech
12-May-25,EQ,1598.80,1675.00,1594.00,1569.40,1663.00,1670.30,1651.26,2012.20,1235.00,4028207.00,6651610416.00,133071.00,HclTech
09-May-25,EQ,1566.00,1577.70,1557.30,1580.70,1572.50,1569.40,1569.43,2012.20,1235.00,2035161.00,3194047826.10,85397.00,HclTech
08-May-25,EQ,1561.90,1598.00,1555.80,1563.30,1572.10,1580.70,1581.65,2012.20,1235.00,2789018.00,4411248439.00,98946.00,HclTech
07-May-25,EQ,1552.00,1578.40,1545.00,1579.10,1565.30,1563.30,1562.62,2012.20,1235.00,5469936.00,8547406780.50,128223.00,HclTech
06-May-25,EQ,1576.80,1583.80,1565.10,1568.60,1570.00,1579.10,1575.07,2012.20,1235.00,2055057.00,3236859717.60,86060.00,HclTech
05-May-25,EQ,1580.00,1597.70,1563.30,1576.50,1569.00,1568.60,1577.67,2012.20,1235.00,1012225.00,1596953874.30,59357.00,HclTech
02-May-25,EQ,1567.00,1581.00,1557.10,1567.50,1572.40,1576.50,1573.44,2012.20,1235.00,1895904.00,2983089247.20,93227.00,HclTech
30-Apr-25,EQ,1571.00,1587.90,1554.00,1569.00,1556.50,1567.50,1569.92,2012.20,1235.00,3682256.00,5780840520.30,129457.00,HclTech
29-Apr-25,EQ,1555.00,1580.80,1548.10,1549.30,1570.00,1569.00,1564.53,2012.20,1235.00,2231069.00,3490564859.90,89109.00,HclTech
28-Apr-25,EQ,1565.00,1569.40,1537.10,1578.20,1550.00,1549.30,1548.84,2012.20,1235.00,2618810.00,4056115149.70,107060.00,HclTech
25-Apr-25,EQ,1590.00,1618.00,1568.10,1586.70,1576.40,1578.20,1583.92,2012.20,1235.00,3800415.00,6019563732.60,118647.00,HclTech
24-Apr-25,EQ,1595.00,1603.30,1576.10,1594.00,1590.30,1586.70,1587.95,2012.20,1235.00,3193118.00,5070521059.30,123766.00,HclTech
23-Apr-25,EQ,1555.00,1600.00,1543.70,1479.90,1594.40,1594.00,1583.28,2012.20,1235.00,13293318.00,21046993578.60,329993.00,HclTech
22-Apr-25,EQ,1490.00,1499.90,1464.50,1482.00,1485.90,1479.90,1480.59,2012.20,1235.00,2608145.00,3861596452.80,95264.00,HclTech
21-Apr-25,EQ,1435.00,1499.00,1430.00,1438.00,1478.00,1482.00,1473.95,2012.20,1235.00,2840104.00,4186173438.60,97809.00,HclTech
17-Apr-25,EQ,1420.00,1442.10,1384.00,1431.70,1439.00,1438.00,1409.58,2012.20,1235.00,3549969.00,5003973557.20,168356.00,HclTech
16-Apr-25,EQ,1415.00,1436.10,1405.50,1426.50,1434.00,1431.70,1424.34,2012.20,1235.00,2553111.00,3636487592.80,93892.00,HclTech
15-Apr-25,EQ,1420.00,1428.80,1406.00,1390.55,1426.00,1426.50,1420.09,2012.20,1235.00,3265147.00,4636787070.10,94027.00,HclTech
11-Apr-25,EQ,1360.00,1425.00,1360.00,1380.00,1393.50,1390.55,1399.73,2012.20,1235.00,4859622.00,6802145997.60,185045.00,HclTech
09-Apr-25,EQ,1380.65,1388.70,1357.05,1403.35,1380.70,1380.00,1377.67,2012.20,1235.00,3306801.00,4555685085.35,135840.00,HclTech
08-Apr-25,EQ,1380.00,1424.25,1372.00,1374.10,1402.90,1403.35,1396.09,2012.20,1235.00,3938359.00,5498293565.60,147712.00,HclTech
07-Apr-25,EQ,1345.00,1383.75,1302.75,1422.10,1377.95,1374.10,1341.53,2012.20,1235.00,6484139.00,8698642588.85,266089.00,HclTech
04-Apr-25,EQ,1449.00,1456.20,1419.10,1470.10,1427.00,1422.10,1433.64,2012.20,1235.00,4421312.00,6338587669.20,196195.00,HclTech
03-Apr-25,EQ,1500.00,1500.00,1465.00,1527.55,1468.40,1470.10,1477.26,2012.20,1235.00,3966161.00,5859047298.70,214252.00,HclTech
02-Apr-25,EQ,1515.00,1538.55,1506.40,1530.35,1531.00,1527.55,1524.27,2012.20,1235.00,3167863.00,4828663976.40,108710.00,HclTech
01-Apr-25,EQ,1577.00,1585.00,1526.10,1592.50,1534.50,1530.35,1549.26,2012.20,1235.00,4126827.00,6393517652.35,191916.00,HclTech
28-Mar-25,EQ,1616.10,1625.55,1581.60,1630.15,1591.00,1592.50,1603.17,2012.20,1235.00,2211077.00,3544737955.45,80891.00,HclTech
27-Mar-25,EQ,1625.65,1645.00,1613.55,1633.40,1637.25,1630.15,1626.44,2012.20,1235.00,3383080.00,5502369601.75,112017.00,HclTech
26-Mar-25,EQ,1624.90,1644.95,1622.00,1624.90,1625.65,1633.40,1634.48,2012.20,1235.00,3096513.00,5061183927.45,106271.00,HclTech
25-Mar-25,EQ,1622.00,1658.95,1618.95,1604.15,1621.05,1624.90,1633.44,2012.20,1235.00,4906013.00,8013690211.65,175718.00,HclTech
24-Mar-25,EQ,1591.00,1610.90,1560.00,1566.70,1602.85,1604.15,1590.29,2012.20,1235.00,2487843.00,3956391435.80,100840.00,HclTech
21-Mar-25,EQ,1535.10,1592.05,1521.50,1562.00,1565.00,1566.70,1567.64,2012.20,1235.00,8109210.00,12712307970.70,157465.00,HclTech
20-Mar-25,EQ,1547.85,1582.10,1547.05,1544.45,1555.00,1562.00,1568.78,2012.20,1235.00,4608677.00,7229982395.50,183935.00,HclTech
19-Mar-25,EQ,1558.50,1561.35,1525.10,1558.20,1547.00,1544.45,1536.19,2012.20,1235.00,4522829.00,6947916763.10,163793.00,HclTech
18-Mar-25,EQ,1545.15,1560.95,1530.65,1545.15,1560.95,1558.20,1553.11,2012.20,1235.00,2930865.00,4551948771.15,110392.00,HclTech
17-Mar-25,EQ,1528.00,1547.55,1519.05,1534.75,1545.00,1545.15,1532.81,2012.20,1235.00,2029100.00,3110221525.20,102852.00,HclTech
13-Mar-25,EQ,1540.60,1547.95,1529.15,1540.60,1532.00,1534.75,1536.04,2012.20,1235.00,1983351.00,3046509090.20,109012.00,HclTech
12-Mar-25,EQ,1556.00,1565.00,1507.10,1567.85,1537.60,1540.60,1526.42,2012.20,1235.00,3113860.00,4753043277.90,127422.00,HclTech
11-Mar-25,EQ,1529.95,1573.95,1522.60,1549.30,1567.00,1567.85,1553.21,2012.20,1235.00,1846190.00,2867523976.00,116653.00,HclTech
10-Mar-25,EQ,1557.00,1572.45,1547.00,1557.95,1549.80,1549.30,1558.35,2012.20,1235.00,1855766.00,2891926346.10,111573.00,HclTech
