Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1933.80,1943.80,1928.40,1933.80,1934.50,1934.70,1933.50,1978.90,1430.30,7934005.00,15340426257.00,175140.00,HdfcBank
15-May-25,EQ,1913.50,1944.80,1897.00,1910.60,1933.80,1933.80,1923.01,1978.90,1430.30,16120729.00,31000329957.90,224596.00,HdfcBank
14-May-25,EQ,1922.10,1930.20,1903.00,1922.60,1913.50,1910.60,1914.76,1978.90,1430.30,7722654.00,14787000374.50,189542.00,HdfcBank
13-May-25,EQ,1950.00,1961.70,1920.00,1957.20,1924.90,1922.60,1930.60,1978.90,1430.30,12121051.00,23400936924.40,234495.00,HdfcBank
12-May-25,EQ,1917.60,1959.90,1912.30,1889.70,1956.40,1957.20,1948.86,1978.90,1430.30,9309486.00,18142865391.20,207249.00,HdfcBank
09-May-25,EQ,1910.10,1919.00,1886.80,1928.50,1893.30,1889.70,1894.97,1978.90,1426.80,8594398.00,16286144558.60,292155.00,HdfcBank
08-May-25,EQ,1954.80,1954.80,1919.10,1945.60,1921.50,1928.50,1933.80,1978.90,1426.80,17401715.00,33651432174.30,280256.00,HdfcBank
07-May-25,EQ,1934.00,1948.70,1922.40,1931.70,1945.00,1945.60,1939.91,1978.90,1426.80,10710389.00,20777145511.00,178998.00,HdfcBank
06-May-25,EQ,1930.00,1940.10,1924.30,1936.80,1928.60,1931.70,1931.89,1978.90,1426.80,8745078.00,16894488689.10,140830.00,HdfcBank
05-May-25,EQ,1939.00,1952.00,1932.30,1925.00,1935.80,1936.80,1940.79,1978.90,1426.80,7534012.00,14621940034.00,160044.00,HdfcBank
02-May-25,EQ,1929.80,1941.90,1920.00,1925.00,1923.50,1925.00,1930.63,1978.90,1426.80,11406024.00,22020820771.50,236285.00,HdfcBank
30-Apr-25,EQ,1913.00,1936.90,1910.30,1908.80,1920.10,1925.00,1925.02,1978.90,1426.80,15968435.00,30739492241.20,275126.00,HdfcBank
29-Apr-25,EQ,1918.80,1928.80,1900.20,1920.20,1906.00,1908.80,1909.52,1978.90,1426.80,9459154.00,18062438512.30,186299.00,HdfcBank
28-Apr-25,EQ,1911.20,1929.70,1908.40,1911.20,1921.00,1920.20,1922.17,1978.90,1426.80,6960246.00,13378745824.70,155527.00,HdfcBank
25-Apr-25,EQ,1924.80,1933.00,1891.80,1916.80,1908.00,1911.20,1911.37,1978.90,1426.80,9250439.00,17681017343.80,201781.00,HdfcBank
24-Apr-25,EQ,1910.00,1923.90,1905.10,1923.90,1914.90,1916.80,1916.73,1978.90,1426.80,12965877.00,24852091752.80,227034.00,HdfcBank
23-Apr-25,EQ,1978.90,1978.90,1920.50,1961.70,1920.70,1923.90,1939.04,1978.90,1426.80,15285321.00,29638923676.10,247823.00,HdfcBank
22-Apr-25,EQ,1935.00,1970.60,1935.00,1927.10,1960.00,1961.70,1957.16,1970.60,1426.80,22980875.00,44977215852.40,512026.00,HdfcBank
21-Apr-25,EQ,1924.00,1950.70,1910.00,1906.70,1925.20,1927.10,1930.83,1950.70,1426.80,17123649.00,33062832499.30,411337.00,HdfcBank
17-Apr-25,EQ,1882.00,1919.70,1876.70,1878.00,1905.80,1906.70,1901.41,1919.70,1426.80,17851542.00,33943168763.20,394807.00,HdfcBank
16-Apr-25,EQ,1883.80,1883.80,1860.50,1864.90,1875.90,1878.00,1874.15,1883.80,1426.80,9568410.00,17932665363.90,252887.00,HdfcBank
15-Apr-25,EQ,1865.00,1876.80,1855.00,1806.75,1865.60,1864.90,1866.76,1880.00,1426.80,24649172.00,46014108976.00,360194.00,HdfcBank
11-Apr-25,EQ,1774.75,1819.40,1774.75,1765.00,1805.20,1806.75,1803.31,1880.00,1426.80,16387883.00,29552499474.85,395826.00,HdfcBank
09-Apr-25,EQ,1765.00,1775.00,1753.50,1769.15,1765.30,1765.00,1761.66,1880.00,1426.80,11227304.00,19778728957.55,207950.00,HdfcBank
08-Apr-25,EQ,1765.00,1782.00,1750.30,1757.70,1770.15,1769.15,1769.16,1880.00,1426.80,17781936.00,31459003790.15,355184.00,HdfcBank
07-Apr-25,EQ,1762.80,1779.85,1738.20,1817.30,1760.05,1757.70,1759.15,1880.00,1426.80,18997725.00,33419875202.00,374557.00,HdfcBank
04-Apr-25,EQ,1813.00,1841.95,1811.10,1794.85,1816.80,1817.30,1824.22,1880.00,1426.80,16770227.00,30592639918.20,316416.00,HdfcBank
03-Apr-25,EQ,1781.10,1804.00,1777.00,1796.90,1792.80,1794.85,1794.09,1880.00,1426.80,5625019.00,10091817304.10,147618.00,HdfcBank
02-Apr-25,EQ,1770.70,1799.20,1770.70,1767.85,1798.90,1796.90,1791.24,1880.00,1426.80,5786782.00,10365535361.90,144509.00,HdfcBank
01-Apr-25,EQ,1802.00,1809.90,1765.35,1828.20,1769.90,1767.85,1781.74,1880.00,1426.80,14255503.00,25399632617.35,409481.00,HdfcBank
28-Mar-25,EQ,1829.00,1836.00,1805.85,1825.35,1825.50,1828.20,1821.88,1880.00,1421.25,14386824.00,26211031845.90,276619.00,HdfcBank
27-Mar-25,EQ,1800.00,1841.00,1798.10,1806.55,1821.20,1825.35,1827.55,1880.00,1421.25,20829050.00,38066130418.30,416415.00,HdfcBank
26-Mar-25,EQ,1825.00,1827.50,1802.00,1821.45,1803.00,1806.55,1814.11,1880.00,1421.25,12239221.00,22203311052.10,265431.00,HdfcBank
25-Mar-25,EQ,1804.90,1843.70,1801.50,1800.00,1816.00,1821.45,1825.84,1880.00,1421.25,19550708.00,35696516139.20,407401.00,HdfcBank
24-Mar-25,EQ,1779.00,1804.40,1773.65,1770.35,1802.80,1800.00,1794.28,1880.00,1421.25,8696868.00,15604655158.80,286856.00,HdfcBank
21-Mar-25,EQ,1755.55,1774.10,1755.55,1768.75,1772.50,1770.35,1766.98,1880.00,1421.25,16754132.00,29604196148.95,210244.00,HdfcBank
20-Mar-25,EQ,1754.00,1774.00,1749.30,1744.10,1766.60,1768.75,1760.62,1880.00,1421.25,8916989.00,15699398473.15,218030.00,HdfcBank
