Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,750.00,754.00,747.05,751.20,748.65,750.55,750.09,761.20,511.40,1426234.00,1069807267.10,43247.00,HdfcLife
15-May-25,EQ,743.05,753.60,734.00,741.70,748.65,751.20,745.11,761.20,511.40,3338741.00,2487731783.90,105170.00,HdfcLife
14-May-25,EQ,740.00,750.00,734.15,735.05,741.00,741.70,743.52,761.20,511.40,2058831.00,1530783673.35,62944.00,HdfcLife
13-May-25,EQ,735.40,742.40,732.15,734.60,735.30,735.05,737.00,761.20,511.40,1445358.00,1065222692.25,72517.00,HdfcLife
12-May-25,EQ,720.00,737.00,720.00,713.60,733.65,734.60,733.41,761.20,511.40,1488045.00,1091340645.65,55032.00,HdfcLife
09-May-25,EQ,709.00,717.00,708.40,722.95,716.45,713.60,712.88,761.20,511.40,3210705.00,2288835041.60,80101.00,HdfcLife
08-May-25,EQ,718.50,726.20,715.50,723.90,718.05,722.95,722.68,761.20,511.40,3057761.00,2209791856.45,81929.00,HdfcLife
07-May-25,EQ,719.00,728.85,718.00,722.60,721.40,723.90,724.40,761.20,511.40,1657343.00,1200571996.80,58325.00,HdfcLife
06-May-25,EQ,738.90,742.65,718.80,738.90,723.00,722.60,728.13,761.20,511.40,1498360.00,1091005418.45,63756.00,HdfcLife
05-May-25,EQ,730.10,741.35,727.30,727.75,738.00,738.90,738.48,761.20,511.40,2761798.00,2039532914.15,50082.00,HdfcLife
02-May-25,EQ,743.70,749.35,726.45,743.70,726.50,727.75,736.24,761.20,511.40,3286801.00,2419865594.55,103466.00,HdfcLife
30-Apr-25,EQ,712.10,749.80,712.10,715.05,745.00,743.70,738.47,761.20,511.40,8732964.00,6449003032.70,185049.00,HdfcLife
29-Apr-25,EQ,715.90,719.00,707.00,710.85,715.00,715.05,712.82,761.20,511.40,2545118.00,1814204893.05,73402.00,HdfcLife
28-Apr-25,EQ,702.70,714.50,698.10,704.55,707.65,710.85,706.36,761.20,511.40,1944250.00,1373343024.05,62876.00,HdfcLife
25-Apr-25,EQ,711.45,733.50,692.65,708.40,702.70,704.55,709.82,761.20,511.40,3714671.00,2636752251.65,83753.00,HdfcLife
24-Apr-25,EQ,713.00,716.00,705.00,709.10,705.00,708.40,710.53,761.20,511.40,3814638.00,2710431595.60,89289.00,HdfcLife
23-Apr-25,EQ,715.40,715.90,705.10,712.55,708.20,709.10,710.23,761.20,511.40,2091384.00,1485371450.60,67663.00,HdfcLife
22-Apr-25,EQ,718.00,721.85,708.55,712.20,708.60,712.55,714.71,761.20,511.40,2669384.00,1907847566.00,75038.00,HdfcLife
21-Apr-25,EQ,725.00,725.00,703.60,720.05,712.00,712.20,710.05,761.20,511.40,6168127.00,4379653534.15,122923.00,HdfcLife
17-Apr-25,EQ,716.05,723.75,709.55,716.05,719.00,720.05,716.77,761.20,511.40,3105731.00,2226095329.60,110298.00,HdfcLife
16-Apr-25,EQ,700.20,721.35,700.20,704.70,717.00,716.05,715.49,761.20,511.40,3452538.00,2470272573.65,94375.00,HdfcLife
15-Apr-25,EQ,691.15,707.50,690.30,685.55,705.35,704.70,701.60,761.20,511.40,2306442.00,1618201766.35,92660.00,HdfcLife
11-Apr-25,EQ,683.40,690.40,682.15,684.80,684.80,685.55,685.42,761.20,511.40,3264303.00,2237423483.25,96854.00,HdfcLife
09-Apr-25,EQ,685.50,691.60,679.15,685.75,685.50,684.80,685.38,761.20,511.40,3054715.00,2093650603.50,85553.00,HdfcLife
08-Apr-25,EQ,674.50,689.75,668.30,665.95,685.00,685.75,679.67,761.20,511.40,3279965.00,2229288756.55,81267.00,HdfcLife
07-Apr-25,EQ,663.75,680.00,651.70,689.05,667.25,665.95,667.39,761.20,511.40,3861746.00,2577273166.45,124294.00,HdfcLife
04-Apr-25,EQ,687.00,695.00,684.15,692.90,685.90,689.05,689.93,761.20,511.40,3867188.00,2668099430.95,65940.00,HdfcLife
