Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,4330.00,4363.00,4294.30,4325.00,4335.00,4345.30,4325.72,6246.25,3344.00,765257.00,3310287241.90,76782.00,Heromotoco
15-May-25,EQ,4083.00,4347.00,4067.20,4067.20,4318.00,4325.00,4254.84,6246.25,3344.00,2629014.00,11186027876.80,202903.00,Heromotoco
14-May-25,EQ,4070.00,4107.80,3933.00,4063.60,4050.00,4067.20,4036.55,6246.25,3344.00,1199813.00,4843104200.60,120276.00,Heromotoco
13-May-25,EQ,3999.00,4098.40,3957.50,3984.90,4055.50,4063.60,4035.03,6246.25,3344.00,1197629.00,4832469645.00,105993.00,Heromotoco
12-May-25,EQ,3929.90,3999.50,3910.00,3853.90,3998.00,3984.90,3951.12,6246.25,3344.00,547435.00,2162980822.10,49149.00,Heromotoco
09-May-25,EQ,3735.00,3896.10,3735.00,3800.50,3850.00,3853.90,3842.49,6246.25,3344.00,859973.00,3304433724.50,66473.00,Heromotoco
08-May-25,EQ,3869.00,3875.00,3775.70,3868.00,3800.00,3800.50,3811.25,6246.25,3344.00,739365.00,2817905820.20,65769.00,Heromotoco
07-May-25,EQ,3820.00,3894.80,3813.60,3872.60,3860.50,3868.00,3869.07,6246.25,3344.00,448141.00,1733886936.80,49089.00,Heromotoco
06-May-25,EQ,3785.00,3908.00,3781.00,3767.60,3861.00,3872.60,3870.23,6246.25,3344.00,1210118.00,4683440377.90,98164.00,Heromotoco
05-May-25,EQ,3769.00,3794.50,3742.30,3740.50,3785.00,3767.60,3768.34,6246.25,3344.00,640182.00,2412421455.30,50202.00,Heromotoco
02-May-25,EQ,3803.60,3914.00,3725.00,3827.40,3741.00,3740.50,3796.79,6246.25,3344.00,1042867.00,3959545681.30,88831.00,Heromotoco
30-Apr-25,EQ,3852.70,3867.50,3806.50,3852.70,3836.00,3827.40,3826.00,6246.25,3344.00,892342.00,3414101726.40,59174.00,Heromotoco
29-Apr-25,EQ,3935.50,3953.90,3846.40,3911.70,3855.10,3852.70,3883.81,6246.25,3344.00,428581.00,1664526010.90,40782.00,Heromotoco
28-Apr-25,EQ,3895.00,3935.00,3846.50,3895.50,3920.60,3911.70,3897.96,6246.25,3344.00,521342.00,2032170819.70,63569.00,Heromotoco
25-Apr-25,EQ,3960.00,3994.10,3839.90,3954.50,3876.00,3895.50,3901.96,6246.25,3344.00,652719.00,2546882771.80,63879.00,Heromotoco
24-Apr-25,EQ,3940.60,3988.00,3924.90,3940.50,3962.90,3954.50,3954.86,6246.25,3344.00,1227984.00,4856507648.30,73562.00,Heromotoco
23-Apr-25,EQ,3862.10,3954.20,3822.60,3833.60,3930.00,3940.50,3888.97,6246.25,3344.00,800615.00,3113566829.10,77599.00,Heromotoco
22-Apr-25,EQ,3901.00,3902.90,3821.20,3917.00,3837.90,3833.60,3837.85,6246.25,3344.00,927543.00,3559767491.40,71536.00,Heromotoco
21-Apr-25,EQ,3794.00,3932.50,3756.00,3771.80,3903.40,3917.00,3872.62,6246.25,3344.00,1031160.00,3993290529.50,69820.00,Heromotoco
17-Apr-25,EQ,3781.90,3797.60,3664.30,3781.90,3772.00,3771.80,3731.76,6246.25,3344.00,970749.00,3622605358.90,123832.00,Heromotoco
16-Apr-25,EQ,3809.00,3816.60,3742.00,3803.90,3790.00,3781.90,3769.13,6246.25,3344.00,491227.00,1851500486.10,55108.00,Heromotoco
15-Apr-25,EQ,3749.00,3816.00,3686.50,3666.00,3808.10,3803.90,3772.25,6246.25,3344.00,604277.00,2279483519.60,63500.00,Heromotoco
11-Apr-25,EQ,3620.45,3704.10,3620.45,3610.90,3663.00,3666.00,3667.44,6246.25,3344.00,436704.00,1601587141.65,42603.00,Heromotoco
09-Apr-25,EQ,3590.00,3678.75,3538.00,3574.15,3621.45,3610.90,3615.10,6246.25,3344.00,584571.00,2113280031.80,69533.00,Heromotoco
08-Apr-25,EQ,3600.00,3622.90,3510.25,3526.90,3581.00,3574.15,3554.61,6246.25,3344.00,450859.00,1602626557.80,57580.00,Heromotoco
07-Apr-25,EQ,3478.95,3545.00,3344.00,3659.20,3526.05,3526.90,3476.12,6246.25,3344.00,605866.00,2106062052.35,69578.00,Heromotoco
