Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,659.50,662.95,654.35,661.35,656.90,657.55,657.34,772.65,546.45,2701320.00,1775686578.35,50769.00,Hindalco
15-May-25,EQ,649.50,663.65,646.30,650.55,658.80,661.35,658.36,772.65,546.45,7133226.00,4696207555.95,118633.00,Hindalco
14-May-25,EQ,635.50,652.95,634.00,634.75,649.50,650.55,647.71,772.65,546.45,4819584.00,3121701845.90,88106.00,Hindalco
13-May-25,EQ,645.00,646.35,632.00,651.95,635.00,634.75,638.08,772.65,546.45,6025310.00,3844617217.50,141675.00,Hindalco
12-May-25,EQ,640.15,654.25,638.05,627.15,651.25,651.95,646.75,772.65,546.45,5474816.00,3540849204.15,115187.00,Hindalco
09-May-25,EQ,609.10,630.30,603.75,620.20,626.10,627.15,622.80,772.65,546.45,3870212.00,2410374688.30,91149.00,Hindalco
08-May-25,EQ,635.80,636.30,615.05,636.30,616.00,620.20,623.61,772.65,546.45,5791783.00,3611795300.10,93014.00,Hindalco
07-May-25,EQ,633.00,638.70,629.35,630.05,635.85,636.30,635.01,772.65,546.45,3587997.00,2278410640.10,69049.00,Hindalco
06-May-25,EQ,638.95,642.70,627.45,633.40,629.05,630.05,634.51,772.65,546.45,2778131.00,1762753138.55,49197.00,Hindalco
05-May-25,EQ,635.25,641.60,629.55,632.10,634.35,633.40,634.89,772.65,546.45,2552160.00,1620343762.35,49268.00,Hindalco
02-May-25,EQ,624.00,650.10,621.80,624.65,632.90,632.10,637.22,772.65,546.45,6341829.00,4041128696.70,105893.00,Hindalco
30-Apr-25,EQ,622.55,632.55,615.00,622.55,620.55,624.65,625.99,772.65,546.45,5905186.00,3696561261.30,89794.00,Hindalco
29-Apr-25,EQ,631.05,634.25,621.65,628.65,622.50,622.55,624.41,772.65,546.45,4528870.00,2827891324.75,76239.00,Hindalco
28-Apr-25,EQ,622.45,631.50,622.40,622.10,628.85,628.65,628.52,772.65,546.45,3965901.00,2492630735.80,91323.00,Hindalco
25-Apr-25,EQ,632.40,634.30,612.95,628.35,620.15,622.10,622.32,772.65,546.45,3925971.00,2443206014.80,82917.00,Hindalco
24-Apr-25,EQ,630.00,632.55,626.10,629.10,628.35,628.35,628.68,772.65,546.45,3367773.00,2117245258.15,54284.00,Hindalco
23-Apr-25,EQ,628.75,633.00,620.70,620.10,627.70,629.10,627.27,772.65,546.45,4674766.00,2932345342.95,76624.00,Hindalco
22-Apr-25,EQ,625.00,631.05,619.05,622.00,619.15,620.10,623.56,772.65,546.45,4970919.00,3099681356.90,116465.00,Hindalco
21-Apr-25,EQ,611.50,624.90,607.05,609.50,622.10,622.00,617.92,772.65,546.45,2655716.00,1641016747.30,75352.00,Hindalco
17-Apr-25,EQ,608.90,616.00,604.00,609.90,608.00,609.50,609.30,772.65,546.45,4518317.00,2753000699.50,89278.00,Hindalco
16-Apr-25,EQ,618.15,619.35,602.00,617.60,609.65,609.90,608.55,772.65,546.45,4447732.00,2706651663.75,72861.00,Hindalco
15-Apr-25,EQ,613.00,619.30,606.35,600.30,618.05,617.60,614.48,772.65,546.45,4871858.00,2993676985.35,78805.00,Hindalco
11-Apr-25,EQ,585.00,607.95,576.10,564.00,601.80,600.30,596.56,772.65,546.45,12562852.00,7494502986.55,157756.00,Hindalco
09-Apr-25,EQ,567.75,567.75,552.20,568.35,564.25,564.00,561.03,772.65,546.45,7009318.00,3932436468.85,129782.00,Hindalco
08-Apr-25,EQ,575.00,584.35,555.95,561.80,569.25,568.35,565.17,772.65,546.45,8831753.00,4991485540.25,155654.00,Hindalco
07-Apr-25,EQ,559.00,570.00,546.45,599.95,564.45,561.80,559.73,772.65,546.45,13117998.00,7342545664.20,266862.00,Hindalco
04-Apr-25,EQ,645.00,645.00,596.55,652.65,600.00,599.95,611.52,772.65,557.60,9393865.00,5744551627.40,150679.00,Hindalco
03-Apr-25,EQ,658.00,658.00,647.60,661.20,653.10,652.65,653.22,772.65,557.60,5646497.00,3688400318.20,100577.00,Hindalco
02-Apr-25,EQ,668.70,669.00,652.75,663.75,661.45,661.20,658.01,772.65,557.60,8357384.00,5499205624.15,100908.00,Hindalco
01-Apr-25,EQ,672.00,683.10,661.95,682.45,663.50,663.75,668.86,772.65,557.60,5131883.00,3432506539.45,76650.00,Hindalco
28-Mar-25,EQ,690.50,697.45,679.30,693.35,682.00,682.45,684.09,772.65,545.00,4362212.00,2984146404.60,100592.00,Hindalco
27-Mar-25,EQ,690.95,697.90,689.20,691.30,691.55,693.35,693.55,772.65,545.00,5002247.00,3469299136.90,82861.00,Hindalco
26-Mar-25,EQ,695.00,702.40,690.50,693.45,691.00,691.30,695.14,772.65,545.00,3646226.00,2534619800.70,64325.00,Hindalco
25-Mar-25,EQ,700.45,704.35,683.25,701.50,692.00,693.45,691.22,772.65,545.00,4552278.00,3146620883.65,81042.00,Hindalco
24-Mar-25,EQ,704.85,705.75,695.10,695.35,702.35,701.50,700.73,772.65,545.00,4296847.00,3010942069.35,113449.00,Hindalco
21-Mar-25,EQ,715.00,715.00,694.20,705.95,697.00,695.35,699.93,772.65,516.35,7595841.00,5316539121.25,103691.00,Hindalco
20-Mar-25,EQ,702.50,709.85,697.60,698.55,706.00,705.95,704.68,772.65,516.35,4670064.00,3290906195.20,118809.00,Hindalco
19-Mar-25,EQ,703.00,703.00,690.50,697.85,697.00,698.55,697.71,772.65,516.35,5462686.00,3811376910.40,98652.00,Hindalco
18-Mar-25,EQ,689.25,701.00,685.95,680.75,696.80,697.85,697.23,772.65,516.35,5954283.00,4151506834.45,111584.00,Hindalco
17-Mar-25,EQ,678.25,687.50,677.85,677.35,681.90,680.75,681.33,772.65,516.35,4033133.00,2747892242.50,64277.00,Hindalco
13-Mar-25,EQ,690.20,692.95,673.25,689.85,678.05,677.35,678.67,772.65,501.20,4877884.00,3310488806.10,93778.00,Hindalco
12-Mar-25,EQ,700.00,702.00,683.80,695.50,690.05,689.85,691.02,772.65,501.20,5219333.00,3606685960.70,92382.00,Hindalco
11-Mar-25,EQ,684.00,699.00,676.80,689.15,699.00,695.50,689.93,772.65,501.20,5262297.00,3630625226.85,85450.00,Hindalco
10-Mar-25,EQ,689.80,709.30,686.50,691.35,690.05,689.15,697.75,772.65,501.20,10707412.00,7471143706.15,167288.00,Hindalco
07-Mar-25,EQ,678.60,694.60,678.60,681.95,689.95,691.35,688.35,772.65,501.20,8142832.00,5605118732.05,120043.00,Hindalco
06-Mar-25,EQ,664.95,687.60,661.85,657.35,680.45,681.95,676.21,772.65,501.20,10993614.00,7433996000.45,207512.00,Hindalco
05-Mar-25,EQ,638.00,662.50,638.00,641.65,657.35,657.35,655.65,772.65,501.20,7876653.00,5164345356.50,136065.00,Hindalco
04-Mar-25,EQ,628.00,643.85,624.10,636.55,640.00,641.65,639.02,772.65,501.20,4430660.00,2831277909.15,100212.00,Hindalco
03-Mar-25,EQ,634.45,643.50,620.70,634.35,638.20,636.55,632.23,772.65,501.20,5368388.00,3394061372.65,123609.00,Hindalco
28-Feb-25,EQ,630.00,636.60,619.45,631.95,634.00,634.35,630.56,772.65,499.00,13041185.00,8223192748.30,132761.00,Hindalco
27-Feb-25,EQ,625.10,633.90,619.50,619.45,630.50,631.95,627.12,772.65,499.00,7263151.00,4554838777.90,106240.00,Hindalco
25-Feb-25,EQ,636.00,638.45,617.10,641.90,622.55,619.45,621.99,772.65,499.00,10249548.00,6375110831.95,238422.00,Hindalco
24-Feb-25,EQ,642.00,647.90,636.25,653.55,640.90,641.90,642.65,772.65,499.00,5931712.00,3812008464.35,101478.00,Hindalco
21-Feb-25,EQ,639.20,656.20,637.95,638.80,652.15,653.55,650.79,772.65,499.00,7490723.00,4874883945.65,153554.00,Hindalco
20-Feb-25,EQ,627.00,644.20,625.00,626.30,639.25,638.80,638.41,772.65,499.00,6904537.00,4407957400.45,116688.00,Hindalco
19-Feb-25,EQ,607.00,628.35,606.55,611.45,627.95,626.30,620.30,772.65,499.00,6101855.00,3785009091.15,97897.00,Hindalco
18-Feb-25,EQ,609.00,613.70,601.70,610.85,609.00,611.45,608.24,772.65,499.00,2956837.00,1798454671.20,63828.00,Hindalco
17-Feb-25,EQ,606.20,611.90,589.65,606.20,610.05,610.85,603.47,772.65,499.00,4470099.00,2697548992.60,82977.00,Hindalco
14-Feb-25,EQ,609.00,616.00,595.05,602.50,604.00,606.20,604.22,772.65,496.35,11475440.00,6933688949.45,180429.00,Hindalco
13-Feb-25,EQ,596.05,607.95,590.10,598.90,604.40,602.50,602.38,772.65,496.35,4415122.00,2659587384.10,137164.00,Hindalco
12-Feb-25,EQ,599.05,604.95,586.35,595.85,597.15,598.90,596.98,772.65,496.35,3764143.00,2247129270.05,78775.00,Hindalco
11-Feb-25,EQ,594.05,607.00,591.65,596.00,596.05,595.85,598.65,772.65,496.35,5303293.00,3174822088.05,81162.00,Hindalco
10-Feb-25,EQ,605.00,606.10,589.50,607.40,595.85,596.00,595.83,772.65,496.35,3434505.00,2046370235.35,85912.00,Hindalco
07-Feb-25,EQ,595.45,610.60,594.00,595.45,609.20,607.40,605.47,772.65,496.35,4687823.00,2838341920.00,88225.00,Hindalco
06-Feb-25,EQ,601.05,606.80,591.25,600.60,596.95,595.45,596.47,772.65,496.35,3571342.00,2130182114.25,64929.00,Hindalco
05-Feb-25,EQ,584.50,604.50,584.50,583.95,600.90,600.60,598.82,772.65,496.35,3974704.00,2380140680.10,70511.00,Hindalco
04-Feb-25,EQ,580.50,595.90,580.20,574.05,585.10,583.95,586.42,772.65,496.35,5318376.00,3118816972.55,65170.00,Hindalco
03-Feb-25,EQ,575.00,576.60,557.60,586.45,575.00,574.05,571.34,772.65,496.35,8169543.00,4667551171.90,144207.00,Hindalco
01-Feb-25,EQ,594.00,595.40,582.00,594.30,586.10,586.45,590.50,772.65,496.35,1740719.00,1027902113.20,28126.00,Hindalco
31-Jan-25,EQ,590.00,596.40,584.30,587.85,593.75,594.30,591.73,772.65,496.35,3750965.00,2219554340.55,75618.00,Hindalco
30-Jan-25,EQ,586.90,601.85,581.70,584.10,590.60,587.85,590.63,772.65,496.35,4604752.00,2719715145.95,78457.00,Hindalco
29-Jan-25,EQ,576.50,587.85,571.60,573.85,586.00,584.10,579.72,772.65,496.35,4618198.00,2677283586.15,99542.00,Hindalco
28-Jan-25,EQ,590.10,591.65,568.30,586.90,574.70,573.85,578.43,772.65,496.35,6250865.00,3615697803.60,87278.00,Hindalco
27-Jan-25,EQ,600.05,601.60,585.35,606.90,585.50,586.90,592.03,772.65,496.35,2919161.00,1728233267.95,53695.00,Hindalco
24-Jan-25,EQ,608.70,615.35,599.90,608.25,607.60,606.90,608.04,772.65,496.35,4608870.00,2802371176.75,63215.00,Hindalco
