Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,2360.00,2387.00,2349.00,2355.20,2380.00,2381.40,2364.82,3035.00,2136.00,1473000.00,3483386515.90,68020.00,Hindunilvr
15-May-25,EQ,2351.60,2369.90,2340.00,2350.50,2355.00,2355.20,2355.01,3035.00,2136.00,3236681.00,7622408947.00,145637.00,Hindunilvr
14-May-25,EQ,2370.00,2370.00,2338.50,2360.00,2351.70,2350.50,2348.36,3035.00,2136.00,1568111.00,3682482875.60,89391.00,Hindunilvr
13-May-25,EQ,2375.60,2398.00,2352.80,2382.50,2359.70,2360.00,2365.67,3035.00,2136.00,1929665.00,4564943492.00,102660.00,Hindunilvr
12-May-25,EQ,2360.00,2387.00,2346.10,2332.90,2381.70,2382.50,2377.71,3035.00,2136.00,1274873.00,3031275467.70,61649.00,Hindunilvr
09-May-25,EQ,2330.00,2342.70,2302.30,2354.90,2336.00,2332.90,2325.81,3035.00,2136.00,1805685.00,4199687091.70,99944.00,Hindunilvr
08-May-25,EQ,2361.70,2371.90,2341.00,2370.80,2346.80,2354.90,2355.19,3035.00,2136.00,2323073.00,5471266856.20,115982.00,Hindunilvr
07-May-25,EQ,2369.00,2386.90,2355.30,2381.80,2367.10,2370.80,2373.36,3035.00,2136.00,1610400.00,3822055801.20,69587.00,Hindunilvr
06-May-25,EQ,2340.20,2390.10,2340.20,2348.60,2381.60,2381.80,2374.17,3035.00,2136.00,1888125.00,4482731038.30,98625.00,Hindunilvr
05-May-25,EQ,2324.10,2354.90,2319.10,2323.90,2346.50,2348.60,2345.90,3035.00,2136.00,2074103.00,4865631673.30,77265.00,Hindunilvr
02-May-25,EQ,2334.10,2345.00,2310.00,2342.10,2318.60,2323.90,2326.05,3035.00,2136.00,1953078.00,4542956706.40,82367.00,Hindunilvr
30-Apr-25,EQ,2320.00,2352.50,2316.00,2321.70,2335.50,2342.10,2342.17,3035.00,2136.00,2083807.00,4880621395.40,133969.00,Hindunilvr
29-Apr-25,EQ,2328.00,2332.50,2312.60,2318.60,2325.00,2321.70,2322.81,3035.00,2136.00,1896387.00,4404947519.20,76093.00,Hindunilvr
28-Apr-25,EQ,2345.00,2349.00,2315.00,2332.20,2317.60,2318.60,2325.52,3035.00,2136.00,1555660.00,3617715983.80,77606.00,Hindunilvr
25-Apr-25,EQ,2331.90,2341.90,2294.40,2325.30,2328.10,2332.20,2314.91,3035.00,2136.00,2859858.00,6620321627.90,167193.00,Hindunilvr
24-Apr-25,EQ,2423.80,2487.40,2317.10,2423.80,2324.00,2325.30,2357.73,3035.00,2136.00,7065430.00,16658408483.50,291862.00,Hindunilvr
23-Apr-25,EQ,2410.00,2438.00,2393.40,2398.70,2422.00,2423.80,2419.70,3035.00,2136.00,2226066.00,5386401195.60,107014.00,Hindunilvr
22-Apr-25,EQ,2370.00,2406.00,2355.10,2351.00,2403.00,2398.70,2385.63,3035.00,2136.00,2352346.00,5611821276.10,108902.00,Hindunilvr
21-Apr-25,EQ,2368.10,2372.40,2348.80,2375.00,2352.00,2351.00,2354.29,3035.00,2136.00,1478430.00,3480657060.30,95682.00,Hindunilvr
17-Apr-25,EQ,2357.10,2379.90,2343.10,2366.60,2372.50,2375.00,2365.08,3035.00,2136.00,1962402.00,4641234269.10,123489.00,Hindunilvr
16-Apr-25,EQ,2351.00,2376.00,2351.00,2361.50,2364.50,2366.60,2364.89,3035.00,2136.00,1131979.00,2677007573.40,58736.00,Hindunilvr
15-Apr-25,EQ,2400.00,2400.00,2345.20,2366.15,2368.00,2361.50,2360.91,3035.00,2136.00,3042779.00,7183724031.40,102995.00,Hindunilvr
11-Apr-25,EQ,2394.60,2394.85,2344.35,2350.00,2362.10,2366.15,2362.43,3035.00,2136.00,3836083.00,9062473924.90,150510.00,Hindunilvr
09-Apr-25,EQ,2293.95,2354.15,2289.50,2289.25,2349.00,2350.00,2341.45,3035.00,2136.00,2989089.00,6998787700.25,138810.00,Hindunilvr
08-Apr-25,EQ,2268.30,2306.20,2252.35,2249.40,2293.95,2289.25,2285.43,3035.00,2136.00,2774874.00,6341793092.60,145572.00,Hindunilvr
07-Apr-25,EQ,2150.00,2261.60,2150.00,2244.55,2250.00,2249.40,2234.34,3035.00,2136.00,3435185.00,7675370702.95,194418.00,Hindunilvr
04-Apr-25,EQ,2230.00,2267.05,2222.00,2244.55,2243.35,2244.55,2245.11,3035.00,2136.00,1120226.00,2515030830.10,61995.00,Hindunilvr
03-Apr-25,EQ,2225.45,2252.90,2220.60,2237.90,2241.65,2244.55,2240.47,3035.00,2136.00,1310088.00,2935218323.80,73387.00,Hindunilvr
02-Apr-25,EQ,2243.70,2243.70,2190.05,2233.85,2237.00,2237.90,2225.48,3035.00,2136.00,1351493.00,3007727207.20,73173.00,Hindunilvr
01-Apr-25,EQ,2259.00,2284.65,2220.00,2258.85,2237.00,2233.85,2241.96,3035.00,2136.00,2495962.00,5595842112.60,107898.00,Hindunilvr
28-Mar-25,EQ,2247.00,2296.00,2240.30,2244.65,2257.85,2258.85,2269.13,3035.00,2136.00,2280152.00,5173964115.85,98348.00,Hindunilvr
27-Mar-25,EQ,2244.20,2260.90,2200.00,2245.95,2243.85,2244.65,2245.33,3035.00,2136.00,3752627.00,8425874289.35,105998.00,Hindunilvr
26-Mar-25,EQ,2272.00,2279.90,2237.80,2271.30,2246.30,2245.95,2258.68,3035.00,2136.00,1416907.00,3200333405.75,96908.00,Hindunilvr
25-Mar-25,EQ,2250.75,2292.00,2243.35,2256.20,2264.70,2271.30,2271.30,3035.00,2136.00,2229340.00,5063505026.45,113061.00,Hindunilvr
24-Mar-25,EQ,2250.25,2266.00,2241.00,2246.20,2265.15,2256.20,2251.01,3035.00,2136.00,1454404.00,3273876899.10,66657.00,Hindunilvr
21-Mar-25,EQ,2245.00,2255.20,2225.80,2242.40,2247.50,2246.20,2244.27,3035.00,2136.00,2152415.00,4830600492.90,89511.00,Hindunilvr
20-Mar-25,EQ,2203.90,2248.90,2188.45,2200.05,2239.45,2242.40,2231.62,3035.00,2136.00,1426689.00,3183821438.55,75743.00,Hindunilvr
19-Mar-25,EQ,2207.00,2212.85,2193.45,2201.40,2198.95,2200.05,2200.94,3035.00,2136.00,1341405.00,2952352215.35,68294.00,Hindunilvr
18-Mar-25,EQ,2189.65,2215.00,2175.00,2171.25,2204.90,2201.40,2200.91,3035.00,2136.00,1475585.00,3247633509.10,74920.00,Hindunilvr
17-Mar-25,EQ,2161.00,2195.45,2156.50,2174.80,2172.50,2171.25,2169.26,3035.00,2136.00,1111886.00,2411964953.40,77099.00,Hindunilvr
13-Mar-25,EQ,2185.00,2209.95,2164.45,2192.90,2177.00,2174.80,2185.53,3035.00,2136.00,1845629.00,4033679411.75,97573.00,Hindunilvr
12-Mar-25,EQ,2217.35,2229.95,2185.00,2216.95,2194.65,2192.90,2209.60,3035.00,2136.00,1526212.00,3372315447.70,73258.00,Hindunilvr
11-Mar-25,EQ,2240.00,2262.45,2211.25,2247.75,2220.00,2216.95,2237.31,3035.00,2136.00,1325891.00,2966434804.40,94027.00,Hindunilvr
