Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1453.30,1458.70,1447.00,1450.80,1452.40,1454.00,1454.25,1458.70,1051.05,6439208.00,9364246054.90,145344.00,IciciBank
15-May-25,EQ,1425.90,1456.50,1415.50,1426.20,1451.00,1450.80,1438.96,1456.50,1051.05,18209264.00,26202383268.60,211899.00,IciciBank
14-May-25,EQ,1429.90,1440.70,1417.30,1430.60,1427.40,1426.20,1427.87,1453.00,1051.05,8026837.00,11461311035.00,143054.00,IciciBank
13-May-25,EQ,1440.10,1447.90,1427.40,1448.50,1430.80,1430.60,1432.31,1453.00,1051.05,12475424.00,17868617217.50,209013.00,IciciBank
12-May-25,EQ,1409.40,1453.00,1404.00,1388.90,1451.50,1448.50,1436.69,1453.00,1051.05,9925445.00,14259837185.10,180758.00,IciciBank
09-May-25,EQ,1415.20,1419.90,1387.00,1435.50,1389.00,1388.90,1394.54,1448.90,1051.05,13491197.00,18814033148.00,248736.00,IciciBank
08-May-25,EQ,1438.60,1448.90,1426.10,1435.40,1427.30,1435.50,1439.49,1448.90,1051.05,15306490.00,22033510832.00,182407.00,IciciBank
07-May-25,EQ,1425.00,1442.00,1421.00,1431.60,1437.10,1435.40,1431.25,1446.80,1051.05,10480453.00,15000167610.70,166481.00,IciciBank
06-May-25,EQ,1429.00,1433.70,1420.40,1429.40,1430.00,1431.60,1428.23,1446.80,1051.05,6301690.00,9000265687.10,133476.00,IciciBank
05-May-25,EQ,1440.00,1446.80,1426.00,1432.40,1427.40,1429.40,1432.29,1446.80,1051.05,4565705.00,6539397953.40,115354.00,IciciBank
02-May-25,EQ,1426.90,1446.60,1424.60,1427.00,1429.00,1432.40,1436.51,1446.60,1051.05,10763492.00,15461819959.10,170242.00,IciciBank
30-Apr-25,EQ,1433.00,1433.70,1400.00,1429.80,1424.30,1427.00,1427.91,1438.30,1051.05,14192027.00,20264976307.30,238248.00,IciciBank
29-Apr-25,EQ,1428.80,1438.30,1422.60,1428.80,1425.50,1429.80,1428.52,1438.30,1051.05,10786910.00,15409265024.50,223499.00,IciciBank
28-Apr-25,EQ,1405.60,1435.00,1403.80,1404.80,1428.00,1428.80,1427.33,1436.00,1051.05,10948561.00,15627194700.70,192819.00,IciciBank
25-Apr-25,EQ,1410.00,1414.80,1388.40,1402.70,1403.00,1404.80,1400.91,1436.00,1051.05,11705093.00,16397782261.90,234552.00,IciciBank
