Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,750.00,785.50,750.00,780.50,784.70,780.20,767.39,1550.00,606.00,27168178.00,20848618062.00,320489.00,Indusindbk
15-May-25,EQ,778.00,782.65,757.85,781.35,780.00,780.50,774.91,1550.00,606.00,7350633.00,5696081514.40,174654.00,Indusindbk
14-May-25,EQ,775.00,786.40,764.55,770.10,781.95,781.35,774.94,1550.00,606.00,9164606.00,7102017857.75,172774.00,Indusindbk
13-May-25,EQ,794.00,804.00,769.05,788.50,770.00,770.10,780.24,1550.00,606.00,10848937.00,8464783765.75,210993.00,Indusindbk
12-May-25,EQ,835.00,838.00,786.00,818.20,790.00,788.50,802.04,1550.00,606.00,14573162.00,11688237990.30,237496.00,Indusindbk
09-May-25,EQ,805.50,826.45,805.50,826.80,817.50,818.20,818.13,1550.00,606.00,5074137.00,4151316494.85,98032.00,Indusindbk
08-May-25,EQ,835.00,844.25,816.00,833.80,816.65,826.80,828.65,1550.00,606.00,13290700.00,11013401526.15,175673.00,Indusindbk
07-May-25,EQ,827.00,842.00,816.10,831.80,830.60,833.80,830.10,1550.00,606.00,9432595.00,7830000578.50,156666.00,Indusindbk
06-May-25,EQ,846.75,851.25,821.90,846.75,833.90,831.80,833.75,1550.00,606.00,10040705.00,8371471901.35,131351.00,Indusindbk
05-May-25,EQ,855.00,862.00,840.55,853.00,848.15,846.75,847.64,1550.00,606.00,7875811.00,6675832630.30,139401.00,Indusindbk
02-May-25,EQ,835.00,863.50,833.10,838.40,850.50,853.00,853.57,1550.00,606.00,9074101.00,7745416059.90,157808.00,Indusindbk
30-Apr-25,EQ,820.00,843.10,810.05,836.95,833.00,838.40,825.85,1550.00,606.00,20241775.00,16716653985.60,265011.00,Indusindbk
29-Apr-25,EQ,841.95,852.00,828.55,830.55,837.50,836.95,839.07,1550.00,606.00,8769289.00,7358050027.50,154246.00,Indusindbk
28-Apr-25,EQ,828.00,841.80,821.05,822.35,830.50,830.55,831.53,1550.00,606.00,6929801.00,5762323995.80,119146.00,Indusindbk
25-Apr-25,EQ,822.00,829.00,807.35,819.75,820.00,822.35,820.55,1550.00,606.00,11724192.00,9620280799.15,199413.00,Indusindbk
24-Apr-25,EQ,795.00,837.50,793.30,794.20,819.35,819.75,823.90,1550.00,606.00,22577201.00,18601468625.05,306159.00,Indusindbk
