Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1612.60,1612.60,1581.50,1613.00,1589.40,1589.90,1591.32,2006.45,1307.00,4576751.00,7283067573.40,132211.00,Infy
15-May-25,EQ,1589.80,1618.60,1571.00,1592.40,1609.50,1613.00,1600.37,2006.45,1307.00,11151167.00,17846028418.30,226053.00,Infy
14-May-25,EQ,1574.00,1595.00,1569.50,1568.60,1592.80,1592.40,1588.83,2006.45,1307.00,4870057.00,7737687686.00,144908.00,Infy
13-May-25,EQ,1609.00,1612.20,1564.60,1626.90,1567.90,1568.60,1579.63,2006.45,1307.00,12846210.00,20292258361.30,335293.00,Infy
12-May-25,EQ,1537.00,1632.00,1532.00,1507.60,1623.50,1626.90,1593.89,2006.45,1307.00,11372857.00,18127126262.50,290108.00,Infy
09-May-25,EQ,1500.70,1511.40,1494.10,1511.40,1507.20,1507.60,1504.20,2006.45,1307.00,4478653.00,6736782019.20,144158.00,Infy
08-May-25,EQ,1508.00,1516.50,1501.20,1508.30,1506.00,1511.40,1508.80,2006.45,1307.00,8424409.00,12710783626.50,217543.00,Infy
07-May-25,EQ,1500.00,1518.80,1496.60,1511.50,1508.80,1508.30,1509.03,2006.45,1307.00,5691799.00,8589104210.90,144103.00,Infy
06-May-25,EQ,1506.00,1515.60,1499.10,1508.60,1511.00,1511.50,1509.58,2006.45,1307.00,4270530.00,6446698483.90,105354.00,Infy
05-May-25,EQ,1515.00,1523.00,1502.80,1506.80,1507.00,1508.60,1509.96,2006.45,1307.00,4282493.00,6466387044.70,130549.00,Infy
02-May-25,EQ,1499.70,1523.20,1496.20,1500.10,1502.00,1506.80,1509.45,2006.45,1307.00,8733014.00,13182067260.50,235475.00,Infy
30-Apr-25,EQ,1496.80,1508.80,1482.60,1497.50,1491.50,1500.10,1499.93,2006.45,1307.00,7704183.00,11555716056.40,128359.00,Infy
29-Apr-25,EQ,1482.00,1509.80,1474.10,1482.10,1498.00,1497.50,1495.87,2006.45,1307.00,8056743.00,12051862382.60,207221.00,Infy
28-Apr-25,EQ,1480.20,1489.60,1465.30,1480.20,1481.00,1482.10,1478.19,2006.45,1307.00,5886253.00,8701029482.70,146345.00,Infy
25-Apr-25,EQ,1475.50,1501.70,1463.50,1471.40,1480.00,1480.20,1484.47,2006.45,1307.00,8329979.00,12365598001.80,199876.00,Infy
24-Apr-25,EQ,1469.90,1482.90,1461.50,1474.90,1473.00,1471.40,1471.62,2006.45,1307.00,7114292.00,10469560317.20,175991.00,Infy
23-Apr-25,EQ,1446.00,1487.80,1439.60,1422.80,1476.20,1474.90,1471.47,2006.45,1307.00,11136642.00,16387181464.50,249560.00,Infy
22-Apr-25,EQ,1440.00,1440.00,1419.30,1451.00,1423.00,1422.80,1425.14,2006.45,1307.00,9399738.00,13395956021.30,245817.00,Infy
21-Apr-25,EQ,1410.00,1471.80,1410.00,1419.50,1449.00,1451.00,1452.45,2006.45,1307.00,15648970.00,22729378761.10,271048.00,Infy
17-Apr-25,EQ,1398.00,1429.80,1378.30,1413.10,1427.70,1419.50,1400.17,2006.45,1307.00,14264227.00,19972355994.00,349779.00,Infy
16-Apr-25,EQ,1425.00,1427.50,1396.80,1426.00,1412.20,1413.10,1409.87,2006.45,1307.00,12022740.00,16950524011.30,331555.00,Infy
15-Apr-25,EQ,1445.60,1447.70,1409.00,1409.45,1430.40,1426.00,1424.37,2006.45,1307.00,10178530.00,14497963348.80,258203.00,Infy
11-Apr-25,EQ,1411.25,1438.80,1397.05,1403.70,1416.80,1409.45,1418.10,2006.45,1307.00,12567440.00,17821840695.45,262867.00,Infy
09-Apr-25,EQ,1405.05,1409.45,1381.90,1428.80,1402.00,1403.70,1396.23,2006.45,1307.00,8546854.00,11933354452.15,220436.00,Infy
08-Apr-25,EQ,1431.00,1456.50,1415.00,1396.75,1428.00,1428.80,1435.73,2006.45,1307.00,12805001.00,18384491521.00,254762.00,Infy
07-Apr-25,EQ,1352.00,1405.90,1307.00,1451.65,1404.90,1396.75,1365.23,2006.45,1307.00,21715252.00,29646233824.90,445720.00,Infy
04-Apr-25,EQ,1460.50,1472.00,1448.00,1496.50,1456.10,1451.65,1458.65,2006.45,1358.35,9590254.00,13988855633.45,245192.00,Infy
03-Apr-25,EQ,1534.65,1534.65,1485.05,1550.15,1495.80,1496.50,1499.79,2006.45,1358.35,10459504.00,15687069999.20,390507.00,Infy
02-Apr-25,EQ,1535.20,1555.65,1535.20,1526.50,1550.00,1550.15,1547.09,2006.45,1358.35,6193478.00,9581859877.35,183381.00,Infy
01-Apr-25,EQ,1539.25,1547.40,1517.85,1570.65,1530.20,1526.50,1529.41,2006.45,1358.35,12680733.00,19394047386.75,328764.00,Infy
28-Mar-25,EQ,1590.00,1598.45,1560.00,1603.55,1569.00,1570.65,1576.42,2006.45,1358.35,6799047.00,10718160396.85,217515.00,Infy
27-Mar-25,EQ,1595.55,1619.95,1586.00,1599.45,1605.00,1603.55,1601.41,2006.45,1358.35,9426573.00,15095808795.90,201020.00,Infy
26-Mar-25,EQ,1626.00,1637.75,1595.00,1628.45,1599.00,1599.45,1610.78,2006.45,1358.35,6651302.00,10713771940.10,222554.00,Infy
25-Mar-25,EQ,1605.00,1636.15,1605.00,1592.75,1619.25,1628.45,1626.09,2006.45,1358.35,9890140.00,16082264118.35,266112.00,Infy
24-Mar-25,EQ,1597.95,1607.10,1572.70,1592.55,1593.95,1592.75,1588.76,2006.45,1358.35,8857726.00,14072823625.15,250512.00,Infy
21-Mar-25,EQ,1577.95,1603.90,1563.65,1615.55,1595.40,1592.55,1591.34,2006.45,1358.35,10074677.00,16032262527.35,241185.00,Infy
20-Mar-25,EQ,1592.00,1631.90,1592.00,1586.55,1609.05,1615.55,1616.31,2006.45,1358.35,7186750.00,11616004800.30,229276.00,Infy
19-Mar-25,EQ,1603.00,1603.00,1572.80,1609.35,1589.10,1586.55,1583.14,2006.45,1358.35,7387068.00,11694751809.10,250311.00,Infy
18-Mar-25,EQ,1597.65,1612.90,1582.35,1590.05,1608.20,1609.35,1602.43,2006.45,1358.35,6298054.00,10092166910.70,157097.00,Infy
17-Mar-25,EQ,1545.15,1594.00,1545.15,1579.85,1590.00,1590.05,1581.70,2006.45,1358.35,7526032.00,11903959172.65,220262.00,Infy
13-Mar-25,EQ,1599.25,1606.05,1570.30,1590.85,1579.00,1579.85,1582.31,2006.45,1358.35,7822888.00,12378247563.85,258464.00,Infy
12-Mar-25,EQ,1636.90,1636.90,1563.80,1661.60,1590.05,1590.85,1586.51,2006.45,1358.35,14870008.00,23591364599.50,491121.00,Infy
11-Mar-25,EQ,1680.00,1680.00,1637.05,1701.45,1667.00,1661.60,1655.07,2006.45,1358.35,12671234.00,20971794102.35,259181.00,Infy
10-Mar-25,EQ,1686.00,1719.00,1676.20,1686.00,1700.05,1701.45,1703.14,2006.45,1358.35,7558981.00,12874009178.00,184536.00,Infy
07-Mar-25,EQ,1703.10,1705.00,1675.50,1715.85,1685.00,1686.00,1686.32,2006.45,1358.35,8019331.00,13523183544.05,234031.00,Infy
06-Mar-25,EQ,1715.00,1722.30,1691.10,1711.50,1712.00,1715.85,1709.66,2006.45,1358.35,10610547.00,18140399842.70,236281.00,Infy
05-Mar-25,EQ,1692.45,1732.95,1692.45,1688.30,1707.00,1711.50,1714.51,2006.45,1358.35,8180782.00,14026024448.60,184308.00,Infy
04-Mar-25,EQ,1695.00,1699.00,1670.00,1708.60,1684.00,1688.30,1686.14,2006.45,1358.35,6759673.00,11397744323.60,244487.00,Infy
03-Mar-25,EQ,1692.30,1728.60,1692.30,1687.70,1711.00,1708.60,1711.06,2006.45,1358.35,7504969.00,12841455573.45,286660.00,Infy
28-Feb-25,EQ,1755.05,1755.10,1682.45,1764.30,1693.00,1687.70,1694.54,2006.45,1358.35,12182167.00,20643137452.85,460200.00,Infy
27-Feb-25,EQ,1755.20,1775.85,1751.10,1767.70,1763.00,1764.30,1763.43,2006.45,1358.35,5757079.00,10152184052.30,168385.00,Infy
25-Feb-25,EQ,1745.15,1778.45,1745.15,1764.10,1766.75,1767.70,1766.12,2006.45,1358.35,5092963.00,8994761660.15,192822.00,Infy
24-Feb-25,EQ,1800.05,1808.00,1750.25,1815.00,1763.00,1764.10,1766.73,2006.45,1358.35,7594720.00,13417827673.25,362392.00,Infy
21-Feb-25,EQ,1821.80,1829.85,1806.20,1825.15,1815.00,1815.00,1817.56,2006.45,1358.35,3379879.00,6143129066.35,101664.00,Infy
20-Feb-25,EQ,1805.55,1831.00,1805.55,1810.80,1826.00,1825.15,1822.29,2006.45,1358.35,2218020.00,4041874473.40,116360.00,Infy
19-Feb-25,EQ,1847.40,1849.20,1805.90,1851.95,1810.85,1810.80,1820.83,2006.45,1358.35,4611411.00,8396592012.20,214412.00,Infy
18-Feb-25,EQ,1842.30,1861.65,1837.60,1842.30,1848.00,1851.95,1848.81,2006.45,1358.35,4365260.00,8070546827.05,100362.00,Infy
17-Feb-25,EQ,1838.55,1852.75,1822.15,1856.40,1843.05,1842.30,1838.63,2006.45,1358.35,4428956.00,8143213452.30,149656.00,Infy
14-Feb-25,EQ,1854.00,1859.30,1828.35,1843.25,1853.00,1856.40,1845.06,2006.45,1358.35,5292961.00,9765818737.55,179989.00,Infy
13-Feb-25,EQ,1868.50,1873.50,1835.65,1863.15,1840.65,1843.25,1851.21,2006.45,1358.35,5237744.00,9696150378.65,192119.00,Infy
12-Feb-25,EQ,1885.00,1894.60,1847.00,1875.65,1864.00,1863.15,1866.72,2006.45,1358.35,5633947.00,10516984029.10,222006.00,Infy
11-Feb-25,EQ,1883.10,1903.00,1870.00,1880.30,1879.00,1875.65,1883.68,2006.45,1358.35,4411601.00,8310066406.30,160934.00,Infy
10-Feb-25,EQ,1905.00,1905.00,1878.60,1903.65,1880.00,1880.30,1885.89,2006.45,1358.35,3828734.00,7220570924.25,151607.00,Infy
07-Feb-25,EQ,1919.30,1923.70,1889.45,1915.65,1901.10,1903.65,1902.44,2006.45,1358.35,4126260.00,7849962358.05,155494.00,Infy
06-Feb-25,EQ,1917.00,1924.00,1900.00,1897.05,1913.75,1915.65,1910.66,2006.45,1358.35,4765255.00,9104791357.40,151924.00,Infy
05-Feb-25,EQ,1906.00,1919.70,1894.30,1898.80,1899.15,1897.05,1901.79,2006.45,1358.35,4996744.00,9502754311.35,170651.00,Infy
04-Feb-25,EQ,1889.00,1911.20,1875.00,1863.30,1894.85,1898.80,1892.32,2006.45,1358.35,7334787.00,13879756408.55,254137.00,Infy
03-Feb-25,EQ,1836.00,1876.55,1832.40,1851.35,1864.10,1863.30,1858.62,2006.45,1358.35,4823228.00,8964553565.40,177156.00,Infy
01-Feb-25,EQ,1880.30,1890.60,1846.00,1879.80,1863.00,1851.35,1862.44,2006.45,1358.35,1701402.00,3168763954.00,70335.00,Infy
31-Jan-25,EQ,1871.00,1897.45,1871.00,1859.95,1882.95,1879.80,1881.49,2006.45,1358.35,5820470.00,10951149690.20,181998.00,Infy
30-Jan-25,EQ,1873.15,1887.20,1844.00,1881.25,1868.40,1859.95,1859.61,2006.45,1358.35,7336056.00,13642183045.25,203038.00,Infy
29-Jan-25,EQ,1845.00,1888.65,1840.50,1829.75,1877.55,1881.25,1867.04,2006.45,1358.35,5145155.00,9606185635.05,208458.00,Infy
28-Jan-25,EQ,1830.00,1863.50,1824.90,1822.00,1831.00,1829.75,1842.44,2006.45,1358.35,6999495.00,12896153068.90,343851.00,Infy
