Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,434.90,436.20,432.10,432.65,435.60,435.70,434.74,471.50,390.15,16402035.00,7130684218.55,105849.00,Itc
15-May-25,EQ,429.10,435.40,426.00,429.10,432.00,432.65,431.14,471.50,390.15,24263510.00,10460938250.10,173965.00,Itc
14-May-25,EQ,427.10,431.85,425.90,427.90,429.05,429.10,428.65,471.50,390.15,9557309.00,4096782375.45,96326.00,Itc
13-May-25,EQ,434.90,437.95,425.35,435.50,427.90,427.90,429.47,471.50,390.15,14976369.00,6431940112.45,153294.00,Itc
12-May-25,EQ,429.50,436.20,428.15,423.55,435.10,435.50,433.63,471.50,390.15,8031891.00,3482863921.65,78145.00,Itc
09-May-25,EQ,425.95,429.15,423.00,430.60,424.00,423.55,425.58,471.50,390.15,8226512.00,3501026096.65,134382.00,Itc
08-May-25,EQ,429.00,431.50,423.55,431.15,429.40,430.60,428.99,471.50,390.15,19937960.00,8553117657.75,173524.00,Itc
07-May-25,EQ,433.40,435.00,429.70,435.55,430.15,431.15,431.77,471.50,390.15,9710361.00,4192656819.60,148037.00,Itc
06-May-25,EQ,437.50,439.65,433.00,436.95,433.20,435.55,436.24,471.50,390.15,15026568.00,6555176631.90,133609.00,Itc
05-May-25,EQ,430.25,438.50,429.35,430.25,437.50,436.95,436.11,471.50,390.15,11525305.00,5026339793.80,117066.00,Itc
02-May-25,EQ,424.10,431.50,424.10,425.80,429.30,430.25,428.82,471.50,390.15,12769461.00,5475858517.65,115137.00,Itc
30-Apr-25,EQ,427.40,429.30,422.00,426.00,425.00,425.80,426.72,471.50,390.15,10026546.00,4278552724.80,197832.00,Itc
29-Apr-25,EQ,428.90,429.60,425.00,428.80,425.35,426.00,426.31,471.50,390.15,11189930.00,4770331679.80,228223.00,Itc
28-Apr-25,EQ,426.65,430.50,424.75,427.80,428.75,428.80,428.56,471.50,390.15,6287095.00,2694427013.85,73016.00,Itc
25-Apr-25,EQ,430.05,432.70,423.30,430.05,427.60,427.80,425.99,471.50,390.15,22944377.00,9774087061.50,120877.00,Itc
24-Apr-25,EQ,431.85,436.05,429.30,430.85,429.85,430.05,431.79,471.50,390.15,26064089.00,11254147788.10,134018.00,Itc
23-Apr-25,EQ,436.20,437.45,428.85,433.60,430.15,430.85,431.14,471.50,390.15,19566317.00,8435917733.65,144472.00,Itc
22-Apr-25,EQ,425.95,434.80,423.55,422.85,432.85,433.60,427.96,471.50,390.15,32031936.00,13708485407.15,167601.00,Itc
21-Apr-25,EQ,428.05,429.10,421.50,427.25,422.95,422.85,422.51,471.50,390.15,27388236.00,11571885187.30,218049.00,Itc
17-Apr-25,EQ,425.00,427.85,421.55,424.45,427.00,427.25,425.37,471.50,390.15,22410217.00,9532679412.90,222404.00,Itc
16-Apr-25,EQ,418.00,426.05,418.00,420.40,424.90,424.45,423.29,471.50,390.15,13034594.00,5517451893.15,115189.00,Itc
15-Apr-25,EQ,429.20,429.20,419.00,421.55,420.35,420.40,421.35,471.50,390.15,11685880.00,4923848655.80,129742.00,Itc
11-Apr-25,EQ,420.00,422.45,417.00,416.30,422.00,421.55,420.40,471.50,390.15,8939356.00,3758063114.55,98015.00,Itc
09-Apr-25,EQ,413.00,419.05,411.25,412.55,416.15,416.30,416.41,471.50,390.15,21785572.00,9071650104.35,242191.00,Itc
08-Apr-25,EQ,411.90,415.80,407.25,406.05,413.50,412.55,411.57,471.50,390.15,18600796.00,7655492505.50,234584.00,Itc
07-Apr-25,EQ,390.15,408.10,390.15,409.70,406.75,406.05,403.02,471.50,390.15,26762866.00,10785870136.45,307280.00,Itc
04-Apr-25,EQ,407.50,412.80,404.50,409.40,409.30,409.70,409.44,471.50,391.20,18627592.00,7626798175.75,149408.00,Itc
03-Apr-25,EQ,407.05,410.20,406.70,409.05,409.00,409.40,408.93,471.50,391.20,7059566.00,2886881314.85,78934.00,Itc
02-Apr-25,EQ,407.05,410.00,406.05,406.65,408.70,409.05,408.65,471.50,391.20,8001323.00,3269711918.80,72562.00,Itc
01-Apr-25,EQ,409.80,414.40,405.60,409.75,406.60,406.65,409.28,471.50,391.20,15206240.00,6223651577.60,127499.00,Itc
28-Mar-25,EQ,410.90,415.60,408.15,409.45,410.25,409.75,410.91,471.50,391.20,12981873.00,5334443057.90,114689.00,Itc
27-Mar-25,EQ,408.00,410.70,405.65,407.35,409.35,409.45,409.35,471.50,391.20,18642328.00,7631235472.20,153590.00,Itc
26-Mar-25,EQ,410.30,411.20,406.25,409.80,407.40,407.35,409.03,471.50,391.20,13891436.00,5681950426.05,103317.00,Itc
25-Mar-25,EQ,412.00,415.25,408.70,410.90,409.20,409.80,411.17,471.50,391.20,20338110.00,8362411027.50,138414.00,Itc
24-Mar-25,EQ,407.00,412.85,405.60,405.55,411.00,410.90,409.64,471.50,391.20,14362572.00,5883505695.50,138703.00,Itc
21-Mar-25,EQ,405.95,407.50,401.70,403.95,406.50,405.55,404.10,471.50,391.20,25302035.00,10224618507.85,130427.00,Itc
20-Mar-25,EQ,405.00,406.65,401.90,403.05,403.60,403.95,403.50,471.50,391.20,16994037.00,6857153651.65,125979.00,Itc
19-Mar-25,EQ,410.00,410.75,402.60,409.10,403.40,403.05,404.51,471.50,391.20,12830387.00,5189984214.60,135494.00,Itc
18-Mar-25,EQ,410.00,411.95,407.75,407.95,409.50,409.10,409.50,471.50,391.20,13861897.00,5676500784.85,106364.00,Itc
17-Mar-25,EQ,413.00,416.25,407.00,412.05,407.80,407.95,409.81,471.50,391.20,5257859.00,2154706809.40,87899.00,Itc
13-Mar-25,EQ,413.00,414.40,408.20,412.40,411.45,412.05,412.40,471.50,391.20,8196569.00,3380286305.70,122083.00,Itc
12-Mar-25,EQ,406.40,413.30,404.00,406.20,412.55,412.40,409.75,471.50,391.20,13844306.00,5672766834.60,99237.00,Itc
11-Mar-25,EQ,401.50,408.40,401.20,405.00,406.20,406.20,406.58,471.50,391.20,11099475.00,4512793431.70,116862.00,Itc
