Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,274.10,277.95,273.05,273.70,276.30,277.00,275.20,376.00,198.65,13449060.00,3701187921.40,83839.00,Jiofin
15-May-25,EQ,268.00,274.60,265.50,267.50,274.05,273.70,270.51,376.00,198.65,16201350.00,4382655795.15,128902.00,Jiofin
14-May-25,EQ,268.80,269.95,265.20,267.40,267.80,267.50,267.55,376.00,198.65,13255755.00,3546522593.35,100971.00,Jiofin
13-May-25,EQ,263.20,268.95,261.50,262.90,267.70,267.40,266.47,376.00,198.65,19305043.00,5144307935.35,132015.00,Jiofin
12-May-25,EQ,258.95,263.50,257.00,248.35,263.00,262.90,261.30,376.00,198.65,19437052.00,5078891515.85,117986.00,Jiofin
09-May-25,EQ,244.10,250.00,242.00,251.45,249.20,248.35,246.00,378.90,198.65,25011071.00,6152727119.50,146842.00,Jiofin
08-May-25,EQ,256.10,258.30,249.40,256.10,250.05,251.45,254.24,378.90,198.65,14849940.00,3775402948.15,99409.00,Jiofin
07-May-25,EQ,245.05,256.70,245.05,251.20,256.50,256.10,253.43,378.90,198.65,19393399.00,4914913593.60,110105.00,Jiofin
06-May-25,EQ,259.25,260.75,250.40,260.60,251.00,251.20,254.53,378.90,198.65,18568703.00,4726315281.90,120140.00,Jiofin
05-May-25,EQ,259.60,262.40,259.30,258.80,260.45,260.60,260.58,378.90,198.65,10986246.00,2862767920.85,77956.00,Jiofin
02-May-25,EQ,262.90,265.20,257.75,260.42,258.30,258.80,261.48,385.85,198.65,20015942.00,5233783256.55,125758.00,Jiofin
30-Apr-25,EQ,256.00,263.30,255.20,257.63,259.08,260.42,260.13,385.85,198.65,32058337.00,8339451309.11,162742.00,Jiofin
29-Apr-25,EQ,258.10,259.75,255.60,257.90,257.50,257.63,257.64,385.85,198.65,12494831.00,3219149375.04,91018.00,Jiofin
28-Apr-25,EQ,252.39,259.70,252.30,253.05,258.00,257.90,256.95,385.85,198.65,19380922.00,4979877691.79,115267.00,Jiofin
25-Apr-25,EQ,258.78,261.62,249.10,258.78,252.39,253.05,254.06,394.70,198.65,33348716.00,8472452549.09,227469.00,Jiofin
24-Apr-25,EQ,258.00,259.80,256.50,258.14,258.94,258.78,258.43,394.70,198.65,17152009.00,4432578572.62,118106.00,Jiofin
23-Apr-25,EQ,252.00,258.55,251.39,250.56,258.02,258.14,255.78,394.70,198.65,37568336.00,9609176120.16,187743.00,Jiofin
22-Apr-25,EQ,245.50,251.34,243.70,246.38,250.60,250.56,248.08,394.70,198.65,30235264.00,7500774422.19,143908.00,Jiofin
21-Apr-25,EQ,250.00,250.00,244.50,246.47,245.96,246.38,247.01,394.70,198.65,31786610.00,7851677525.15,228473.00,Jiofin
17-Apr-25,EQ,242.94,248.00,238.30,242.28,246.20,246.47,243.57,394.70,198.65,30422206.00,7410087110.43,189979.00,Jiofin
16-Apr-25,EQ,239.05,242.75,237.26,238.57,242.30,242.28,241.23,394.70,198.65,27720767.00,6687111659.52,169243.00,Jiofin
15-Apr-25,EQ,235.90,239.49,232.60,230.02,239.05,238.57,236.01,394.70,198.65,27663804.00,6529029769.09,151900.00,Jiofin
