Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1043.40,1044.60,1020.30,1038.30,1024.30,1021.80,1026.55,1074.90,823.80,1048380.00,1076214554.10,40109.00,JswSteel
15-May-25,EQ,993.00,1040.60,990.00,989.30,1037.00,1038.30,1022.73,1074.90,823.80,5297654.00,5418075093.50,135759.00,JswSteel
14-May-25,EQ,995.20,1012.10,987.00,989.90,989.70,989.30,995.94,1074.90,823.80,1650066.00,1643370414.40,45556.00,JswSteel
13-May-25,EQ,1005.20,1010.90,988.10,1005.20,989.40,989.90,994.12,1074.90,823.80,934177.00,928682537.10,35416.00,JswSteel
12-May-25,EQ,973.00,1007.70,969.70,957.00,1004.30,1005.20,992.76,1074.90,823.80,1335817.00,1326144079.90,40280.00,JswSteel
09-May-25,EQ,935.00,959.00,935.00,953.20,953.70,957.00,954.21,1074.90,823.80,1481537.00,1413698992.90,47389.00,JswSteel
08-May-25,EQ,962.50,969.50,949.00,966.10,949.80,953.20,956.74,1074.90,823.80,1646385.00,1575162665.10,52592.00,JswSteel
07-May-25,EQ,957.90,975.00,957.90,967.50,966.00,966.10,968.73,1074.90,823.80,1014461.00,982739537.50,34689.00,JswSteel
06-May-25,EQ,960.00,971.90,955.00,955.50,963.00,967.50,964.58,1074.90,823.80,1462046.00,1410256590.10,40539.00,JswSteel
05-May-25,EQ,959.80,972.40,952.70,973.20,955.20,955.50,962.49,1074.90,823.80,1646426.00,1584666059.80,47398.00,JswSteel
02-May-25,EQ,1021.20,1037.00,948.30,1029.80,970.00,973.20,976.70,1074.90,823.80,7915918.00,7731506220.60,158550.00,JswSteel
30-Apr-25,EQ,1030.00,1042.30,1021.00,1035.60,1025.10,1029.80,1031.03,1074.90,823.80,1755328.00,1809802545.80,50434.00,JswSteel
