Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,2099.90,2114.90,2090.10,2106.40,2109.80,2108.20,2102.75,2301.90,1602.45,2057908.00,4327258232.20,136716.00,KotakBank
15-May-25,EQ,2085.10,2112.00,2065.40,2092.40,2101.60,2106.40,2088.88,2301.90,1602.45,4262359.00,8903549720.40,158406.00,KotakBank
14-May-25,EQ,2111.00,2119.90,2084.00,2115.60,2091.90,2092.40,2098.93,2301.90,1602.45,2137594.00,4486668237.30,133616.00,KotakBank
13-May-25,EQ,2135.00,2146.10,2101.10,2145.00,2119.00,2115.60,2112.50,2301.90,1602.45,4307824.00,9100290325.20,160711.00,KotakBank
12-May-25,EQ,2134.00,2163.60,2126.10,2103.10,2143.00,2145.00,2147.90,2301.90,1602.45,3021874.00,6490687308.50,150244.00,KotakBank
09-May-25,EQ,2075.00,2120.00,2075.00,2112.60,2106.60,2103.10,2102.27,2301.90,1594.00,4654300.00,9784580066.80,100815.00,KotakBank
08-May-25,EQ,2099.00,2138.70,2094.90,2094.90,2106.20,2112.60,2117.04,2301.90,1594.00,6924871.00,14660206437.20,247991.00,KotakBank
07-May-25,EQ,2063.70,2101.80,2054.50,2074.00,2100.00,2094.90,2082.59,2301.90,1594.00,3739456.00,7787761747.40,151407.00,KotakBank
06-May-25,EQ,2086.00,2091.40,2065.00,2084.90,2070.00,2074.00,2073.44,2301.90,1594.00,3405097.00,7060262954.30,152782.00,KotakBank
05-May-25,EQ,2105.10,2133.80,2058.00,2185.20,2085.00,2084.90,2084.11,2301.90,1594.00,8821617.00,18385232759.80,396921.00,KotakBank
02-May-25,EQ,2204.00,2223.60,2171.20,2208.10,2180.10,2185.20,2191.92,2301.90,1543.85,2679156.00,5872503958.20,152876.00,KotakBank
30-Apr-25,EQ,2213.90,2231.00,2188.20,2205.00,2202.00,2208.10,2213.18,2301.90,1543.85,4622917.00,10231362749.40,167166.00,KotakBank
29-Apr-25,EQ,2225.60,2247.00,2198.80,2225.60,2202.10,2205.00,2219.34,2301.90,1543.85,3058265.00,6787325662.80,115735.00,KotakBank
28-Apr-25,EQ,2197.00,2231.80,2189.40,2204.40,2222.20,2225.60,2223.61,2301.90,1543.85,2438178.00,5421557256.30,135201.00,KotakBank
25-Apr-25,EQ,2220.00,2233.40,2178.20,2223.00,2196.60,2204.40,2199.67,2301.90,1543.85,2136003.00,4698491084.20,102382.00,KotakBank
24-Apr-25,EQ,2218.00,2237.90,2213.70,2227.00,2218.10,2223.00,2226.32,2301.90,1543.85,4168537.00,9280509280.70,127119.00,KotakBank
23-Apr-25,EQ,2285.00,2290.00,2220.00,2268.80,2221.40,2227.00,2240.21,2301.90,1543.85,3523879.00,7894234352.40,127032.00,KotakBank
22-Apr-25,EQ,2249.00,2301.90,2245.40,2241.40,2265.00,2268.80,2281.09,2301.90,1543.85,6732983.00,15358515073.00,184168.00,KotakBank
21-Apr-25,EQ,2195.00,2261.20,2175.40,2188.10,2248.70,2241.40,2233.48,2261.20,1543.85,4886498.00,10913896073.50,225372.00,KotakBank
17-Apr-25,EQ,2115.00,2193.90,2097.70,2123.40,2185.10,2188.10,2156.50,2202.50,1543.85,5388632.00,11620611762.30,226452.00,KotakBank
