Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,3642.00,3642.00,3600.00,3618.20,3608.00,3604.70,3609.40,3963.50,2965.30,1278520.00,4614691788.60,79444.00,LT
15-May-25,EQ,3594.00,3648.70,3543.00,3573.10,3620.00,3618.20,3603.28,3963.50,2965.30,3720879.00,13407382227.40,173281.00,LT
14-May-25,EQ,3587.00,3617.00,3567.00,3567.00,3576.00,3573.10,3585.42,3963.50,2965.30,2440116.00,8748830534.80,110493.00,LT
13-May-25,EQ,3587.20,3606.00,3545.00,3587.20,3570.50,3567.00,3571.75,3963.50,2965.30,2374439.00,8480910370.40,168486.00,LT
12-May-25,EQ,3513.00,3602.80,3490.00,3443.90,3588.00,3587.20,3566.54,3963.50,2965.30,3147384.00,11225276507.40,186489.00,LT
09-May-25,EQ,3331.00,3477.00,3331.00,3323.90,3451.40,3443.90,3438.60,3963.50,2965.30,5637694.00,19385778797.20,311155.00,LT
08-May-25,EQ,3310.10,3366.00,3299.80,3321.40,3312.00,3323.90,3337.85,3963.50,2965.30,3204333.00,10695569358.90,129057.00,LT
07-May-25,EQ,3332.00,3339.80,3284.10,3334.00,3327.00,3321.40,3318.68,3963.50,2965.30,2422707.00,8040179595.20,171780.00,LT
06-May-25,EQ,3346.00,3353.00,3302.80,3330.20,3332.00,3334.00,3330.50,3963.50,2965.30,1695516.00,5646918314.40,96917.00,LT
05-May-25,EQ,3350.00,3350.00,3300.70,3329.80,3332.00,3330.20,3324.66,3963.50,2965.30,1947332.00,6474212018.40,107073.00,LT
02-May-25,EQ,3325.00,3374.90,3321.50,3341.00,3324.00,3329.80,3347.85,3963.50,2965.30,1665574.00,5576084084.50,84477.00,LT
30-Apr-25,EQ,3324.00,3355.00,3303.30,3322.30,3330.00,3341.00,3341.49,3963.50,2965.30,1930714.00,6451459506.30,113823.00,LT
29-Apr-25,EQ,3335.00,3376.40,3315.00,3327.30,3321.30,3322.30,3338.97,3963.50,2965.30,1843861.00,6156587711.70,120139.00,LT
28-Apr-25,EQ,3260.00,3350.80,3254.80,3272.10,3325.00,3327.30,3317.89,3963.50,2965.30,1689485.00,5605519110.10,82707.00,LT
25-Apr-25,EQ,3310.00,3335.70,3230.10,3300.60,3268.00,3272.10,3272.54,3963.50,2965.30,2004819.00,6560849672.90,133465.00,LT
24-Apr-25,EQ,3307.00,3307.00,3280.00,3301.00,3298.20,3300.60,3293.25,3963.50,2965.30,1993448.00,6564919205.10,72609.00,LT
23-Apr-25,EQ,3275.40,3315.00,3266.70,3257.80,3296.00,3301.00,3291.24,3963.50,2965.30,2381699.00,7838735592.40,103277.00,LT
22-Apr-25,EQ,3280.00,3285.00,3248.00,3280.50,3254.00,3257.80,3266.83,3963.50,2965.30,2060322.00,6730718857.00,100788.00,LT
21-Apr-25,EQ,3249.50,3290.00,3225.10,3247.30,3279.90,3280.50,3273.52,3963.50,2965.30,1643003.00,5378395835.50,101664.00,LT
17-Apr-25,EQ,3214.10,3249.90,3162.40,3227.70,3244.90,3247.30,3206.57,3963.50,2965.30,3209331.00,10290935838.20,168832.00,LT
16-Apr-25,EQ,3270.00,3276.80,3224.10,3257.60,3231.40,3227.70,3248.34,3963.50,2965.30,1578260.00,5126724530.20,112383.00,LT
15-Apr-25,EQ,3180.00,3272.00,3176.10,3115.95,3259.00,3257.60,3247.57,3963.50,2965.30,2161492.00,7019590562.60,113498.00,LT
11-Apr-25,EQ,3114.00,3157.00,3100.15,3054.15,3119.25,3115.95,3123.53,3963.50,2965.30,3979116.00,12428907356.35,132571.00,LT
09-Apr-25,EQ,3158.80,3158.80,3048.00,3161.10,3062.00,3054.15,3083.63,3963.50,2965.30,4451381.00,13726393450.75,256046.00,LT
08-Apr-25,EQ,3124.95,3193.90,3092.70,3068.50,3164.60,3161.10,3147.02,3963.50,2965.30,2877816.00,9056534927.00,140046.00,LT
07-Apr-25,EQ,3049.05,3090.60,2965.30,3260.15,3087.00,3068.50,3047.00,3963.50,2965.30,4953864.00,15094428193.50,422707.00,LT
04-Apr-25,EQ,3400.00,3403.80,3237.30,3420.15,3259.00,3260.15,3275.65,3963.50,3141.00,2366979.00,7753393787.40,156827.00,LT
03-Apr-25,EQ,3400.00,3463.00,3393.00,3419.90,3419.00,3420.15,3432.72,3963.50,3141.00,1200631.00,4121427952.20,84197.00,LT
