Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,3135.00,3149.50,3115.00,3144.30,3133.90,3135.60,3134.27,3270.95,2160.00,2269659.00,7113719402.80,186310.00,M&M
15-May-25,EQ,3085.00,3170.70,3073.00,3101.80,3132.00,3144.30,3127.25,3270.95,2160.00,3590003.00,11226842035.00,198690.00,M&M
14-May-25,EQ,3037.50,3110.00,3018.00,3053.80,3103.10,3101.80,3092.44,3270.95,2160.00,2236302.00,6915634317.10,98515.00,M&M
13-May-25,EQ,3050.00,3111.00,3035.00,3104.70,3058.00,3053.80,3073.02,3270.95,2160.00,2681662.00,8240813022.90,178009.00,M&M
12-May-25,EQ,3044.70,3112.20,3033.70,2982.10,3097.50,3104.70,3067.99,3270.95,2160.00,2166730.00,6647500167.20,157748.00,M&M
09-May-25,EQ,2961.60,3057.10,2955.00,3033.10,2989.70,2982.10,3009.04,3270.95,2160.00,2308852.00,6947425357.40,127115.00,M&M
08-May-25,EQ,3127.40,3137.00,3008.50,3119.90,3009.00,3033.10,3058.10,3270.95,2160.00,3323894.00,10164798793.40,155291.00,M&M
07-May-25,EQ,3021.90,3125.00,3021.90,3068.40,3109.90,3119.90,3098.08,3270.95,2160.00,2942902.00,9117359370.70,140228.00,M&M
06-May-25,EQ,3150.60,3159.70,3056.00,3021.50,3058.40,3068.40,3097.22,3270.95,2160.00,5683215.00,17602147039.90,266730.00,M&M
05-May-25,EQ,2948.90,3044.00,2937.70,2926.20,3024.00,3021.50,2995.56,3270.95,2160.00,4049197.00,12129625352.00,198957.00,M&M
02-May-25,EQ,2950.00,3000.00,2910.20,2928.80,2918.60,2926.20,2953.27,3270.95,2001.00,3384402.00,9995052108.00,142813.00,M&M
30-Apr-25,EQ,2908.80,2948.90,2887.00,2909.60,2919.50,2928.80,2927.07,3270.95,2001.00,2689753.00,7873097540.70,115500.00,M&M
29-Apr-25,EQ,2950.00,2969.50,2901.80,2930.60,2905.80,2909.60,2920.47,3270.95,2001.00,2051228.00,5990542010.30,110088.00,M&M
28-Apr-25,EQ,2918.90,2945.00,2882.30,2864.20,2930.00,2930.60,2911.69,3270.95,2001.00,1864672.00,5429340679.30,105189.00,M&M
25-Apr-25,EQ,2901.40,2939.60,2831.10,2901.40,2865.00,2864.20,2872.73,3270.95,2001.00,2299310.00,6605295806.00,107647.00,M&M
24-Apr-25,EQ,2917.80,2928.00,2865.00,2917.80,2898.00,2901.40,2893.16,3270.95,2001.00,2488496.00,7199608088.00,107895.00,M&M
23-Apr-25,EQ,2830.00,2923.00,2826.00,2817.10,2900.90,2917.80,2890.96,3270.95,2001.00,3906215.00,11292694450.30,153835.00,M&M
22-Apr-25,EQ,2765.00,2822.00,2756.00,2764.00,2811.10,2817.10,2800.01,3270.95,2001.00,3193757.00,8942540174.50,166491.00,M&M
21-Apr-25,EQ,2699.90,2774.00,2665.90,2679.40,2765.00,2764.00,2742.15,3270.95,2001.00,3120955.00,8558140689.60,129375.00,M&M
17-Apr-25,EQ,2632.00,2682.80,2602.40,2634.60,2675.30,2679.40,2653.58,3270.95,1998.20,2638979.00,7002733750.00,174058.00,M&M
16-Apr-25,EQ,2660.00,2665.00,2618.30,2646.00,2632.20,2634.60,2636.04,3270.95,1998.20,3070954.00,8095144350.70,230796.00,M&M
15-Apr-25,EQ,2606.00,2690.00,2606.00,2580.35,2650.00,2646.00,2661.82,3270.95,1998.20,3287861.00,8751706211.90,235293.00,M&M
11-Apr-25,EQ,2549.00,2604.00,2532.05,2523.10,2600.60,2580.35,2575.14,3270.95,1998.20,3600209.00,9271028199.65,226713.00,M&M
09-Apr-25,EQ,2540.00,2571.95,2515.95,2523.65,2530.50,2523.10,2542.52,3270.95,1998.20,3347213.00,8510365788.75,188585.00,M&M
08-Apr-25,EQ,2510.00,2550.00,2454.00,2491.25,2524.85,2523.65,2508.62,3270.95,1998.20,4253527.00,10670502713.60,227666.00,M&M
07-Apr-25,EQ,2425.00,2524.65,2425.00,2596.55,2508.00,2491.25,2486.05,3270.95,1998.20,3937471.00,9788765284.05,284875.00,M&M
04-Apr-25,EQ,2614.95,2631.50,2557.05,2611.45,2601.40,2596.55,2598.52,3270.95,1891.80,3598415.00,9350569400.25,181164.00,M&M
03-Apr-25,EQ,2607.75,2652.40,2600.25,2637.55,2617.00,2611.45,2624.91,3270.95,1891.80,2361203.00,6197950577.35,126111.00,M&M
02-Apr-25,EQ,2631.10,2660.00,2625.30,2637.90,2637.95,2637.55,2641.07,3270.95,1891.80,2243574.00,5925434011.85,129253.00,M&M
01-Apr-25,EQ,2652.80,2728.00,2623.15,2665.80,2640.00,2637.90,2662.50,3270.95,1891.80,3300417.00,8787374453.80,171785.00,M&M
28-Mar-25,EQ,2735.80,2739.70,2635.00,2733.00,2661.15,2665.80,2659.63,3270.95,1855.30,6074446.00,16155785635.85,283613.00,M&M
27-Mar-25,EQ,2735.00,2751.00,2695.55,2742.25,2734.00,2733.00,2727.11,3270.95,1855.30,4325599.00,11796376825.80,216437.00,M&M
26-Mar-25,EQ,2751.30,2795.00,2737.05,2736.00,2742.05,2742.25,2759.30,3270.95,1855.30,3111504.00,8585569216.85,155421.00,M&M
25-Mar-25,EQ,2774.70,2802.45,2725.05,2774.70,2730.50,2736.00,2752.07,3270.95,1855.30,3576766.00,9843520381.40,220783.00,M&M
24-Mar-25,EQ,2815.30,2822.15,2709.40,2801.85,2777.00,2774.70,2758.48,3270.95,1855.30,5395134.00,14882345906.65,262642.00,M&M
21-Mar-25,EQ,2839.10,2893.00,2781.25,2828.10,2787.20,2801.85,2833.87,3270.95,1801.05,3824316.00,10837617894.85,128915.00,M&M
20-Mar-25,EQ,2803.75,2847.00,2801.00,2789.10,2838.00,2828.10,2827.02,3270.95,1801.05,2354374.00,6655853148.65,146188.00,M&M
19-Mar-25,EQ,2795.00,2831.90,2779.55,2791.40,2785.00,2789.10,2804.00,3270.95,1801.05,2438912.00,6838703620.55,130749.00,M&M
18-Mar-25,EQ,2732.30,2798.00,2715.05,2705.15,2785.00,2791.40,2769.58,3270.95,1801.05,3522624.00,9756190786.80,147651.00,M&M
17-Mar-25,EQ,2635.00,2727.05,2635.00,2643.50,2701.00,2705.15,2689.17,3270.95,1801.05,2527623.00,6797200209.55,160528.00,M&M
13-Mar-25,EQ,2677.10,2686.35,2618.30,2653.30,2644.50,2643.50,2643.38,3270.95,1788.80,2446428.00,6466847997.95,126240.00,M&M
12-Mar-25,EQ,2645.60,2678.00,2636.10,2645.60,2650.00,2653.30,2655.73,3270.95,1788.80,3447155.00,9154699019.80,149821.00,M&M
11-Mar-25,EQ,2684.75,2685.00,2613.15,2702.60,2657.85,2645.60,2648.19,3270.95,1788.80,3616140.00,9576228724.45,202979.00,M&M
10-Mar-25,EQ,2695.00,2734.65,2665.10,2727.85,2699.00,2702.60,2706.17,3270.95,1788.80,2520931.00,6822078572.15,112467.00,M&M
07-Mar-25,EQ,2721.30,2765.95,2708.10,2742.40,2728.10,2727.85,2734.27,3270.95,1788.80,1886774.00,5158952088.80,119343.00,M&M
06-Mar-25,EQ,2748.00,2766.85,2695.00,2726.60,2740.60,2742.40,2736.25,3270.95,1788.80,3706264.00,10141282937.65,152491.00,M&M
05-Mar-25,EQ,2661.95,2736.90,2642.65,2613.35,2721.35,2726.60,2708.55,3270.95,1788.80,3665710.00,9928769339.95,180134.00,M&M
04-Mar-25,EQ,2561.00,2627.30,2550.00,2611.90,2612.85,2613.35,2603.43,3270.95,1788.80,1984876.00,5167487843.95,118486.00,M&M
03-Mar-25,EQ,2613.80,2695.95,2595.00,2585.10,2612.00,2611.90,2628.07,3270.95,1788.80,4340806.00,11407948555.15,218511.00,M&M
28-Feb-25,EQ,2695.10,2699.00,2572.20,2726.55,2595.00,2585.10,2604.06,3270.95,1788.80,7549863.00,19660315531.70,373075.00,M&M
27-Feb-25,EQ,2837.00,2840.00,2703.50,2777.85,2720.00,2726.55,2738.18,3270.95,1788.80,2669767.00,7310309066.65,132720.00,M&M
25-Feb-25,EQ,2740.00,2803.95,2728.15,2709.20,2767.00,2777.85,2778.01,3270.95,1788.80,4916248.00,13657366847.05,247707.00,M&M
24-Feb-25,EQ,2669.00,2716.80,2631.15,2669.35,2710.50,2709.20,2688.30,3270.95,1788.80,6167313.00,16579558765.15,282137.00,M&M
