Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,12950.00,13086.00,12912.00,12952.00,13000.00,12995.00,12992.64,13680.00,10725.00,425275.00,5525445635.00,62548.00,Maruti
15-May-25,EQ,12600.00,13023.00,12548.00,12670.00,12900.00,12952.00,12817.67,13680.00,10725.00,561496.00,7197073020.00,100567.00,Maruti
14-May-25,EQ,12485.00,12718.00,12411.00,12482.00,12700.00,12670.00,12610.69,13680.00,10725.00,306050.00,3859501696.00,46535.00,Maruti
13-May-25,EQ,12600.00,12700.00,12430.00,12616.00,12474.00,12482.00,12509.35,13680.00,10725.00,378269.00,4731899460.00,86167.00,Maruti
12-May-25,EQ,12426.00,12630.00,12426.00,12250.00,12625.00,12616.00,12543.63,13680.00,10725.00,185165.00,2322641674.00,37152.00,Maruti
09-May-25,EQ,12135.00,12360.00,12115.00,12392.00,12245.00,12250.00,12263.65,13680.00,10725.00,278112.00,3410669230.00,41889.00,Maruti
08-May-25,EQ,12560.00,12597.00,12330.00,12633.00,12380.00,12392.00,12414.23,13680.00,10725.00,485326.00,6024946169.00,80654.00,Maruti
07-May-25,EQ,12355.00,12669.00,12355.00,12581.00,12585.00,12633.00,12601.90,13680.00,10725.00,303619.00,3826175764.00,61308.00,Maruti
06-May-25,EQ,12438.00,12599.00,12371.00,12458.00,12560.00,12581.00,12548.62,13680.00,10725.00,414921.00,5206687661.00,65850.00,Maruti
05-May-25,EQ,12490.00,12490.00,12362.00,12406.00,12449.00,12458.00,12437.88,13680.00,10725.00,270014.00,3358401660.00,49136.00,Maruti
02-May-25,EQ,12257.00,12727.00,12250.00,12257.00,12390.00,12406.00,12523.32,13680.00,10725.00,786089.00,9844447650.00,157884.00,Maruti
30-Apr-25,EQ,11825.00,12325.00,11800.00,11841.00,12218.00,12257.00,12153.90,13680.00,10725.00,967250.00,11755859522.00,105465.00,Maruti
29-Apr-25,EQ,11812.00,11940.00,11741.00,11846.00,11810.00,11841.00,11826.38,13680.00,10725.00,455596.00,5388049220.00,86819.00,Maruti
28-Apr-25,EQ,11428.00,11896.00,11289.00,11698.00,11809.00,11846.00,11702.99,13680.00,10725.00,457303.00,5351810411.00,80996.00,Maruti
25-Apr-25,EQ,11902.00,12046.00,11598.00,11894.00,11650.00,11698.00,11767.59,13680.00,10725.00,906266.00,10664569973.00,130970.00,Maruti
24-Apr-25,EQ,11940.00,12040.00,11858.00,11907.00,11901.00,11894.00,11917.68,13680.00,10725.00,387863.00,4622427333.00,67998.00,Maruti
23-Apr-25,EQ,11799.00,11971.00,11729.00,11734.00,11900.00,11907.00,11827.33,13680.00,10725.00,493839.00,5840798795.00,78908.00,Maruti
22-Apr-25,EQ,11770.00,11788.00,11615.00,11745.00,11744.00,11734.00,11702.80,13680.00,10725.00,516753.00,6047456049.00,102717.00,Maruti
21-Apr-25,EQ,11695.00,11769.00,11588.00,11695.00,11769.00,11745.00,11700.58,13680.00,10725.00,318493.00,3726551467.00,49266.00,Maruti
17-Apr-25,EQ,11664.00,11728.00,11525.00,11664.00,11665.00,11695.00,11645.95,13680.00,10725.00,302146.00,3518777343.00,62794.00,Maruti
16-Apr-25,EQ,11768.00,11768.00,11615.00,11855.00,11665.00,11664.00,11670.99,13680.00,10725.00,470494.00,5491129574.00,68073.00,Maruti
15-Apr-25,EQ,11790.00,11940.00,11680.00,11599.05,11825.00,11855.00,11869.86,13680.00,10725.00,458593.00,5443434939.00,68741.00,Maruti
11-Apr-25,EQ,11480.35,11678.75,11480.00,11457.40,11609.00,11599.05,11603.45,13680.00,10725.00,231420.00,2685269869.90,45734.00,Maruti
09-Apr-25,EQ,11460.10,11538.70,11425.00,11458.90,11480.00,11457.40,11475.31,13680.00,10725.00,255114.00,2927511554.20,50927.00,Maruti
08-Apr-25,EQ,11530.00,11550.35,11290.05,11329.75,11436.00,11458.90,11447.67,13680.00,10725.00,629968.00,7211668457.30,93920.00,Maruti
07-Apr-25,EQ,11105.60,11358.50,11059.45,11482.00,11352.95,11329.75,11224.77,13680.00,10725.00,602353.00,6761271433.85,109199.00,Maruti
04-Apr-25,EQ,11600.00,11630.00,11330.00,11688.10,11482.00,11482.00,11427.18,13680.00,10725.00,355785.00,4065618247.40,59574.00,Maruti
03-Apr-25,EQ,11630.50,11802.95,11611.05,11716.10,11646.00,11688.10,11706.81,13680.00,10725.00,326624.00,3823725316.15,44000.00,Maruti
02-Apr-25,EQ,11481.10,11732.00,11410.05,11481.10,11691.00,11716.10,11663.86,13680.00,10725.00,452994.00,5283658091.10,80324.00,Maruti
01-Apr-25,EQ,11480.00,11545.80,11290.00,11522.15,11455.25,11481.10,11415.76,13680.00,10725.00,498244.00,5687832377.15,96268.00,Maruti
