Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,2414.60,2414.60,2376.70,2398.10,2407.90,2408.80,2398.57,2778.00,2110.00,684551.00,1641940294.90,37972.00,Nestleind
15-May-25,EQ,2370.00,2414.90,2341.50,2370.40,2391.50,2398.10,2384.68,2778.00,2110.00,964112.00,2299097413.90,96725.00,Nestleind
14-May-25,EQ,2365.00,2379.20,2353.30,2370.20,2373.00,2370.40,2366.02,2778.00,2110.00,601533.00,1423236459.40,63166.00,Nestleind
13-May-25,EQ,2380.00,2389.80,2342.00,2383.80,2368.00,2370.20,2365.83,2778.00,2110.00,1166776.00,2760394119.00,79405.00,Nestleind
12-May-25,EQ,2359.80,2389.00,2346.00,2325.40,2388.50,2383.80,2367.18,2778.00,2110.00,400750.00,948647022.10,41555.00,Nestleind
09-May-25,EQ,2302.00,2349.00,2291.70,2340.70,2321.00,2325.40,2315.05,2778.00,2110.00,908229.00,2102594904.60,49244.00,Nestleind
08-May-25,EQ,2328.00,2350.10,2315.10,2338.40,2330.00,2340.70,2336.61,2778.00,2110.00,1346546.00,3146346201.10,78315.00,Nestleind
07-May-25,EQ,2331.00,2356.00,2327.30,2356.50,2330.70,2338.40,2336.78,2778.00,2110.00,676652.00,1581186834.30,51492.00,Nestleind
06-May-25,EQ,2337.00,2374.20,2330.00,2328.20,2356.00,2356.50,2358.33,2778.00,2110.00,871013.00,2054139154.00,50622.00,Nestleind
05-May-25,EQ,2348.90,2352.00,2323.70,2337.70,2333.50,2328.20,2339.21,2778.00,2110.00,913797.00,2137567618.40,63533.00,Nestleind
02-May-25,EQ,2375.00,2384.80,2327.00,2388.20,2337.70,2337.70,2344.17,2778.00,2110.00,859177.00,2014057327.40,72110.00,Nestleind
30-Apr-25,EQ,2375.00,2406.40,2364.30,2387.50,2380.00,2388.20,2390.97,2778.00,2110.00,1020431.00,2439822318.00,54051.00,Nestleind
29-Apr-25,EQ,2406.00,2406.00,2359.20,2406.00,2384.90,2387.50,2383.31,2778.00,2110.00,976060.00,2326249069.30,78626.00,Nestleind
28-Apr-25,EQ,2400.00,2418.40,2386.00,2413.50,2402.00,2406.00,2401.70,2778.00,2110.00,980526.00,2354934175.70,53488.00,Nestleind
25-Apr-25,EQ,2426.90,2435.20,2387.30,2433.20,2410.00,2413.50,2407.23,2778.00,2110.00,1128284.00,2716044691.40,78643.00,Nestleind
24-Apr-25,EQ,2435.00,2515.00,2379.00,2433.40,2427.00,2433.20,2437.82,2778.00,2110.00,2337238.00,5697758074.90,179605.00,Nestleind
