Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,343.00,347.60,342.00,341.95,343.10,343.10,344.11,448.45,292.80,6920351.00,2381353138.65,85343.00,Ntpc
15-May-25,EQ,339.50,343.75,332.65,338.55,341.90,341.95,336.52,448.45,292.80,43307763.00,14573906697.30,198145.00,Ntpc
14-May-25,EQ,342.45,343.85,337.75,341.50,339.50,338.55,340.06,448.45,292.80,22485535.00,7646388054.20,127914.00,Ntpc
13-May-25,EQ,348.60,349.80,340.50,348.55,342.30,341.50,343.50,448.45,292.80,14738980.00,5062846170.30,125785.00,Ntpc
12-May-25,EQ,340.40,349.20,338.10,334.75,348.95,348.55,346.75,448.45,292.80,7978210.00,2766410001.45,113603.00,Ntpc
09-May-25,EQ,334.20,338.75,330.60,340.00,334.65,334.75,333.72,448.45,292.80,11322011.00,3778402506.60,152356.00,Ntpc
08-May-25,EQ,341.05,343.10,338.40,342.05,339.25,340.00,340.32,448.45,292.80,14286109.00,4861898676.05,147332.00,Ntpc
07-May-25,EQ,338.00,343.70,337.00,341.80,342.60,342.05,341.18,448.45,292.80,8465490.00,2888264078.80,92112.00,Ntpc
06-May-25,EQ,349.00,349.50,340.00,348.60,342.20,341.80,342.62,448.45,292.80,8904223.00,3050738485.60,157018.00,Ntpc
05-May-25,EQ,351.00,352.00,345.55,348.45,348.50,348.60,348.54,448.45,292.80,9492646.00,3308574507.15,198375.00,Ntpc
02-May-25,EQ,354.55,358.00,347.60,354.55,348.50,348.45,350.27,448.45,292.80,11165220.00,3910822367.60,173230.00,Ntpc
30-Apr-25,EQ,357.00,361.00,352.00,356.95,353.70,354.55,356.16,448.45,292.80,16739088.00,5961872849.30,142964.00,Ntpc
29-Apr-25,EQ,364.00,364.35,354.10,361.50,357.90,356.95,358.33,448.45,292.80,9472828.00,3394410129.45,108618.00,Ntpc
28-Apr-25,EQ,353.70,362.90,353.70,356.45,360.50,361.50,360.81,448.45,292.80,5315840.00,1918017935.15,57842.00,Ntpc
25-Apr-25,EQ,363.20,365.80,351.10,363.20,355.50,356.45,356.46,448.45,292.80,9785640.00,3488169368.90,96530.00,Ntpc
24-Apr-25,EQ,363.75,366.45,361.60,363.80,363.45,363.20,363.29,448.45,292.80,7491123.00,2721435639.70,77725.00,Ntpc
23-Apr-25,EQ,362.95,364.25,357.90,360.25,362.60,363.80,361.29,448.45,292.80,9719205.00,3511438721.00,109738.00,Ntpc
22-Apr-25,EQ,367.05,367.05,359.70,364.55,360.45,360.25,362.22,448.45,292.80,12077119.00,4374579901.50,170500.00,Ntpc
21-Apr-25,EQ,365.80,368.20,361.80,364.00,364.45,364.55,365.80,448.45,292.80,7375594.00,2698008507.65,131483.00,Ntpc
17-Apr-25,EQ,359.25,365.45,357.25,359.30,363.75,364.00,362.25,448.45,292.80,12288196.00,4451413304.90,139411.00,Ntpc
16-Apr-25,EQ,362.50,363.00,357.90,362.50,359.35,359.30,360.16,448.45,292.80,11541484.00,4156734543.65,163718.00,Ntpc
15-Apr-25,EQ,367.00,368.45,361.55,360.10,362.70,362.50,365.04,448.45,292.80,17497327.00,6387278610.15,155430.00,Ntpc
11-Apr-25,EQ,351.00,361.50,351.00,349.35,359.70,360.10,358.01,448.45,292.80,11246077.00,4026236605.05,115892.00,Ntpc
09-Apr-25,EQ,354.00,354.80,348.20,352.95,350.65,349.35,350.78,448.45,292.80,7462119.00,2617587719.40,103822.00,Ntpc
08-Apr-25,EQ,356.85,358.25,350.00,349.80,353.25,352.95,354.24,448.45,292.80,17506712.00,6201630211.85,201333.00,Ntpc
07-Apr-25,EQ,328.00,351.40,324.00,350.40,349.75,349.80,343.35,448.45,292.80,18025165.00,6188926191.15,214168.00,Ntpc
04-Apr-25,EQ,358.85,358.85,348.55,358.90,350.85,350.40,352.53,448.45,292.80,10872963.00,3833076860.60,101700.00,Ntpc
03-Apr-25,EQ,351.75,361.35,351.75,351.75,359.25,358.90,358.07,448.45,292.80,10317410.00,3694354494.30,99899.00,Ntpc
02-Apr-25,EQ,352.15,353.45,347.05,352.15,351.65,351.75,349.48,448.45,292.80,13593404.00,4750635899.15,79119.00,Ntpc
01-Apr-25,EQ,352.35,362.90,350.85,357.60,352.95,352.15,354.51,448.45,292.80,18736320.00,6642227146.25,121699.00,Ntpc
28-Mar-25,EQ,362.00,364.30,356.45,360.65,358.00,357.60,359.28,448.45,292.80,11327077.00,4069593199.20,96345.00,Ntpc
27-Mar-25,EQ,353.90,364.45,351.00,354.65,364.00,360.65,359.35,448.45,292.80,37930538.00,13630380943.55,135573.00,Ntpc
26-Mar-25,EQ,366.95,369.00,353.30,366.95,354.05,354.65,359.49,448.45,292.80,18668095.00,6710907724.40,240821.00,Ntpc
25-Mar-25,EQ,369.00,371.45,364.15,366.95,365.15,366.95,367.37,448.45,292.80,23189083.00,8519039663.20,320876.00,Ntpc
24-Mar-25,EQ,357.00,368.00,353.65,351.30,367.00,366.95,363.66,448.45,292.80,24588471.00,8941829034.85,382349.00,Ntpc
21-Mar-25,EQ,342.00,353.85,341.75,341.75,353.00,351.30,348.63,448.45,292.80,36406837.00,12692450132.70,167637.00,Ntpc
20-Mar-25,EQ,344.70,344.70,340.30,341.30,341.65,341.75,341.75,448.45,292.80,15002119.00,5126943728.25,137293.00,Ntpc
19-Mar-25,EQ,339.00,343.90,336.35,337.35,340.60,341.30,340.95,448.45,292.80,30582397.00,10427135441.25,146785.00,Ntpc
18-Mar-25,EQ,333.30,337.90,331.35,331.65,337.50,337.35,336.00,448.45,292.80,8580255.00,2882969480.20,106369.00,Ntpc
17-Mar-25,EQ,332.95,334.50,330.50,331.90,331.70,331.65,332.08,448.45,292.80,4353562.00,1445713661.75,59911.00,Ntpc
13-Mar-25,EQ,332.00,334.55,328.45,330.15,330.75,331.90,331.70,448.45,292.80,8965150.00,2973746896.60,81817.00,Ntpc
12-Mar-25,EQ,331.00,334.80,326.40,330.30,329.80,330.15,330.34,448.45,292.80,6984859.00,2307350571.15,79922.00,Ntpc
11-Mar-25,EQ,327.00,333.25,323.70,329.40,331.50,330.30,329.31,448.45,292.80,10299324.00,3391642700.75,101353.00,Ntpc
10-Mar-25,EQ,329.45,334.95,326.30,329.55,329.10,329.40,330.05,448.45,292.80,11383132.00,3756953959.20,121709.00,Ntpc
07-Mar-25,EQ,335.85,338.75,328.70,337.90,330.40,329.55,331.65,448.45,292.80,8992315.00,2982327074.35,119599.00,Ntpc
06-Mar-25,EQ,329.00,338.80,323.20,326.20,336.10,337.90,332.96,448.45,292.80,26294903.00,8755167625.10,196167.00,Ntpc
05-Mar-25,EQ,313.55,327.30,313.50,313.75,326.10,326.20,323.78,448.45,292.80,10493615.00,3397672447.15,116429.00,Ntpc
04-Mar-25,EQ,311.30,314.90,308.00,314.40,313.55,313.75,312.47,448.45,292.80,8734999.00,2729440379.25,108688.00,Ntpc
03-Mar-25,EQ,311.30,317.80,307.70,311.45,315.00,314.40,311.34,448.45,292.80,9779703.00,3044807581.35,163132.00,Ntpc
28-Feb-25,EQ,314.00,315.65,306.55,315.70,310.70,311.45,311.28,448.45,292.80,21127180.00,6576371010.30,155498.00,Ntpc
27-Feb-25,EQ,315.35,319.30,314.50,318.70,315.70,315.70,315.71,448.45,292.80,7302366.00,2305454828.75,75949.00,Ntpc
25-Feb-25,EQ,320.10,321.50,315.75,320.10,316.80,318.70,318.26,448.45,292.80,10686112.00,3400910935.55,131419.00,Ntpc
