Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,247.06,249.39,246.20,247.61,247.20,247.27,247.60,345.00,205.00,8030229.00,1988300451.34,94905.00,Ongc
15-May-25,EQ,244.95,248.92,242.30,246.01,246.98,247.61,245.88,345.00,205.00,16812750.00,4133978297.16,132867.00,Ongc
14-May-25,EQ,241.16,246.90,241.16,241.16,246.04,246.01,245.21,345.00,205.00,8234859.00,2019240083.08,91451.00,Ongc
13-May-25,EQ,244.15,245.29,240.29,244.02,241.00,241.16,242.06,345.00,205.00,9336026.00,2259846287.58,137918.00,Ongc
12-May-25,EQ,239.00,244.60,238.11,234.96,244.00,244.02,242.85,345.00,205.00,11374237.00,2762238440.15,119839.00,Ongc
09-May-25,EQ,229.10,235.30,228.45,233.22,234.50,234.96,233.61,345.00,205.00,11184507.00,2612795445.71,131657.00,Ongc
08-May-25,EQ,237.66,239.34,231.40,238.67,231.45,233.22,234.47,345.00,205.00,15026122.00,3523212943.64,121501.00,Ongc
07-May-25,EQ,232.30,240.09,232.07,237.00,238.67,238.67,237.77,345.00,205.00,16689539.00,3968231072.14,131865.00,Ongc
06-May-25,EQ,241.13,242.99,236.00,239.20,237.01,237.00,238.66,345.00,205.00,11350559.00,2708930304.30,78866.00,Ongc
05-May-25,EQ,240.00,241.15,234.50,243.42,239.88,239.20,238.79,345.00,205.00,20086323.00,4796356233.02,154224.00,Ongc
02-May-25,EQ,241.00,246.27,239.00,244.45,242.85,243.42,242.62,345.00,205.00,12347590.00,2995785941.45,102014.00,Ongc
30-Apr-25,EQ,245.50,247.44,242.22,245.68,243.42,244.45,244.51,345.00,205.00,9822483.00,2401691046.33,86524.00,Ongc
29-Apr-25,EQ,251.24,252.10,245.10,250.60,245.65,245.68,247.97,345.00,205.00,8030552.00,1991304817.72,98409.00,Ongc
28-Apr-25,EQ,246.00,251.95,244.38,246.33,250.50,250.60,249.96,345.00,205.00,7669983.00,1917212794.95,64903.00,Ongc
25-Apr-25,EQ,249.00,250.68,244.40,249.37,246.00,246.33,246.50,345.00,205.00,15616265.00,3849383324.03,105930.00,Ongc
24-Apr-25,EQ,250.00,251.37,248.00,252.17,249.69,249.37,249.50,345.00,205.00,6538518.00,1631339744.30,79370.00,Ongc
23-Apr-25,EQ,248.74,252.75,244.92,247.78,252.10,252.17,248.88,345.00,205.00,16555874.00,4120413595.66,96623.00,Ongc
22-Apr-25,EQ,248.97,250.60,247.26,249.78,248.00,247.78,248.83,345.00,205.00,9896443.00,2462514544.32,79384.00,Ongc
21-Apr-25,EQ,244.01,250.55,241.75,243.49,249.00,249.78,248.28,345.00,205.00,11698653.00,2904516479.41,102967.00,Ongc
17-Apr-25,EQ,241.00,244.61,239.26,241.22,243.78,243.49,242.70,345.00,205.00,12891813.00,3128873167.93,109628.00,Ongc
16-Apr-25,EQ,232.69,242.00,231.72,232.69,240.84,241.22,237.30,345.00,205.00,18748952.00,4449183790.57,129518.00,Ongc
15-Apr-25,EQ,234.00,234.00,230.10,230.37,233.15,232.69,232.27,345.00,205.00,12102239.00,2811016102.28,96408.00,Ongc
11-Apr-25,EQ,228.30,231.40,225.25,221.94,230.20,230.37,229.19,345.00,205.00,13886447.00,3182685663.51,112919.00,Ongc
09-Apr-25,EQ,222.00,224.06,220.26,226.66,223.00,221.94,222.01,345.00,205.00,16889575.00,3749624985.34,163218.00,Ongc
08-Apr-25,EQ,223.00,227.24,219.18,219.84,226.47,226.66,223.78,345.00,205.00,11309092.00,2530727420.71,104353.00,Ongc
07-Apr-25,EQ,208.00,220.80,205.00,226.01,220.35,219.84,214.71,345.00,205.00,27024128.00,5802437194.65,275050.00,Ongc
04-Apr-25,EQ,240.56,241.21,224.20,243.31,226.10,226.01,228.10,345.00,215.48,38336194.00,8744552291.08,310143.00,Ongc
03-Apr-25,EQ,248.00,249.62,242.51,250.64,243.59,243.31,244.62,345.00,215.48,11141370.00,2725411131.24,105789.00,Ongc
02-Apr-25,EQ,250.05,251.50,248.00,248.07,250.05,250.64,250.10,345.00,215.48,15337906.00,3835989168.53,75510.00,Ongc
01-Apr-25,EQ,247.00,252.20,246.70,246.38,248.29,248.07,248.93,345.00,215.48,11258957.00,2802661641.81,92684.00,Ongc
28-Mar-25,EQ,243.44,254.90,243.26,242.17,246.50,246.38,251.12,345.00,215.48,32905564.00,8263318079.36,210020.00,Ongc
27-Mar-25,EQ,238.87,243.40,238.65,239.72,242.65,242.17,241.40,345.00,215.48,9935664.00,2398439736.27,81885.00,Ongc
26-Mar-25,EQ,243.35,244.50,239.37,242.25,239.90,239.72,241.50,345.00,215.48,7543985.00,1821878938.11,73994.00,Ongc
25-Mar-25,EQ,244.01,245.37,240.55,243.83,241.71,242.25,242.85,345.00,215.48,8915800.00,2165162973.35,78716.00,Ongc
24-Mar-25,EQ,244.19,246.40,242.75,242.42,243.51,243.83,244.30,345.00,215.48,10566066.00,2581266719.45,111957.00,Ongc
21-Mar-25,EQ,235.80,248.00,235.80,235.59,242.00,242.42,242.54,345.00,215.48,29285333.00,7102991525.52,153423.00,Ongc
