Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,300.00,302.20,295.50,299.65,300.10,300.20,299.22,366.25,247.30,16763668.00,5016070164.75,82803.00,PowerGrid
15-May-25,EQ,295.90,300.40,291.05,295.95,299.05,299.65,295.24,366.25,247.30,22640626.00,6684504136.90,155077.00,PowerGrid
14-May-25,EQ,299.20,300.55,294.05,298.45,296.30,295.95,296.57,366.25,247.30,10359258.00,3072282665.40,142377.00,PowerGrid
13-May-25,EQ,305.00,308.75,298.00,309.05,299.20,298.45,300.94,366.25,247.30,17988336.00,5413437342.60,145778.00,PowerGrid
12-May-25,EQ,304.05,311.10,304.05,299.30,309.90,309.05,308.84,366.25,247.30,7145884.00,2206915356.45,44608.00,PowerGrid
09-May-25,EQ,300.00,303.05,296.40,308.25,299.80,299.30,299.79,366.25,247.30,11981497.00,3591952620.15,107554.00,PowerGrid
08-May-25,EQ,313.40,317.40,304.00,311.10,305.30,308.25,311.34,366.25,247.30,19253478.00,5994417819.00,124387.00,PowerGrid
07-May-25,EQ,308.00,313.15,307.00,307.60,311.40,311.10,310.93,366.25,247.30,14679327.00,4564189210.60,83260.00,PowerGrid
06-May-25,EQ,307.60,310.45,305.55,308.20,307.45,307.60,307.07,366.25,247.30,9124804.00,2801911852.70,83665.00,PowerGrid
05-May-25,EQ,304.80,310.70,304.65,303.95,309.00,308.20,308.68,366.25,247.30,4342960.00,1340574521.55,75825.00,PowerGrid
02-May-25,EQ,305.50,309.00,302.30,307.45,303.95,303.95,304.91,366.25,247.30,8428889.00,2570036358.25,63862.00,PowerGrid
30-Apr-25,EQ,304.45,310.00,301.90,302.95,305.20,307.45,307.80,366.25,247.30,17619987.00,5423357571.10,106364.00,PowerGrid
29-Apr-25,EQ,308.55,310.80,301.20,308.55,304.05,302.95,303.57,366.25,247.30,14678005.00,4455736751.40,92051.00,PowerGrid
28-Apr-25,EQ,304.20,310.95,303.55,306.50,308.45,308.55,308.62,366.25,247.30,7314824.00,2257514385.85,71770.00,PowerGrid
25-Apr-25,EQ,313.00,315.40,303.40,314.40,305.30,306.50,307.35,366.25,247.30,11475773.00,3527049063.35,89081.00,PowerGrid
24-Apr-25,EQ,314.90,315.85,312.85,314.95,314.00,314.40,314.50,366.25,247.30,8021180.00,2522673494.85,54066.00,PowerGrid
23-Apr-25,EQ,314.15,316.10,309.45,312.55,314.05,314.95,312.87,366.25,247.30,8225575.00,2573543571.00,103137.00,PowerGrid
22-Apr-25,EQ,319.75,319.75,312.10,320.00,313.25,312.55,314.43,366.25,247.30,10027332.00,3152923462.15,96337.00,PowerGrid
21-Apr-25,EQ,310.00,322.00,308.45,309.00,320.00,320.00,317.50,366.25,247.30,13369014.00,4244649387.05,96683.00,PowerGrid
17-Apr-25,EQ,305.45,309.80,302.00,305.75,308.45,309.00,307.27,366.25,247.30,8528993.00,2620673197.10,87281.00,PowerGrid
16-Apr-25,EQ,304.45,307.00,302.80,304.55,305.50,305.75,305.55,366.25,247.30,7032401.00,2148721779.50,74562.00,PowerGrid
15-Apr-25,EQ,307.20,310.45,303.70,304.10,305.00,304.55,306.53,366.25,247.30,16563441.00,5077274084.70,97877.00,PowerGrid
11-Apr-25,EQ,293.25,305.00,293.25,293.40,303.95,304.10,301.18,366.25,247.30,19831004.00,5972619745.70,114026.00,PowerGrid
09-Apr-25,EQ,289.95,299.50,289.30,288.95,294.10,293.40,295.02,366.25,247.30,21342531.00,6296391245.85,133278.00,PowerGrid
08-Apr-25,EQ,291.95,294.00,284.65,289.40,289.15,288.95,288.52,366.25,247.30,20831596.00,6010287712.45,152056.00,PowerGrid
07-Apr-25,EQ,283.60,293.90,282.30,293.90,290.65,289.40,289.42,366.25,247.30,22847548.00,6612493598.40,203234.00,PowerGrid
04-Apr-25,EQ,300.00,300.90,292.10,299.10,294.30,293.90,296.60,366.25,247.30,21020875.00,6234790959.50,133590.00,PowerGrid
03-Apr-25,EQ,289.35,299.95,285.10,286.75,299.95,299.10,295.98,366.25,247.30,23478876.00,6949393423.50,140068.00,PowerGrid
02-Apr-25,EQ,286.85,289.75,284.50,289.30,287.05,286.75,286.77,366.25,247.30,11679536.00,3349321684.80,113481.00,PowerGrid
01-Apr-25,EQ,289.60,296.95,287.00,290.35,289.10,289.30,291.44,366.25,247.30,11603556.00,3381782683.90,97251.00,PowerGrid
28-Mar-25,EQ,293.90,294.25,288.30,295.50,290.40,290.35,290.37,366.25,247.30,10834900.00,3146144482.65,84913.00,PowerGrid
27-Mar-25,EQ,289.00,297.25,289.00,290.85,292.30,295.50,294.85,366.25,247.30,37203166.00,10969517758.35,118070.00,PowerGrid
26-Mar-25,EQ,291.70,296.75,289.55,291.00,292.30,290.85,293.16,366.25,247.30,20367015.00,5970850517.00,120241.00,PowerGrid
25-Mar-25,EQ,291.00,295.25,287.65,291.85,289.55,291.00,291.52,366.25,247.30,16983852.00,4951098425.90,123952.00,PowerGrid
24-Mar-25,EQ,285.00,293.95,284.45,283.10,292.00,291.85,291.02,366.25,247.30,19966817.00,5810755612.85,119746.00,PowerGrid
21-Mar-25,EQ,281.00,285.15,280.05,280.35,284.05,283.10,283.08,366.25,247.30,26003527.00,7361082045.20,102033.00,PowerGrid
20-Mar-25,EQ,283.50,283.55,277.05,277.20,279.60,280.35,279.70,366.25,247.30,13710249.00,3834721916.90,77434.00,PowerGrid
19-Mar-25,EQ,272.00,278.30,269.80,270.80,276.70,277.20,275.63,366.25,247.30,13089950.00,3607934084.50,85348.00,PowerGrid
18-Mar-25,EQ,269.15,272.40,267.30,267.35,270.50,270.80,270.60,366.25,247.30,8899126.00,2408060867.35,75535.00,PowerGrid
17-Mar-25,EQ,270.00,270.65,264.95,267.65,267.05,267.35,267.27,366.25,247.30,11987667.00,3203925783.15,74263.00,PowerGrid
13-Mar-25,EQ,269.80,270.65,265.50,267.10,268.05,267.65,267.84,366.25,247.30,9270442.00,2482967648.65,69626.00,PowerGrid
12-Mar-25,EQ,270.70,272.40,263.60,267.30,267.40,267.10,267.05,366.25,247.30,11875548.00,3171320067.00,83541.00,PowerGrid
11-Mar-25,EQ,270.00,271.85,265.85,271.30,267.65,267.30,268.01,366.25,247.30,9255499.00,2480556092.00,91202.00,PowerGrid
10-Mar-25,EQ,261.05,274.25,261.05,263.30,271.25,271.30,271.04,366.25,247.30,30233763.00,8194624247.25,166981.00,PowerGrid
07-Mar-25,EQ,266.00,268.65,261.60,266.65,263.40,263.30,263.86,366.25,247.30,10043068.00,2649975956.60,109981.00,PowerGrid
06-Mar-25,EQ,265.15,267.30,260.70,264.40,266.35,266.65,264.37,366.25,247.30,11926868.00,3153076324.10,129911.00,PowerGrid
05-Mar-25,EQ,256.95,267.20,255.75,254.00,264.80,264.40,263.20,366.25,247.30,14536637.00,3826008672.60,135947.00,PowerGrid
04-Mar-25,EQ,250.00,257.15,249.45,252.50,254.10,254.00,253.76,366.25,247.30,11947033.00,3031667585.85,80776.00,PowerGrid
03-Mar-25,EQ,253.00,253.80,248.50,250.85,252.65,252.50,251.19,366.25,247.30,9873539.00,2480131540.45,97994.00,PowerGrid
28-Feb-25,EQ,255.90,257.00,247.30,256.25,251.80,250.85,250.84,366.25,247.30,38512868.00,9660482668.20,177584.00,PowerGrid
27-Feb-25,EQ,254.00,257.45,253.45,255.75,256.50,256.25,255.88,366.25,252.20,13614799.00,3483753638.95,104795.00,PowerGrid
25-Feb-25,EQ,258.80,259.95,254.90,259.15,255.25,255.75,256.39,366.25,252.20,21287363.00,5457894149.85,153089.00,PowerGrid
24-Feb-25,EQ,258.00,261.80,257.25,261.90,259.15,259.15,259.44,366.25,252.20,14599185.00,3787610031.45,125718.00,PowerGrid
21-Feb-25,EQ,265.30,265.75,259.40,265.75,261.60,261.90,261.67,366.25,252.20,10757038.00,2814793345.35,85123.00,PowerGrid
20-Feb-25,EQ,262.75,266.45,261.30,263.05,265.75,265.75,265.00,366.25,252.20,15312926.00,4057899228.00,122755.00,PowerGrid
19-Feb-25,EQ,262.50,268.50,262.30,266.95,263.25,263.05,264.66,366.25,252.20,14602009.00,3864624426.55,109014.00,PowerGrid
18-Feb-25,EQ,263.85,267.90,260.20,263.20,265.55,266.95,264.52,366.25,252.20,10483635.00,2773165110.10,101687.00,PowerGrid
17-Feb-25,EQ,256.90,264.00,252.20,257.35,263.10,263.20,260.24,366.25,252.20,8332653.00,2168477401.60,100568.00,PowerGrid
14-Feb-25,EQ,260.40,261.50,254.75,259.15,256.50,257.35,257.25,366.25,254.00,11339563.00,2917049690.70,117604.00,PowerGrid
13-Feb-25,EQ,257.25,261.35,256.10,257.05,259.10,259.15,259.54,366.25,254.00,12257226.00,3181192065.65,148296.00,PowerGrid
12-Feb-25,EQ,259.50,262.10,254.00,261.45,257.40,257.05,257.22,366.25,254.00,17861265.00,4594210887.95,175992.00,PowerGrid
11-Feb-25,EQ,268.70,268.80,260.00,268.70,261.30,261.45,262.48,366.25,257.65,22083955.00,5796641612.40,153679.00,PowerGrid
10-Feb-25,EQ,275.00,276.00,268.10,278.15,269.05,268.70,269.88,366.25,257.65,16709670.00,4509550225.15,133404.00,PowerGrid
07-Feb-25,EQ,273.10,281.90,270.00,281.15,278.35,278.15,276.18,366.25,257.65,17193482.00,4748463960.35,132937.00,PowerGrid
06-Feb-25,EQ,287.50,290.95,279.75,285.20,281.95,281.15,283.31,366.25,257.65,21418561.00,6068061182.60,164226.00,PowerGrid
05-Feb-25,EQ,285.60,290.75,284.55,285.65,286.25,285.20,287.31,366.25,257.65,15337191.00,4406555559.65,111471.00,PowerGrid
