Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1453.20,1461.00,1447.30,1454.20,1454.80,1456.40,1455.16,3217.60,1114.85,9036695.00,13149797875.40,196322.00,Reliance
15-May-25,EQ,1425.00,1461.40,1412.70,1424.40,1453.00,1454.20,1441.41,3217.60,1114.85,20177211.00,29083683834.80,314261.00,Reliance
14-May-25,EQ,1420.00,1429.90,1415.50,1415.70,1425.20,1424.40,1423.31,3217.60,1114.85,5570160.00,7928045614.70,145014.00,Reliance
13-May-25,EQ,1433.50,1447.70,1412.40,1436.50,1416.50,1415.70,1423.23,3217.60,1114.85,11407896.00,16236102678.90,281992.00,Reliance
12-May-25,EQ,1400.00,1439.00,1400.00,1377.20,1436.90,1436.50,1426.35,3217.60,1114.85,10674081.00,15224970250.50,310602.00,Reliance
09-May-25,EQ,1385.50,1394.80,1374.50,1407.00,1379.50,1377.20,1382.39,3217.60,1114.85,13668904.00,18895751340.10,388013.00,Reliance
08-May-25,EQ,1404.10,1420.80,1398.00,1406.00,1398.00,1407.00,1410.51,3217.60,1114.85,16106175.00,22717878064.30,231342.00,Reliance
07-May-25,EQ,1420.90,1424.40,1402.70,1420.90,1405.90,1406.00,1412.79,3217.60,1114.85,13440169.00,18988126278.30,222903.00,Reliance
06-May-25,EQ,1431.00,1432.00,1410.60,1431.30,1418.00,1420.90,1419.01,3217.60,1114.85,14084117.00,19985559677.40,226761.00,Reliance
05-May-25,EQ,1431.00,1439.50,1426.90,1422.40,1430.00,1431.30,1432.00,3217.60,1114.85,12685649.00,18165843553.00,204503.00,Reliance
02-May-25,EQ,1414.00,1426.70,1409.10,1405.00,1422.50,1422.40,1419.65,3217.60,1114.85,17535402.00,24894140200.00,378385.00,Reliance
30-Apr-25,EQ,1402.00,1412.40,1369.00,1399.70,1395.00,1405.00,1404.87,3217.60,1114.85,25480745.00,35797220282.00,598769.00,Reliance
29-Apr-25,EQ,1371.00,1410.90,1370.00,1368.80,1398.90,1399.70,1395.77,3217.60,1114.85,32538970.00,45417061104.50,680195.00,Reliance
28-Apr-25,EQ,1340.00,1374.60,1320.20,1300.40,1366.30,1368.80,1355.02,3217.60,1114.85,31104496.00,42147123069.00,893347.00,Reliance
25-Apr-25,EQ,1303.50,1325.20,1288.10,1301.60,1301.00,1300.40,1303.30,3217.60,1114.85,14431012.00,18807907514.70,307093.00,Reliance
24-Apr-25,EQ,1292.40,1304.50,1290.30,1300.00,1303.50,1301.60,1298.32,3217.60,1114.85,10468940.00,13592084385.00,181309.00,Reliance
23-Apr-25,EQ,1297.00,1306.00,1285.40,1291.20,1297.00,1300.00,1297.08,3217.60,1114.85,10480888.00,13594597555.00,232149.00,Reliance
22-Apr-25,EQ,1300.00,1303.90,1286.30,1295.50,1289.00,1291.20,1295.99,3217.60,1114.85,13051707.00,16914900850.30,229331.00,Reliance
21-Apr-25,EQ,1270.00,1300.90,1267.00,1274.50,1295.20,1295.50,1291.47,3217.60,1114.85,10429964.00,13469949890.00,257857.00,Reliance
17-Apr-25,EQ,1240.20,1280.20,1227.60,1239.30,1273.00,1274.50,1260.38,3217.60,1114.85,15398401.00,19407871411.00,321235.00,Reliance
16-Apr-25,EQ,1234.10,1240.90,1229.00,1240.10,1238.00,1239.30,1235.61,3217.60,1114.85,8248464.00,10191864641.70,164065.00,Reliance
15-Apr-25,EQ,1251.00,1251.00,1237.10,1218.95,1239.60,1240.10,1242.83,3217.60,1114.85,13378535.00,16627177949.10,199888.00,Reliance
11-Apr-25,EQ,1195.15,1222.65,1195.15,1185.35,1220.00,1218.95,1214.05,3217.60,1114.85,11224242.00,13626831085.65,187059.00,Reliance
09-Apr-25,EQ,1169.50,1189.80,1168.00,1182.20,1187.50,1185.35,1183.08,3217.60,1114.85,10223104.00,12094749463.20,193325.00,Reliance
08-Apr-25,EQ,1172.00,1196.60,1163.30,1165.70,1181.05,1182.20,1179.50,3217.60,1114.85,19555040.00,23065209423.00,314171.00,Reliance
07-Apr-25,EQ,1132.20,1171.25,1114.85,1204.70,1171.25,1165.70,1150.54,3217.60,1114.85,22156106.00,25491501838.90,677564.00,Reliance
04-Apr-25,EQ,1241.10,1245.45,1193.15,1248.70,1205.90,1204.70,1206.62,3217.60,1156.00,17908652.00,21608977995.10,542347.00,Reliance
03-Apr-25,EQ,1233.05,1251.80,1233.05,1251.15,1248.50,1248.70,1246.31,3217.60,1156.00,7434366.00,9265530670.85,146316.00,Reliance
02-Apr-25,EQ,1247.55,1255.55,1243.90,1252.60,1252.00,1251.15,1251.04,3217.60,1156.00,10142590.00,12688802512.15,177979.00,Reliance
01-Apr-25,EQ,1264.60,1277.90,1249.30,1275.10,1254.00,1252.60,1260.72,3217.60,1156.00,12099648.00,15254261046.80,260862.00,Reliance
28-Mar-25,EQ,1280.00,1295.75,1269.00,1278.20,1274.00,1275.10,1278.15,3217.60,1156.00,18147129.00,23194774030.90,265113.00,Reliance
27-Mar-25,EQ,1278.15,1285.00,1271.30,1273.05,1280.00,1278.20,1278.90,3217.60,1156.00,15028056.00,19219399902.90,224828.00,Reliance
26-Mar-25,EQ,1291.00,1293.80,1268.75,1285.45,1270.90,1273.05,1279.04,3217.60,1156.00,12074747.00,15444062345.35,292138.00,Reliance
25-Mar-25,EQ,1307.70,1307.70,1282.60,1302.10,1285.25,1285.45,1290.63,3217.60,1156.00,13713899.00,17699568389.85,271251.00,Reliance
24-Mar-25,EQ,1291.00,1306.00,1284.25,1276.35,1302.65,1302.10,1297.38,3217.60,1156.00,20299319.00,26335901171.15,347056.00,Reliance
21-Mar-25,EQ,1275.00,1281.00,1270.10,1269.15,1277.50,1276.35,1276.34,3217.60,1156.00,21780769.00,27799653516.40,230001.00,Reliance
20-Mar-25,EQ,1251.85,1273.00,1250.05,1247.15,1268.20,1269.15,1262.54,3217.60,1156.00,15971477.00,20164561988.35,219527.00,Reliance
19-Mar-25,EQ,1241.05,1253.25,1238.80,1238.80,1248.00,1247.15,1247.22,3217.60,1156.00,16162399.00,20158006340.60,217782.00,Reliance
18-Mar-25,EQ,1244.70,1248.35,1235.00,1238.85,1239.95,1238.80,1238.98,3217.60,1156.00,15745877.00,19508893454.65,312315.00,Reliance
17-Mar-25,EQ,1242.15,1257.40,1233.10,1247.90,1241.55,1238.85,1239.76,3217.60,1156.00,16640952.00,20630843725.15,269824.00,Reliance
13-Mar-25,EQ,1260.05,1264.15,1243.85,1257.05,1246.65,1247.90,1254.23,3217.60,1156.00,9505270.00,11921766653.80,194588.00,Reliance
12-Mar-25,EQ,1258.00,1263.00,1244.00,1247.30,1255.95,1257.05,1252.97,3217.60,1156.00,11977555.00,15007514668.90,161536.00,Reliance
11-Mar-25,EQ,1240.00,1249.50,1229.75,1238.40,1247.25,1247.30,1241.71,3217.60,1156.00,10089838.00,12528623904.20,155065.00,Reliance
10-Mar-25,EQ,1245.00,1258.00,1235.40,1249.80,1237.70,1238.40,1245.85,3217.60,1156.00,11931051.00,14864340065.65,288299.00,Reliance
07-Mar-25,EQ,1216.00,1254.80,1212.00,1209.60,1246.40,1249.80,1243.95,3217.60,1156.00,16474965.00,20494065096.80,424924.00,Reliance
06-Mar-25,EQ,1197.00,1213.95,1185.15,1175.60,1211.50,1209.60,1199.05,3217.60,1156.00,14468014.00,17347917723.20,250467.00,Reliance
05-Mar-25,EQ,1161.00,1183.00,1157.00,1161.90,1177.15,1175.60,1173.40,3217.60,1156.00,8664095.00,10166451492.55,196774.00,Reliance
04-Mar-25,EQ,1162.20,1174.00,1159.55,1171.25,1160.45,1161.90,1164.92,3217.60,1156.00,11377373.00,13253711939.15,275459.00,Reliance
03-Mar-25,EQ,1204.00,1206.45,1156.00,1200.10,1174.00,1171.25,1168.57,3217.60,1156.00,17944938.00,20969945818.55,682013.00,Reliance
28-Feb-25,EQ,1202.00,1217.35,1193.30,1207.10,1198.00,1200.10,1205.62,3217.60,1193.30,23007298.00,27738125737.60,355378.00,Reliance
27-Feb-25,EQ,1212.80,1215.00,1200.65,1204.00,1208.00,1207.10,1206.31,3217.60,1193.35,11509215.00,13883637029.45,236188.00,Reliance
25-Feb-25,EQ,1211.00,1221.00,1201.50,1214.55,1202.00,1204.00,1209.60,3217.60,1193.35,11552182.00,13973492939.80,213192.00,Reliance
24-Feb-25,EQ,1216.55,1223.25,1210.50,1228.15,1215.00,1214.55,1215.90,3217.60,1193.35,7172498.00,8721021715.35,200264.00,Reliance
21-Feb-25,EQ,1228.70,1240.00,1222.15,1233.00,1226.90,1228.15,1231.37,3217.60,1193.35,6904025.00,8501382497.70,213824.00,Reliance
20-Feb-25,EQ,1223.95,1239.35,1222.00,1227.45,1232.00,1233.00,1233.94,3217.60,1193.35,7795582.00,9619277166.50,162561.00,Reliance
19-Feb-25,EQ,1219.50,1232.75,1217.55,1225.40,1226.30,1227.45,1226.67,3217.60,1193.35,6217338.00,7626601753.25,178165.00,Reliance
18-Feb-25,EQ,1224.85,1229.90,1216.10,1224.90,1223.95,1225.40,1223.94,3217.60,1193.35,6673250.00,8167661853.95,181273.00,Reliance
17-Feb-25,EQ,1211.10,1227.50,1204.50,1217.25,1225.45,1224.90,1219.62,3217.60,1193.35,8166683.00,9960241446.85,220670.00,Reliance
14-Feb-25,EQ,1219.00,1224.00,1205.45,1216.10,1214.75,1217.25,1215.10,3217.60,1193.35,10298145.00,12513277266.75,202314.00,Reliance
13-Feb-25,EQ,1217.05,1228.00,1212.00,1216.55,1216.20,1216.10,1219.60,3217.60,1193.35,8511216.00,10380276762.25,266249.00,Reliance
12-Feb-25,EQ,1219.45,1226.90,1193.35,1234.85,1217.05,1216.55,1211.39,3217.60,1193.35,21131654.00,25598619531.25,404276.00,Reliance
11-Feb-25,EQ,1264.55,1264.55,1230.10,1253.65,1237.55,1234.85,1244.26,3217.60,1201.50,8859714.00,11023757522.95,240683.00,Reliance
10-Feb-25,EQ,1264.50,1266.50,1245.55,1266.70,1254.65,1253.65,1251.52,3217.60,1201.50,6970972.00,8724286360.55,173316.00,Reliance
07-Feb-25,EQ,1276.15,1283.70,1262.00,1281.55,1266.50,1266.70,1270.98,3217.60,1201.50,8764283.00,11139240963.05,174531.00,Reliance
06-Feb-25,EQ,1273.70,1288.00,1270.35,1278.20,1283.00,1281.55,1279.27,3217.60,1201.50,9956001.00,12736385821.45,217888.00,Reliance
05-Feb-25,EQ,1282.65,1290.50,1276.70,1285.20,1278.50,1278.20,1281.97,3217.60,1201.50,10112028.00,12963336513.05,219550.00,Reliance
04-Feb-25,EQ,1248.05,1288.80,1246.60,1245.90,1282.90,1285.20,1273.65,3217.60,1201.50,16691069.00,21258496964.75,323415.00,Reliance
