Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1790.00,1790.90,1767.90,1784.60,1773.80,1773.40,1777.12,1936.00,1307.70,696146.00,1237136147.90,38370.00,SbiLife
15-May-25,EQ,1757.70,1788.40,1737.10,1755.20,1782.00,1784.60,1769.86,1936.00,1307.70,1318425.00,2333429646.50,83158.00,SbiLife
14-May-25,EQ,1741.00,1760.00,1737.40,1740.00,1757.80,1755.20,1751.88,1936.00,1307.70,603108.00,1056574653.80,41177.00,SbiLife
13-May-25,EQ,1742.70,1756.00,1732.30,1751.50,1738.70,1740.00,1744.50,1936.00,1307.70,478541.00,834813060.20,49453.00,SbiLife
12-May-25,EQ,1725.00,1756.90,1720.00,1699.80,1746.00,1751.50,1748.21,1936.00,1307.70,728808.00,1274110009.40,46401.00,SbiLife
09-May-25,EQ,1706.00,1728.70,1693.10,1731.50,1699.60,1699.80,1707.90,1936.00,1307.70,1076900.00,1839237760.90,52598.00,SbiLife
08-May-25,EQ,1741.30,1744.00,1721.10,1744.50,1723.00,1731.50,1734.76,1936.00,1307.70,1107891.00,1921921073.50,65207.00,SbiLife
07-May-25,EQ,1714.00,1756.50,1712.30,1726.00,1741.10,1744.50,1741.50,1936.00,1307.70,753313.00,1311890839.80,61184.00,SbiLife
06-May-25,EQ,1770.00,1797.80,1717.20,1769.90,1725.10,1726.00,1742.22,1936.00,1307.70,1295777.00,2257530538.30,52237.00,SbiLife
05-May-25,EQ,1773.00,1787.60,1766.90,1764.70,1770.00,1769.90,1775.24,1936.00,1307.70,947983.00,1682900982.70,39005.00,SbiLife
02-May-25,EQ,1761.00,1777.10,1747.60,1765.80,1756.80,1764.70,1763.23,1936.00,1307.70,1418603.00,2501318291.90,68417.00,SbiLife
30-Apr-25,EQ,1722.00,1772.50,1718.50,1730.10,1761.30,1765.80,1758.52,1936.00,1307.70,2031563.00,3572550646.40,75207.00,SbiLife
29-Apr-25,EQ,1733.90,1764.90,1721.00,1736.10,1724.40,1730.10,1737.65,1936.00,1307.70,2049847.00,3561907531.60,115093.00,SbiLife
28-Apr-25,EQ,1690.00,1755.00,1681.40,1695.10,1721.00,1736.10,1714.41,1936.00,1307.70,2100813.00,3601647450.40,76678.00,SbiLife
25-Apr-25,EQ,1723.50,1762.00,1651.10,1608.20,1691.00,1695.10,1695.65,1936.00,1307.70,10321746.00,17502108879.90,309253.00,SbiLife
24-Apr-25,EQ,1612.90,1636.60,1603.00,1615.50,1615.00,1608.20,1615.70,1936.00,1307.70,857476.00,1385426548.60,53482.00,SbiLife
23-Apr-25,EQ,1625.00,1625.00,1601.00,1619.00,1622.00,1615.50,1611.41,1936.00,1307.70,1136215.00,1830902923.50,39314.00,SbiLife
22-Apr-25,EQ,1627.80,1639.90,1612.80,1628.50,1619.60,1619.00,1623.91,1936.00,1307.70,1102055.00,1789641289.60,53311.00,SbiLife
21-Apr-25,EQ,1618.00,1630.70,1595.30,1608.20,1630.10,1628.50,1621.14,1936.00,1307.70,1016066.00,1647185599.20,46762.00,SbiLife
