Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,804.00,804.00,791.00,807.75,792.50,792.10,794.09,912.00,680.00,14733924.00,11700004865.75,241785.00,Sbin
15-May-25,EQ,804.45,809.45,794.50,800.70,808.00,807.75,802.04,912.00,680.00,17058854.00,13681951074.05,200305.00,Sbin
14-May-25,EQ,805.75,807.50,796.30,801.75,802.40,800.70,801.49,912.00,680.00,9281719.00,7439187440.95,146698.00,Sbin
13-May-25,EQ,798.60,807.65,797.20,801.65,801.95,801.75,802.32,912.00,680.00,13909596.00,11159932476.10,201551.00,Sbin
12-May-25,EQ,799.00,803.90,793.00,779.25,800.95,801.65,799.87,912.00,680.00,15096824.00,12075421793.80,173252.00,Sbin
09-May-25,EQ,756.50,781.70,755.50,769.00,780.50,779.25,772.28,912.00,680.00,13578216.00,10486227680.40,246098.00,Sbin
08-May-25,EQ,779.00,786.50,764.00,776.10,765.45,769.00,775.80,912.00,680.00,14491673.00,11242592363.70,202239.00,Sbin
07-May-25,EQ,765.30,782.40,764.55,774.10,777.80,776.10,775.68,912.00,680.00,15586266.00,12089945664.90,254691.00,Sbin
06-May-25,EQ,793.95,799.15,771.10,790.00,772.80,774.10,777.79,912.00,680.00,18869468.00,14676463740.85,344651.00,Sbin
05-May-25,EQ,782.00,799.00,782.00,800.00,790.60,790.00,789.65,912.00,680.00,23986447.00,18940919612.00,422162.00,Sbin
02-May-25,EQ,790.35,803.40,789.00,788.65,799.80,800.00,795.71,912.00,680.00,17199386.00,13685736797.75,281692.00,Sbin
30-Apr-25,EQ,811.50,811.50,784.50,812.55,787.60,788.65,791.14,912.00,680.00,25635764.00,20281571431.10,476377.00,Sbin
29-Apr-25,EQ,820.00,829.00,809.00,817.35,810.75,812.55,819.00,912.00,680.00,11283059.00,9240843611.60,231689.00,Sbin
28-Apr-25,EQ,798.65,822.80,797.40,798.65,816.55,817.35,814.04,912.00,680.00,11317611.00,9212982723.40,199250.00,Sbin
25-Apr-25,EQ,815.00,819.00,787.00,813.40,797.40,798.65,799.45,912.00,680.00,13131038.00,10497610552.70,223526.00,Sbin
24-Apr-25,EQ,812.75,819.00,811.15,813.45,812.00,813.40,814.85,912.00,680.00,12713521.00,10359638546.25,141306.00,Sbin
23-Apr-25,EQ,826.00,831.00,810.10,822.40,813.50,813.45,817.36,912.00,680.00,12104382.00,9893605141.30,174170.00,Sbin
22-Apr-25,EQ,821.15,835.50,814.00,816.70,821.30,822.40,827.32,912.00,680.00,25117557.00,20780349179.95,323370.00,Sbin
21-Apr-25,EQ,803.00,824.35,801.40,797.45,817.20,816.70,817.02,912.00,680.00,16398507.00,13397975541.00,359684.00,Sbin
17-Apr-25,EQ,772.00,801.00,767.15,771.75,793.85,797.45,787.54,912.00,680.00,27034818.00,21290993764.10,335841.00,Sbin
16-Apr-25,EQ,763.50,774.75,760.50,763.50,772.15,771.75,769.27,912.00,680.00,12536694.00,9644113410.45,204698.00,Sbin
15-Apr-25,EQ,770.00,770.70,757.10,753.85,764.50,763.50,765.37,912.00,680.00,7859090.00,6015134839.80,167851.00,Sbin
11-Apr-25,EQ,759.00,759.70,746.00,742.20,753.85,753.85,752.58,912.00,680.00,9360327.00,7044429057.55,200062.00,Sbin
09-Apr-25,EQ,767.00,767.95,741.00,768.60,742.45,742.20,751.33,912.00,680.00,11319387.00,8504647288.25,208433.00,Sbin
08-Apr-25,EQ,760.00,774.00,758.15,746.90,770.00,768.60,767.45,912.00,680.00,12911288.00,9908728355.80,212013.00,Sbin
07-Apr-25,EQ,730.00,753.70,730.00,767.45,749.00,746.90,742.21,912.00,680.00,14923235.00,11076177328.65,291536.00,Sbin
