Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,674.00,674.80,660.05,674.80,666.30,665.50,665.52,3652.25,493.35,5415727.00,3604281094.50,94920.00,ShriRamFin
15-May-25,EQ,654.80,679.95,644.15,651.95,674.00,674.80,667.67,3652.25,493.35,9817422.00,6554827178.80,191235.00,ShriRamFin
14-May-25,EQ,639.50,655.30,637.60,633.60,651.00,651.95,649.59,3652.25,493.35,9324793.00,6057317063.75,132383.00,ShriRamFin
13-May-25,EQ,641.60,647.80,631.95,645.95,633.30,633.60,638.64,3652.25,493.35,5748439.00,3671155665.10,108889.00,ShriRamFin
12-May-25,EQ,611.05,648.00,611.00,601.45,644.50,645.95,639.04,3652.25,493.35,9560644.00,6109638029.05,151295.00,ShriRamFin
09-May-25,EQ,600.00,612.35,596.65,615.80,603.00,601.45,602.33,3652.25,493.35,5637324.00,3395502595.35,150680.00,ShriRamFin
08-May-25,EQ,635.00,640.80,607.00,636.65,608.10,615.80,622.99,3652.25,493.35,10052396.00,6262493313.60,173406.00,ShriRamFin
07-May-25,EQ,618.20,638.00,617.25,623.45,635.00,636.65,631.58,3652.25,493.35,5983998.00,3779355569.95,93820.00,ShriRamFin
06-May-25,EQ,628.80,631.85,617.05,628.85,621.20,623.45,622.87,3652.25,493.35,5098276.00,3175582044.40,92181.00,ShriRamFin
05-May-25,EQ,610.15,630.90,607.20,604.20,629.80,628.85,623.26,3652.25,493.35,8616953.00,5370638812.30,109570.00,ShriRamFin
02-May-25,EQ,611.70,616.30,599.50,611.70,603.50,604.20,606.19,3652.25,493.35,9193181.00,5572853488.75,148407.00,ShriRamFin
30-Apr-25,EQ,614.70,621.80,606.50,614.70,609.00,611.70,613.00,3652.25,493.35,7374108.00,4520305454.15,157474.00,ShriRamFin
29-Apr-25,EQ,625.00,630.80,610.20,622.00,612.95,614.70,617.17,3652.25,493.35,10387632.00,6410942888.15,161036.00,ShriRamFin
28-Apr-25,EQ,622.70,630.40,596.15,655.20,621.60,622.00,615.75,3652.25,493.35,32221482.00,19840514939.75,413827.00,ShriRamFin
25-Apr-25,EQ,698.90,705.60,635.00,696.65,640.00,655.20,671.32,3652.25,493.35,9784886.00,6568780058.40,179191.00,ShriRamFin
24-Apr-25,EQ,704.00,705.50,694.50,703.90,698.90,696.65,697.91,3652.25,493.35,5010172.00,3496643929.80,101839.00,ShriRamFin
23-Apr-25,EQ,709.50,713.80,685.90,703.50,702.00,703.90,699.72,3652.25,493.35,5442424.00,3808168227.10,122277.00,ShriRamFin
22-Apr-25,EQ,703.00,709.95,700.00,703.00,700.05,703.50,704.21,3652.25,493.35,3672514.00,2586218186.00,113274.00,ShriRamFin
21-Apr-25,EQ,698.75,717.50,690.50,691.75,703.00,703.00,704.28,3652.25,493.35,6740583.00,4747279690.15,141245.00,ShriRamFin
17-Apr-25,EQ,677.00,695.65,668.55,676.05,690.00,691.75,684.33,3652.25,493.35,5771289.00,3949453966.80,115239.00,ShriRamFin
16-Apr-25,EQ,672.65,678.00,662.45,672.00,675.00,676.05,671.73,3652.25,493.35,6571065.00,4413998841.70,118485.00,ShriRamFin
15-Apr-25,EQ,651.95,674.55,649.15,638.80,671.85,672.00,666.92,3652.25,493.35,6085948.00,4058851135.45,128907.00,ShriRamFin
11-Apr-25,EQ,627.00,648.65,627.00,624.55,637.50,638.80,640.21,3652.25,493.35,7102851.00,4547300551.25,114415.00,ShriRamFin
09-Apr-25,EQ,647.95,647.95,619.00,641.45,624.75,624.55,628.72,3652.25,493.35,9235529.00,5806556164.05,208861.00,ShriRamFin
08-Apr-25,EQ,623.70,648.30,623.05,614.00,646.00,641.45,640.81,3652.25,493.35,10415072.00,6674043365.60,181964.00,ShriRamFin
07-Apr-25,EQ,596.00,629.95,589.25,653.60,619.00,614.00,606.80,3652.25,493.35,15188995.00,9216738996.50,243610.00,ShriRamFin
04-Apr-25,EQ,655.50,665.00,649.50,654.15,652.70,653.60,655.91,3652.25,493.35,5191619.00,3405258029.60,111836.00,ShriRamFin
03-Apr-25,EQ,633.00,660.55,632.00,639.40,654.10,654.15,652.54,3652.25,493.35,3704676.00,2417465665.20,90494.00,ShriRamFin
02-Apr-25,EQ,640.00,644.00,630.50,637.45,640.25,639.40,637.02,3652.25,493.35,4387926.00,2795200093.20,78176.00,ShriRamFin
01-Apr-25,EQ,652.00,653.90,633.90,656.00,637.85,637.45,642.00,3652.25,493.35,7600903.00,4879785379.90,137524.00,ShriRamFin
28-Mar-25,EQ,682.00,685.00,650.15,678.50,656.25,656.00,660.33,3652.25,493.35,6806264.00,4494368122.65,143261.00,ShriRamFin
27-Mar-25,EQ,670.00,684.40,666.20,672.00,682.60,678.50,677.63,3652.25,493.35,4628163.00,3136168851.20,118330.00,ShriRamFin
26-Mar-25,EQ,678.80,680.90,669.25,678.35,673.45,672.00,674.99,3652.25,493.35,4792266.00,3234740119.60,109222.00,ShriRamFin
25-Mar-25,EQ,688.00,688.00,667.70,682.00,674.50,678.35,674.78,3652.25,493.35,5257157.00,3547444657.90,103521.00,ShriRamFin
24-Mar-25,EQ,677.00,694.90,674.00,676.80,680.60,682.00,684.86,3652.25,493.35,4983671.00,3413109009.55,114504.00,ShriRamFin
21-Mar-25,EQ,669.05,679.00,667.65,667.90,676.10,676.80,673.46,3652.25,493.35,6365496.00,4286906674.65,100233.00,ShriRamFin
20-Mar-25,EQ,690.00,695.00,665.00,667.95,666.30,667.90,672.41,3652.25,493.35,8747482.00,5881867755.10,174271.00,ShriRamFin
19-Mar-25,EQ,645.70,677.60,637.65,642.30,667.40,667.95,664.55,3652.25,493.35,9823834.00,6528429055.70,146566.00,ShriRamFin
18-Mar-25,EQ,630.00,645.70,626.05,623.25,641.95,642.30,638.96,3652.25,493.35,6915463.00,4418698342.45,107477.00,ShriRamFin
17-Mar-25,EQ,613.40,629.50,613.40,619.55,624.00,623.25,622.04,3652.25,493.35,4548325.00,2829222559.35,87310.00,ShriRamFin
13-Mar-25,EQ,638.00,644.00,617.50,636.95,620.00,619.55,623.68,3652.25,493.35,5273706.00,3289124850.85,111278.00,ShriRamFin
12-Mar-25,EQ,639.00,647.25,629.10,638.25,636.25,636.95,637.56,3652.25,493.35,5378060.00,3428820960.90,96621.00,ShriRamFin
11-Mar-25,EQ,624.20,640.00,615.55,625.60,639.10,638.25,629.74,3652.25,493.35,6734891.00,4241250220.75,111211.00,ShriRamFin
10-Mar-25,EQ,631.55,641.50,622.85,630.85,625.00,625.60,630.22,3652.25,493.35,4906168.00,3091985619.25,137154.00,ShriRamFin
07-Mar-25,EQ,644.35,647.65,627.45,644.35,631.00,630.85,634.01,3652.25,493.35,5829062.00,3695701726.00,125152.00,ShriRamFin
06-Mar-25,EQ,638.80,650.80,637.00,631.30,644.00,644.35,643.71,3652.25,493.35,8075827.00,5198480820.75,196836.00,ShriRamFin
05-Mar-25,EQ,626.60,637.50,621.50,632.90,632.00,631.30,631.30,3652.25,493.35,9532495.00,6017891478.10,134593.00,ShriRamFin
04-Mar-25,EQ,618.60,635.40,613.40,621.30,633.90,632.90,626.68,3652.25,493.35,5369562.00,3364970815.15,98602.00,ShriRamFin
03-Mar-25,EQ,625.30,630.00,614.90,617.30,622.25,621.30,622.10,3652.25,493.35,10284029.00,6397712409.20,175679.00,ShriRamFin
28-Feb-25,EQ,609.95,620.00,602.25,606.80,619.00,617.30,613.76,3652.25,493.35,23771834.00,14590258367.50,297239.00,ShriRamFin
27-Feb-25,EQ,581.30,608.80,580.30,574.25,604.00,606.80,601.56,3652.25,493.35,17099035.00,10286152598.60,346226.00,ShriRamFin
25-Feb-25,EQ,581.80,586.75,571.50,577.20,575.20,574.25,577.74,3652.25,493.35,6222936.00,3595257614.75,140745.00,ShriRamFin
24-Feb-25,EQ,576.00,581.75,568.80,585.10,577.65,577.20,576.98,3652.25,493.35,4523171.00,2609781488.75,81729.00,ShriRamFin
21-Feb-25,EQ,580.85,594.70,576.70,580.85,581.50,585.10,585.98,3652.25,493.35,9328402.00,5466226677.90,176766.00,ShriRamFin
20-Feb-25,EQ,557.00,582.25,557.00,557.80,580.10,580.85,573.61,3652.25,493.35,7590778.00,4354182749.85,129766.00,ShriRamFin
19-Feb-25,EQ,547.80,559.75,546.50,553.35,556.50,557.80,556.00,3652.25,493.35,4066886.00,2261185745.00,84793.00,ShriRamFin
18-Feb-25,EQ,550.95,554.45,539.10,550.35,551.50,553.35,548.05,3652.25,493.35,2988732.00,1637988593.85,69873.00,ShriRamFin
17-Feb-25,EQ,537.00,553.00,525.10,539.15,550.45,550.35,543.52,3652.25,493.35,4397756.00,2390246514.65,166392.00,ShriRamFin
14-Feb-25,EQ,550.95,554.95,526.80,548.65,536.55,539.15,538.69,3652.25,493.35,6763071.00,3643165937.30,131417.00,ShriRamFin
13-Feb-25,EQ,547.00,560.25,538.00,547.15,548.00,548.65,551.63,3652.25,493.35,5723009.00,3156972663.05,145840.00,ShriRamFin
12-Feb-25,EQ,538.55,551.50,527.00,538.55,548.60,547.15,540.55,3652.25,493.35,5467745.00,2955587925.35,120776.00,ShriRamFin
11-Feb-25,EQ,566.00,566.00,534.00,560.80,535.50,538.55,543.79,3652.25,493.35,6416783.00,3489352706.05,118718.00,ShriRamFin
