Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1740.00,1741.60,1719.00,1740.10,1730.00,1734.90,1732.12,1960.35,1377.20,1448249.00,2508537705.60,92593.00,SunPharma
15-May-25,EQ,1701.10,1744.40,1684.10,1708.20,1738.30,1740.10,1720.52,1960.35,1377.20,3880385.00,6676283657.40,146890.00,SunPharma
14-May-25,EQ,1702.00,1711.40,1692.10,1700.00,1710.20,1708.20,1703.41,1960.35,1377.20,1639324.00,2792449090.10,82274.00,SunPharma
13-May-25,EQ,1711.00,1748.50,1691.30,1686.20,1702.20,1700.00,1706.46,1960.35,1377.20,6988329.00,11925308735.00,258135.00,SunPharma
12-May-25,EQ,1695.70,1712.40,1623.60,1744.80,1689.90,1686.20,1672.49,1960.35,1377.20,9221075.00,15422117345.50,278210.00,SunPharma
09-May-25,EQ,1751.90,1766.30,1731.70,1767.20,1748.00,1744.80,1744.80,1960.35,1377.20,1148956.00,2004699070.20,72955.00,SunPharma
08-May-25,EQ,1781.30,1788.90,1755.00,1781.30,1755.00,1767.20,1770.18,1960.35,1377.20,2647871.00,4687205153.60,113625.00,SunPharma
07-May-25,EQ,1817.90,1826.40,1778.70,1819.10,1780.90,1781.30,1790.26,1960.35,1377.20,2015237.00,3607804178.10,80343.00,SunPharma
06-May-25,EQ,1820.00,1827.90,1799.00,1836.60,1819.00,1819.10,1816.93,1960.35,1377.20,1414772.00,2570545159.60,61418.00,SunPharma
05-May-25,EQ,1827.80,1843.30,1821.40,1829.40,1834.20,1836.60,1835.35,1960.35,1377.20,1219830.00,2238816267.90,65058.00,SunPharma
02-May-25,EQ,1832.30,1851.20,1813.80,1832.30,1825.00,1829.40,1830.45,1960.35,1377.20,2310897.00,4229982097.00,101579.00,SunPharma
30-Apr-25,EQ,1810.00,1838.90,1803.30,1805.50,1821.60,1832.30,1830.15,1960.35,1377.20,2667314.00,4881571584.90,99419.00,SunPharma
29-Apr-25,EQ,1845.00,1846.00,1797.00,1841.60,1800.20,1805.50,1816.34,1960.35,1377.20,2886160.00,5242246980.60,125295.00,SunPharma
28-Apr-25,EQ,1787.40,1846.00,1781.20,1787.40,1842.20,1841.60,1830.08,1960.35,1377.20,3216482.00,5886425863.20,114701.00,SunPharma
25-Apr-25,EQ,1806.00,1815.50,1764.20,1803.90,1781.80,1787.40,1786.91,1960.35,1377.20,2036801.00,3639571164.30,88999.00,SunPharma
24-Apr-25,EQ,1790.00,1807.90,1773.90,1788.80,1806.90,1803.90,1795.82,1960.35,1377.20,2101177.00,3773326510.10,82971.00,SunPharma
23-Apr-25,EQ,1754.20,1791.30,1742.10,1747.40,1785.20,1788.80,1775.91,1960.35,1377.20,1471029.00,2612409586.10,60572.00,SunPharma
22-Apr-25,EQ,1751.00,1755.00,1734.50,1744.90,1748.40,1747.40,1744.40,1960.35,1377.20,961907.00,1677953862.90,51087.00,SunPharma
21-Apr-25,EQ,1761.00,1761.00,1731.30,1751.50,1746.40,1744.90,1744.70,1960.35,1377.20,1539511.00,2685983207.90,68239.00,SunPharma
17-Apr-25,EQ,1695.00,1758.00,1687.40,1693.10,1757.00,1751.50,1733.13,1960.35,1377.20,2683908.00,4651566818.30,115404.00,SunPharma
16-Apr-25,EQ,1691.10,1702.70,1682.10,1705.00,1691.00,1693.10,1689.80,1960.35,1377.20,2205374.00,3726635637.50,106358.00,SunPharma
15-Apr-25,EQ,1720.00,1724.50,1696.80,1687.55,1705.20,1705.00,1707.12,1960.35,1377.20,1993085.00,3402432599.20,82756.00,SunPharma
11-Apr-25,EQ,1710.00,1737.00,1682.10,1652.20,1687.90,1687.55,1698.06,1960.35,1377.20,3801939.00,6455920619.90,244225.00,SunPharma
09-Apr-25,EQ,1650.00,1679.75,1640.00,1688.35,1651.75,1652.20,1664.27,1960.35,1377.20,3481864.00,5794751799.85,152924.00,SunPharma
08-Apr-25,EQ,1645.00,1709.85,1645.00,1666.35,1691.00,1688.35,1686.60,1960.35,1377.20,2807382.00,4734939348.00,115400.00,SunPharma
07-Apr-25,EQ,1620.10,1692.00,1620.10,1709.35,1677.10,1666.35,1658.96,1960.35,1377.20,5715334.00,9481503895.75,221015.00,SunPharma
04-Apr-25,EQ,1778.85,1778.85,1658.05,1770.00,1705.00,1709.35,1703.68,1960.35,1377.20,5345276.00,9106654027.50,228975.00,SunPharma
03-Apr-25,EQ,1755.00,1812.70,1750.00,1713.65,1772.00,1770.00,1784.75,1960.35,1377.20,5715573.00,10200882418.55,228089.00,SunPharma
02-Apr-25,EQ,1695.00,1718.45,1685.90,1698.35,1713.95,1713.65,1708.74,1960.35,1377.20,3369489.00,5757593865.60,109070.00,SunPharma
01-Apr-25,EQ,1731.00,1733.95,1681.60,1734.70,1698.30,1698.35,1703.36,1960.35,1377.20,4142445.00,7056055656.00,177054.00,SunPharma
28-Mar-25,EQ,1731.45,1741.35,1705.20,1731.45,1733.95,1734.70,1725.59,1960.35,1377.20,1956781.00,3376611044.05,81975.00,SunPharma
27-Mar-25,EQ,1751.00,1752.30,1720.00,1758.95,1734.35,1731.45,1728.71,1960.35,1377.20,3279881.00,5669974285.25,137932.00,SunPharma
26-Mar-25,EQ,1767.95,1770.80,1746.10,1764.75,1750.05,1758.95,1756.72,1960.35,1377.20,1762361.00,3095978071.15,94260.00,SunPharma
25-Mar-25,EQ,1784.80,1795.95,1758.50,1784.80,1761.00,1764.75,1770.77,1960.35,1377.20,1471028.00,2604852598.05,86803.00,SunPharma
24-Mar-25,EQ,1794.50,1820.00,1777.60,1784.50,1784.00,1784.80,1789.04,1960.35,1377.20,1182084.00,2114791320.70,73428.00,SunPharma
21-Mar-25,EQ,1759.00,1792.80,1750.25,1750.25,1790.00,1784.50,1780.49,1960.35,1377.20,2483162.00,4421247417.40,91718.00,SunPharma
20-Mar-25,EQ,1735.65,1757.15,1722.90,1732.35,1754.00,1750.25,1747.27,1960.35,1377.20,1602232.00,2799535658.85,90275.00,SunPharma
19-Mar-25,EQ,1747.80,1748.00,1726.30,1747.80,1732.65,1732.35,1732.84,1960.35,1377.20,2167448.00,3755838761.65,104318.00,SunPharma
18-Mar-25,EQ,1714.35,1752.00,1700.00,1704.30,1748.75,1747.80,1732.94,1960.35,1377.20,2730980.00,4732619646.40,92703.00,SunPharma
17-Mar-25,EQ,1694.05,1720.15,1688.35,1683.45,1703.90,1704.30,1707.41,1960.35,1377.20,2588408.00,4419482127.25,126527.00,SunPharma
13-Mar-25,EQ,1672.00,1687.15,1663.45,1676.85,1679.85,1683.45,1680.12,1960.35,1377.20,1666929.00,2800636698.70,99956.00,SunPharma
12-Mar-25,EQ,1662.00,1680.25,1658.05,1655.30,1675.00,1676.85,1671.60,1960.35,1377.20,2389362.00,3994065056.90,123342.00,SunPharma
11-Mar-25,EQ,1616.10,1663.60,1605.35,1611.50,1657.00,1655.30,1650.11,1960.35,1377.20,3325416.00,5487286322.75,118882.00,SunPharma
10-Mar-25,EQ,1621.95,1641.45,1602.75,1609.30,1610.00,1611.50,1613.27,1960.35,1377.20,1600589.00,2582183090.20,70049.00,SunPharma
07-Mar-25,EQ,1624.00,1628.75,1605.65,1614.00,1607.00,1609.30,1612.48,1960.35,1377.20,980890.00,1581669240.80,51154.00,SunPharma
06-Mar-25,EQ,1598.25,1617.90,1572.55,1582.45,1615.00,1614.00,1602.53,1960.35,1377.20,2458676.00,3940112445.20,162041.00,SunPharma
05-Mar-25,EQ,1564.60,1586.30,1553.05,1566.50,1575.40,1582.45,1575.69,1960.35,1377.20,2428171.00,3826047128.55,146455.00,SunPharma
04-Mar-25,EQ,1585.00,1590.00,1556.00,1585.10,1565.00,1566.50,1565.41,1960.35,1377.20,1717135.00,2688025381.15,97950.00,SunPharma
03-Mar-25,EQ,1585.30,1607.40,1582.20,1593.25,1584.00,1585.10,1593.32,1960.35,1377.20,1425492.00,2271267747.65,115852.00,SunPharma
28-Feb-25,EQ,1671.00,1671.00,1586.40,1647.50,1590.00,1593.25,1609.13,1960.35,1377.20,3549979.00,5712376639.65,121234.00,SunPharma
27-Feb-25,EQ,1628.95,1653.10,1605.05,1613.60,1642.00,1647.50,1630.63,1960.35,1377.20,2744489.00,4475233087.80,175577.00,SunPharma
25-Feb-25,EQ,1639.50,1647.80,1606.25,1639.50,1611.55,1613.60,1617.00,1960.35,1377.20,2836717.00,4586961004.80,170963.00,SunPharma
24-Feb-25,EQ,1629.75,1669.90,1627.05,1643.75,1636.85,1639.50,1644.99,1960.35,1377.20,2357441.00,3877964629.85,156933.00,SunPharma
21-Feb-25,EQ,1678.05,1684.40,1632.00,1669.30,1638.00,1643.75,1648.03,1960.35,1377.20,2244190.00,3698485746.15,94096.00,SunPharma
20-Feb-25,EQ,1667.15,1677.95,1663.00,1676.60,1671.00,1669.30,1669.12,1960.35,1377.20,1670915.00,2788958521.70,68447.00,SunPharma
19-Feb-25,EQ,1665.10,1699.00,1647.10,1701.60,1677.65,1676.60,1679.62,1960.35,1377.20,2576319.00,4327233254.05,115915.00,SunPharma
18-Feb-25,EQ,1714.20,1729.75,1698.40,1714.20,1699.95,1701.60,1707.63,1960.35,1377.20,2163972.00,3695261421.80,92879.00,SunPharma
17-Feb-25,EQ,1700.50,1735.35,1696.05,1700.50,1711.15,1714.20,1716.94,1960.35,1377.20,2277889.00,3911008495.50,139350.00,SunPharma
14-Feb-25,EQ,1747.35,1748.95,1685.00,1746.35,1702.00,1700.50,1703.77,1960.35,1377.20,2123774.00,3618414927.40,112475.00,SunPharma
13-Feb-25,EQ,1700.00,1752.75,1699.95,1693.85,1745.00,1746.35,1737.56,1960.35,1377.20,2750390.00,4778976918.30,166093.00,SunPharma
12-Feb-25,EQ,1706.45,1714.95,1688.05,1699.75,1690.05,1693.85,1699.34,1960.35,1377.20,1757284.00,2986214898.00,115784.00,SunPharma
11-Feb-25,EQ,1725.20,1734.20,1695.05,1732.10,1701.60,1699.75,1707.99,1960.35,1377.20,2779274.00,4746976667.10,125678.00,SunPharma
10-Feb-25,EQ,1741.25,1750.00,1723.70,1749.80,1733.85,1732.10,1731.73,1960.35,1377.20,1237839.00,2143607797.05,74098.00,SunPharma
07-Feb-25,EQ,1751.40,1753.00,1727.30,1742.00,1745.90,1749.80,1742.41,1960.35,1377.20,1371545.00,2389795845.35,112551.00,SunPharma
06-Feb-25,EQ,1753.00,1768.35,1736.30,1752.75,1747.00,1742.00,1745.04,1960.35,1377.20,3421791.00,5971158801.35,135591.00,SunPharma
05-Feb-25,EQ,1773.80,1773.80,1735.20,1765.25,1753.00,1752.75,1750.73,1960.35,1377.20,1787905.00,3130138575.90,135779.00,SunPharma
04-Feb-25,EQ,1749.30,1776.25,1740.65,1740.60,1759.35,1765.25,1761.59,1960.35,1377.20,2796294.00,4925933170.50,137826.00,SunPharma
03-Feb-25,EQ,1781.45,1785.90,1710.55,1742.20,1737.85,1740.60,1740.56,1960.35,1377.20,2210231.00,3847031992.20,109211.00,SunPharma
01-Feb-25,EQ,1740.00,1789.00,1733.30,1743.95,1747.15,1742.20,1761.16,1960.35,1355.20,1477972.00,2602940220.00,63080.00,SunPharma
