Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,730.00,742.00,725.55,728.10,731.10,730.70,733.15,1179.00,535.75,20631512.00,15126018409.45,301374.00,TataMotors
15-May-25,EQ,698.75,729.80,696.15,698.95,729.00,728.10,718.09,1179.00,535.75,28634074.00,20561802513.75,368702.00,TataMotors
14-May-25,EQ,690.00,708.00,686.00,707.70,700.20,698.95,696.53,1179.00,535.75,31505402.00,21944572654.50,529955.00,TataMotors
13-May-25,EQ,720.80,726.00,703.25,720.80,708.30,707.70,713.29,1179.00,535.75,16125700.00,11502345598.95,268737.00,TataMotors
12-May-25,EQ,728.00,732.00,711.20,708.50,719.70,720.80,720.11,1179.00,535.75,20133616.00,14498371601.20,261307.00,TataMotors
09-May-25,EQ,667.50,711.00,666.00,682.85,709.00,708.50,701.30,1179.00,535.75,40183276.00,28180598035.45,523258.00,TataMotors
08-May-25,EQ,700.00,704.50,677.20,680.30,680.40,682.85,692.28,1179.00,535.75,29315465.00,20294654093.00,366175.00,TataMotors
07-May-25,EQ,642.00,682.50,641.15,648.20,681.80,680.30,673.57,1179.00,535.75,30390515.00,20470218684.45,366513.00,TataMotors
06-May-25,EQ,661.55,663.20,645.50,661.55,647.55,648.20,651.87,1179.00,535.75,12718175.00,8290542879.90,235348.00,TataMotors
05-May-25,EQ,662.95,666.65,655.85,652.00,662.20,661.55,660.93,1179.00,535.75,8868484.00,5861408259.15,159988.00,TataMotors
02-May-25,EQ,641.00,661.35,635.55,644.25,652.00,652.00,652.71,1179.00,535.75,13141726.00,8577731081.10,244150.00,TataMotors
30-Apr-25,EQ,667.00,667.00,641.10,665.60,643.50,644.25,645.61,1179.00,535.75,19485917.00,12580241417.75,311644.00,TataMotors
29-Apr-25,EQ,671.45,682.90,661.60,668.15,667.30,665.60,671.09,1179.00,535.75,13754685.00,9230585639.05,224042.00,TataMotors
28-Apr-25,EQ,654.30,669.60,652.55,655.25,668.00,668.15,663.81,1179.00,535.75,10243493.00,6799752587.90,168942.00,TataMotors
25-Apr-25,EQ,668.35,673.00,651.50,668.35,654.15,655.25,658.76,1179.00,535.75,13207043.00,8700324111.35,221114.00,TataMotors
24-Apr-25,EQ,660.10,671.00,660.10,659.90,667.90,668.35,666.02,1179.00,535.75,15172229.00,10104977369.05,196582.00,TataMotors
23-Apr-25,EQ,635.95,661.50,633.35,630.85,658.85,659.90,650.02,1179.00,535.75,23390570.00,15204311238.95,321330.00,TataMotors
22-Apr-25,EQ,630.25,633.95,626.20,630.05,630.50,630.85,631.00,1179.00,535.75,10292748.00,6494713243.90,190303.00,TataMotors
21-Apr-25,EQ,624.60,635.75,620.20,621.55,630.25,630.05,628.12,1179.00,535.75,12785568.00,8030883889.15,216143.00,TataMotors
17-Apr-25,EQ,616.05,627.00,608.25,616.05,621.00,621.55,619.39,1179.00,535.75,14342652.00,8883711331.85,238642.00,TataMotors
16-Apr-25,EQ,625.00,625.00,613.60,622.20,616.10,616.05,616.73,1179.00,535.75,12318376.00,7597130469.75,239397.00,TataMotors
15-Apr-25,EQ,614.00,628.30,612.65,595.05,622.50,622.20,622.54,1179.00,535.75,19722072.00,12277750909.25,270996.00,TataMotors
11-Apr-25,EQ,610.00,612.80,591.00,582.90,596.00,595.05,600.68,1179.00,535.75,21055814.00,12647785093.45,329700.00,TataMotors
09-Apr-25,EQ,588.00,594.90,581.05,588.85,584.50,582.90,587.49,1179.00,535.75,17483412.00,10271259845.30,250692.00,TataMotors
08-Apr-25,EQ,591.20,606.60,584.20,579.75,589.90,588.85,591.36,1179.00,535.75,20987855.00,12411469508.00,348681.00,TataMotors
07-Apr-25,EQ,560.50,582.00,535.75,613.85,581.10,579.75,563.16,1179.00,535.75,49463598.00,27855984564.10,835816.00,TataMotors
04-Apr-25,EQ,650.00,650.00,610.00,653.95,615.10,613.85,619.96,1179.00,606.30,26621179.00,16504136462.55,591360.00,TataMotors
03-Apr-25,EQ,660.00,669.00,652.50,671.90,655.55,653.95,659.08,1179.00,606.30,13473832.00,8880357349.10,295801.00,TataMotors
02-Apr-25,EQ,674.95,675.35,662.10,671.85,672.20,671.90,669.75,1179.00,606.30,8025225.00,5374877123.65,134666.00,TataMotors
01-Apr-25,EQ,670.55,681.85,665.75,674.45,672.00,671.85,673.59,1179.00,606.30,9594669.00,6462904983.25,205820.00,TataMotors
28-Mar-25,EQ,671.85,684.95,669.30,668.55,673.25,674.45,675.72,1179.00,606.30,16013687.00,10820726221.00,223287.00,TataMotors
27-Mar-25,EQ,668.00,676.60,661.10,708.25,669.50,668.55,669.35,1179.00,606.30,34238666.00,22917566817.20,678323.00,TataMotors
26-Mar-25,EQ,710.30,717.85,707.00,710.30,707.40,708.25,711.37,1179.00,606.30,9363180.00,6660701025.15,162046.00,TataMotors
25-Mar-25,EQ,719.00,723.05,706.35,713.50,707.50,710.30,714.13,1179.00,606.30,13617465.00,9724634714.55,276282.00,TataMotors
24-Mar-25,EQ,710.00,717.50,702.05,702.95,713.90,713.50,710.33,1179.00,606.30,11671359.00,8290546939.85,234530.00,TataMotors
21-Mar-25,EQ,693.00,705.00,688.55,690.05,702.50,702.95,699.90,1179.00,606.30,14823483.00,10374932720.55,178336.00,TataMotors
20-Mar-25,EQ,685.00,692.70,679.00,682.25,689.50,690.05,686.79,1179.00,606.30,9712600.00,6670491465.70,166825.00,TataMotors
19-Mar-25,EQ,685.40,685.75,678.55,680.05,681.05,682.25,681.69,1179.00,606.30,9338414.00,6365882253.00,181525.00,TataMotors
18-Mar-25,EQ,665.00,681.70,663.90,661.05,678.80,680.05,674.98,1179.00,606.30,11236084.00,7584098238.35,201406.00,TataMotors
17-Mar-25,EQ,665.05,666.45,657.45,655.50,660.10,661.05,661.92,1179.00,606.30,9174408.00,6072711007.95,180213.00,TataMotors
