Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,157.35,158.15,157.00,157.35,157.40,157.55,157.53,184.60,122.62,22884754.00,3604983002.25,162033.00,TataSteel
15-May-25,EQ,155.50,157.84,154.30,155.31,157.19,157.35,156.79,184.60,122.62,57066105.00,8947211738.95,273956.00,TataSteel
14-May-25,EQ,151.00,157.15,151.00,149.43,155.30,155.31,155.49,184.60,122.62,60002060.00,9330007517.78,290806.00,TataSteel
13-May-25,EQ,152.00,152.99,149.01,151.63,149.60,149.43,150.33,184.60,122.62,54389876.00,8176431830.42,266505.00,TataSteel
12-May-25,EQ,145.61,151.95,144.50,142.78,150.95,151.63,149.79,184.60,122.62,47087413.00,7053342672.26,233295.00,TataSteel
09-May-25,EQ,140.99,143.27,140.51,143.67,142.80,142.78,142.22,184.60,122.62,21875453.00,3111085069.45,145961.00,TataSteel
08-May-25,EQ,146.00,146.66,142.85,146.00,143.28,143.67,144.24,184.60,122.62,29687927.00,4282262715.18,154433.00,TataSteel
07-May-25,EQ,142.20,146.95,142.20,144.44,145.70,146.00,145.11,184.60,122.62,34674594.00,5031739767.38,192575.00,TataSteel
06-May-25,EQ,142.08,145.40,141.54,142.08,144.03,144.44,143.99,184.60,122.62,42658262.00,6142362668.10,230798.00,TataSteel
05-May-25,EQ,141.57,142.70,141.20,141.18,142.10,142.08,142.08,184.60,122.62,17213477.00,2445679467.61,110720.00,TataSteel
02-May-25,EQ,140.00,143.10,139.45,140.08,141.01,141.18,141.52,184.60,122.62,34852288.00,4932373274.49,213141.00,TataSteel
30-Apr-25,EQ,141.45,141.56,138.00,141.50,139.56,140.08,140.63,184.60,122.62,29205042.00,4107241617.98,149767.00,TataSteel
29-Apr-25,EQ,142.07,143.30,140.92,142.07,141.56,141.50,141.93,184.60,122.62,25758449.00,3655994014.18,162820.00,TataSteel
28-Apr-25,EQ,138.54,142.60,138.38,138.85,141.99,142.07,141.25,184.60,122.62,26971589.00,3809614109.69,160043.00,TataSteel
25-Apr-25,EQ,142.00,143.45,138.02,141.52,138.54,138.85,139.96,184.60,122.62,37764696.00,5285618336.86,198899.00,TataSteel
24-Apr-25,EQ,140.70,141.88,140.28,141.16,141.44,141.52,141.36,184.60,122.62,23061444.00,3260000657.11,126453.00,TataSteel
23-Apr-25,EQ,139.39,141.50,137.32,138.16,140.70,141.16,139.59,184.60,122.62,37851304.00,5283498279.14,200342.00,TataSteel
22-Apr-25,EQ,142.00,142.84,137.70,139.18,137.97,138.16,139.74,184.60,122.62,58429662.00,8165164937.32,230625.00,TataSteel
21-Apr-25,EQ,137.65,140.30,137.05,137.14,139.50,139.18,139.08,184.60,122.62,26503486.00,3686212972.38,207964.00,TataSteel
17-Apr-25,EQ,134.40,137.96,133.70,136.97,137.24,137.14,135.99,184.60,122.62,62282856.00,8470143514.15,362747.00,TataSteel
16-Apr-25,EQ,136.41,137.60,134.62,136.41,137.10,136.97,135.86,184.60,122.62,42684087.00,5799167230.47,196883.00,TataSteel
15-Apr-25,EQ,135.60,137.00,134.84,133.42,136.70,136.41,135.97,184.60,122.62,38967608.00,5298486163.86,236436.00,TataSteel
11-Apr-25,EQ,134.67,134.70,130.49,127.18,133.47,133.42,133.00,184.60,122.62,73706472.00,9803073537.58,349444.00,TataSteel
09-Apr-25,EQ,130.00,130.00,125.30,130.28,127.35,127.18,127.06,184.60,122.62,73399980.00,9326218503.85,426871.00,TataSteel
08-Apr-25,EQ,134.89,136.20,128.02,129.48,130.05,130.28,131.06,184.60,122.62,68999181.00,9043262229.44,360513.00,TataSteel
07-Apr-25,EQ,128.00,130.35,125.33,140.39,130.20,129.48,127.62,184.60,122.62,121806340.00,15544431644.89,607208.00,TataSteel
04-Apr-25,EQ,152.62,152.99,140.00,153.62,140.67,140.39,143.35,184.60,122.62,80846143.00,11589598417.40,439854.00,TataSteel
03-Apr-25,EQ,153.00,155.97,152.60,154.69,153.85,153.62,154.44,184.60,122.62,15117526.00,2334771453.89,110552.00,TataSteel
02-Apr-25,EQ,154.00,156.25,152.27,153.12,154.84,154.69,154.35,184.60,122.62,24977582.00,3855206531.03,122844.00,TataSteel
01-Apr-25,EQ,152.07,155.34,152.07,154.24,153.25,153.12,153.41,184.60,122.62,29142122.00,4470769084.97,151632.00,TataSteel
28-Mar-25,EQ,155.38,156.91,153.37,155.42,153.98,154.24,154.50,184.60,122.62,24589315.00,3798935508.26,105656.00,TataSteel
27-Mar-25,EQ,154.80,156.10,154.20,155.81,155.36,155.42,155.47,184.60,122.62,25909068.00,4028014189.92,136794.00,TataSteel
26-Mar-25,EQ,156.20,157.54,155.01,156.73,155.07,155.81,156.44,184.60,122.62,23182869.00,3626732598.78,142138.00,TataSteel
25-Mar-25,EQ,159.00,159.00,156.05,158.42,156.27,156.73,157.22,184.60,122.62,28467187.00,4475745077.22,182282.00,TataSteel
24-Mar-25,EQ,158.00,159.00,157.11,157.28,158.29,158.42,158.42,184.60,122.62,30905773.00,4895984860.52,154989.00,TataSteel
21-Mar-25,EQ,159.03,159.75,156.82,159.04,157.08,157.28,157.96,184.60,122.62,49184821.00,7769239117.59,154615.00,TataSteel
20-Mar-25,EQ,160.00,160.10,156.65,158.60,159.03,159.04,158.64,184.60,122.62,39889517.00,6328046698.67,193466.00,TataSteel
19-Mar-25,EQ,156.80,159.20,156.50,154.66,158.54,158.60,158.11,184.60,122.62,66161413.00,10460845185.47,362436.00,TataSteel
18-Mar-25,EQ,153.00,154.83,152.22,151.81,154.60,154.66,153.68,184.60,122.62,38125586.00,5859164416.95,277281.00,TataSteel
17-Mar-25,EQ,151.99,152.64,150.90,150.88,152.01,151.81,151.74,184.60,122.62,35879781.00,5444435545.07,191938.00,TataSteel
13-Mar-25,EQ,152.00,153.56,150.02,150.30,150.70,150.88,151.47,184.60,122.62,48286431.00,7314085180.50,206875.00,TataSteel
12-Mar-25,EQ,151.00,152.28,147.70,150.75,150.28,150.30,149.75,184.60,122.62,26377549.00,3950005335.92,152112.00,TataSteel
11-Mar-25,EQ,148.10,151.70,148.00,151.05,150.83,150.75,150.56,184.60,122.62,35916900.00,5407720556.67,182888.00,TataSteel
10-Mar-25,EQ,151.56,154.24,150.41,151.56,150.65,151.05,152.25,184.60,122.62,54450331.00,8290275937.58,272383.00,TataSteel
07-Mar-25,EQ,149.74,152.45,149.27,150.44,151.50,151.56,151.57,184.60,122.62,81821791.00,12401572015.30,298325.00,TataSteel
