Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,3593.90,3593.90,3546.10,3579.90,3561.30,3561.30,3559.81,4592.25,3056.05,1666727.00,5933224873.80,117749.00,Tcs
15-May-25,EQ,3564.00,3600.00,3514.10,3548.70,3576.50,3579.90,3565.55,4592.25,3056.05,3548330.00,12651735793.00,172937.00,Tcs
14-May-25,EQ,3521.00,3561.00,3508.60,3515.00,3547.00,3548.70,3543.04,4592.25,3056.05,2119499.00,7509459955.30,136543.00,Tcs
13-May-25,EQ,3620.40,3623.00,3510.50,3620.40,3518.00,3515.00,3541.51,4592.25,3056.05,3062887.00,10847250162.20,221289.00,Tcs
12-May-25,EQ,3505.00,3630.50,3502.20,3440.30,3626.50,3620.40,3577.93,4592.25,3056.05,2228678.00,7974051782.10,146104.00,Tcs
09-May-25,EQ,3399.00,3446.20,3398.10,3448.90,3439.90,3440.30,3428.44,4592.25,3056.05,2531757.00,8679986664.60,151453.00,Tcs
08-May-25,EQ,3448.00,3477.00,3428.70,3445.10,3434.20,3448.90,3451.58,4592.25,3056.05,2543591.00,8779405820.40,116139.00,Tcs
07-May-25,EQ,3420.60,3459.50,3420.60,3460.00,3448.00,3445.10,3442.07,4592.25,3056.05,1477128.00,5084383270.50,89334.00,Tcs
06-May-25,EQ,3460.00,3473.00,3437.00,3454.30,3451.60,3460.00,3458.05,4592.25,3056.05,1324763.00,4581101196.30,65526.00,Tcs
05-May-25,EQ,3450.00,3504.50,3446.40,3444.70,3454.60,3454.30,3466.59,4592.25,3056.05,1284443.00,4452637028.70,96657.00,Tcs
02-May-25,EQ,3472.00,3491.50,3420.00,3453.70,3438.00,3444.70,3450.76,4592.25,3056.05,2115624.00,7300505304.30,124212.00,Tcs
30-Apr-25,EQ,3472.00,3509.90,3366.00,3472.50,3431.80,3453.70,3464.02,4592.25,3056.05,2809332.00,9731586389.30,129048.00,Tcs
29-Apr-25,EQ,3455.00,3495.00,3430.40,3443.50,3473.00,3472.50,3470.18,4592.25,3056.05,1578332.00,5477091995.80,95060.00,Tcs
28-Apr-25,EQ,3435.00,3457.80,3405.00,3448.00,3441.00,3443.50,3438.58,4592.25,3056.05,1593296.00,5478682188.50,94204.00,Tcs
25-Apr-25,EQ,3420.00,3477.80,3405.00,3401.60,3434.00,3448.00,3442.01,4592.25,3056.05,2742991.00,9441414787.60,151400.00,Tcs
24-Apr-25,EQ,3401.10,3412.50,3387.70,3413.00,3406.00,3401.60,3398.95,4592.25,3056.05,2252175.00,7655036870.70,158061.00,Tcs
23-Apr-25,EQ,3365.00,3420.90,3337.30,3314.40,3405.00,3413.00,3398.75,4592.25,3056.05,3543923.00,12044899557.30,164989.00,Tcs
22-Apr-25,EQ,3322.60,3333.90,3295.00,3321.60,3312.50,3314.40,3315.22,4592.25,3056.05,2710498.00,8985899446.70,151282.00,Tcs
21-Apr-25,EQ,3290.10,3354.00,3284.10,3298.90,3319.00,3321.60,3325.96,4592.25,3056.05,2432946.00,8091878392.80,127748.00,Tcs
17-Apr-25,EQ,3245.50,3303.60,3218.00,3273.80,3297.40,3298.90,3262.86,4592.25,3056.05,2932346.00,9567836127.70,183984.00,Tcs
16-Apr-25,EQ,3248.20,3278.10,3229.00,3248.20,3274.00,3273.80,3260.92,4592.25,3056.05,2384391.00,7775304840.90,131199.00,Tcs
15-Apr-25,EQ,3314.40,3314.40,3238.60,3231.50,3255.00,3248.20,3257.87,4592.25,3056.05,3512160.00,11442174035.70,166106.00,Tcs
11-Apr-25,EQ,3289.55,3298.95,3206.00,3246.60,3238.00,3231.50,3243.04,4592.25,3056.05,7108961.00,23054618625.45,354463.00,Tcs
