Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,1635.00,1635.90,1601.30,1629.10,1616.80,1617.00,1613.88,1807.70,1193.65,1159095.00,1870644782.50,86977.00,Techm
15-May-25,EQ,1606.00,1636.40,1600.20,1603.20,1628.00,1629.10,1622.99,1807.70,1193.65,2972408.00,4824177517.90,178333.00,Techm
14-May-25,EQ,1584.00,1609.40,1578.10,1572.50,1607.40,1603.20,1596.82,1807.70,1193.65,2354571.00,3759815795.30,104121.00,Techm
13-May-25,EQ,1600.30,1600.90,1565.10,1573.10,1573.20,1572.50,1578.18,1807.70,1193.65,3724272.00,5877573194.60,169200.00,Techm
12-May-25,EQ,1522.00,1576.50,1517.40,1493.70,1573.80,1573.10,1553.23,1807.70,1193.65,1891418.00,2937814204.60,67324.00,Techm
09-May-25,EQ,1480.00,1501.30,1478.10,1502.80,1495.60,1493.70,1492.92,1807.70,1193.65,923174.00,1378220605.70,65628.00,Techm
08-May-25,EQ,1500.90,1518.50,1488.00,1495.20,1495.00,1502.80,1504.59,1807.70,1193.65,2829448.00,4257161537.80,120610.00,Techm
07-May-25,EQ,1489.10,1504.90,1480.60,1496.20,1495.10,1495.20,1495.83,1807.70,1193.65,1272555.00,1903528316.10,92463.00,Techm
06-May-25,EQ,1496.90,1504.80,1486.10,1494.60,1491.00,1496.20,1494.54,1807.70,1193.65,1545773.00,2310214560.00,77791.00,Techm
05-May-25,EQ,1499.00,1506.50,1490.50,1496.30,1495.00,1494.60,1498.20,1807.70,1193.65,846022.00,1267508181.70,84085.00,Techm
02-May-25,EQ,1505.00,1519.00,1489.80,1503.00,1490.80,1496.30,1501.98,1807.70,1193.65,1986072.00,2983044983.00,124460.00,Techm
30-Apr-25,EQ,1495.30,1510.80,1490.00,1495.30,1498.00,1503.00,1501.26,1807.70,1193.65,1858465.00,2790041439.80,79655.00,Techm
29-Apr-25,EQ,1466.20,1504.90,1463.30,1461.50,1495.00,1495.30,1489.89,1807.70,1193.65,2652788.00,3952371573.20,129697.00,Techm
28-Apr-25,EQ,1469.30,1480.00,1437.00,1462.00,1461.00,1461.50,1456.55,1807.70,1193.65,2079431.00,3028800389.90,96087.00,Techm
25-Apr-25,EQ,1455.40,1473.90,1375.00,1445.20,1460.00,1462.00,1441.09,1807.70,1172.80,8211667.00,11833766948.00,222519.00,Techm
24-Apr-25,EQ,1445.00,1467.50,1434.30,1439.60,1446.60,1445.20,1447.56,1807.70,1172.80,2501415.00,3620949750.50,90271.00,Techm
