Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,3654.00,3655.90,3613.40,3636.80,3633.20,3633.70,3630.78,3867.00,2925.00,525064.00,1906389308.60,40579.00,Titan
15-May-25,EQ,3597.00,3665.00,3553.90,3587.60,3628.80,3636.80,3619.48,3867.00,2925.00,1227751.00,4443814864.60,98154.00,Titan
14-May-25,EQ,3555.00,3610.00,3550.00,3563.20,3585.20,3587.60,3586.87,3867.00,2925.00,588159.00,2109652660.90,49709.00,Titan
13-May-25,EQ,3562.90,3588.40,3540.10,3562.90,3556.00,3563.20,3561.60,3867.00,2925.00,996541.00,3549280743.30,91133.00,Titan
12-May-25,EQ,3537.20,3585.00,3530.30,3510.30,3567.00,3562.90,3561.90,3867.00,2925.00,956930.00,3408490656.70,79243.00,Titan
09-May-25,EQ,3367.00,3530.00,3354.20,3369.30,3509.90,3510.30,3496.81,3867.00,2925.00,2863992.00,10014833930.60,204685.00,Titan
08-May-25,EQ,3349.90,3412.50,3325.00,3338.90,3345.00,3369.30,3373.34,3867.00,2925.00,1597339.00,5388367799.20,111344.00,Titan
07-May-25,EQ,3280.00,3381.00,3260.20,3299.30,3338.00,3338.90,3332.39,3867.00,2925.00,1047443.00,3490492196.10,69814.00,Titan
06-May-25,EQ,3321.80,3325.30,3245.50,3321.80,3291.00,3299.30,3281.15,3867.00,2925.00,650789.00,2135339392.10,63207.00,Titan
05-May-25,EQ,3357.70,3408.50,3307.00,3341.00,3315.00,3321.80,3350.37,3867.00,2925.00,565178.00,1893554061.90,51968.00,Titan
02-May-25,EQ,3362.10,3381.50,3324.00,3379.70,3330.00,3341.00,3350.10,3867.00,2925.00,668467.00,2239431081.30,80561.00,Titan
30-Apr-25,EQ,3374.00,3409.00,3354.30,3378.60,3356.30,3379.70,3386.38,3867.00,2925.00,708818.00,2400328199.20,56811.00,Titan
29-Apr-25,EQ,3375.90,3398.00,3354.00,3369.10,3375.20,3378.60,3378.78,3867.00,2925.00,575435.00,1944270229.70,57300.00,Titan
28-Apr-25,EQ,3356.00,3397.40,3351.00,3365.20,3369.90,3369.10,3374.56,3867.00,2925.00,384147.00,1296325533.10,44189.00,Titan
25-Apr-25,EQ,3382.60,3419.50,3316.00,3382.60,3357.00,3365.20,3364.77,3867.00,2925.00,704325.00,2369889835.80,56990.00,Titan
24-Apr-25,EQ,3356.80,3395.00,3344.00,3357.30,3387.00,3382.60,3374.40,3867.00,2925.00,901747.00,3042853754.40,55946.00,Titan
