Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,5594.00,5610.50,5545.00,5577.50,5589.50,5583.00,5580.79,8345.00,4196.00,808195.00,4510369950.50,73942.00,Trent
15-May-25,EQ,5362.00,5630.00,5311.50,5362.00,5565.50,5577.50,5495.20,8345.00,4196.00,1521892.00,8363098161.50,144602.00,Trent
14-May-25,EQ,5340.00,5412.00,5291.50,5326.50,5360.00,5362.00,5365.09,8345.00,4196.00,557468.00,2990864387.00,65260.00,Trent
13-May-25,EQ,5444.00,5456.50,5320.00,5441.00,5338.00,5326.50,5359.75,8345.00,4196.00,728870.00,3906558251.50,78752.00,Trent
12-May-25,EQ,5330.00,5478.00,5225.00,5113.00,5460.00,5441.00,5376.59,8345.00,4196.00,1203631.00,6471429932.00,99818.00,Trent
09-May-25,EQ,5063.50,5207.50,5063.50,5226.50,5121.50,5113.00,5129.59,8345.00,4196.00,778167.00,3991673914.50,93180.00,Trent
08-May-25,EQ,5233.00,5319.00,5179.50,5233.00,5183.00,5226.50,5254.25,8345.00,4196.00,926044.00,4865665615.50,93452.00,Trent
07-May-25,EQ,5145.00,5271.00,5142.50,5224.00,5229.00,5233.00,5220.72,8345.00,4196.00,711009.00,3711980967.50,84497.00,Trent
06-May-25,EQ,5381.00,5423.50,5210.00,5370.50,5220.00,5224.00,5299.98,8345.00,4196.00,709414.00,3759878412.00,79574.00,Trent
05-May-25,EQ,5175.00,5382.00,5155.00,5148.00,5380.00,5370.50,5329.51,8345.00,4196.00,1310015.00,6981744441.00,102701.00,Trent
02-May-25,EQ,5172.50,5268.50,5129.50,5172.50,5133.00,5148.00,5190.78,8345.00,4052.40,920201.00,4776565511.50,100813.00,Trent
30-Apr-25,EQ,5435.00,5435.00,5120.00,5391.50,5135.00,5172.50,5197.34,8345.00,4052.40,2709549.00,14082452023.50,187605.00,Trent
29-Apr-25,EQ,5221.00,5510.00,5175.00,5209.50,5510.00,5391.50,5325.53,8345.00,4052.40,1420743.00,7566204020.00,120293.00,Trent
28-Apr-25,EQ,5124.50,5252.00,5115.00,5145.00,5209.00,5209.50,5204.36,8345.00,4052.40,982085.00,5111120632.50,79776.00,Trent
25-Apr-25,EQ,5334.00,5356.00,5105.00,5323.50,5124.00,5145.00,5177.72,8345.00,4052.40,1030377.00,5335004613.00,121287.00,Trent
24-Apr-25,EQ,5311.00,5399.00,5256.00,5329.00,5320.00,5323.50,5327.72,8345.00,4052.40,1039905.00,5540326729.50,103136.00,Trent
23-Apr-25,EQ,5350.50,5382.00,5210.50,5323.00,5334.00,5329.00,5292.75,8345.00,4052.40,970478.00,5136500853.00,98611.00,Trent
22-Apr-25,EQ,5379.00,5418.50,5300.00,5360.00,5309.00,5323.00,5348.25,8345.00,4052.40,1166872.00,6240720549.00,100057.00,Trent
21-Apr-25,EQ,5180.00,5374.50,5126.00,5130.50,5352.00,5360.00,5287.71,8345.00,4052.40,1309441.00,6923949345.50,114453.00,Trent
17-Apr-25,EQ,5052.00,5144.00,4954.00,5035.50,5117.50,5130.50,5078.03,8345.00,3912.40,1464066.00,7434577880.00,148117.00,Trent
16-Apr-25,EQ,4922.00,5049.50,4852.00,4877.00,5042.00,5035.50,4985.45,8345.00,3912.40,1589998.00,7926857218.00,142580.00,Trent
15-Apr-25,EQ,4879.00,4985.00,4830.50,4780.55,4887.00,4877.00,4895.31,8345.00,3912.40,1587931.00,7773412088.50,159023.00,Trent
11-Apr-25,EQ,4782.50,4830.00,4660.75,4620.20,4785.00,4780.55,4773.45,8345.00,3894.90,1894062.00,9041204228.75,150658.00,Trent
09-Apr-25,EQ,4767.00,4767.20,4605.00,4767.20,4625.70,4620.20,4645.72,8345.00,3894.90,1598513.00,7426235972.10,156575.00,Trent
08-Apr-25,EQ,4903.00,4964.05,4684.20,4740.95,4760.00,4767.20,4766.67,8345.00,3894.90,3035242.00,14468011018.70,220402.00,Trent
07-Apr-25,EQ,5006.60,5006.60,4488.00,5562.85,4745.05,4740.95,4678.56,8345.00,3894.90,7644740.00,35766341965.25,500834.00,Trent
04-Apr-25,EQ,5688.00,5688.00,5544.40,5675.30,5567.90,5562.85,5589.57,8345.00,3843.00,680922.00,3806059249.30,75498.00,Trent
03-Apr-25,EQ,5630.00,5751.00,5610.00,5682.50,5666.00,5675.30,5700.53,8345.00,3843.00,960710.00,5476552310.00,92359.00,Trent
02-Apr-25,EQ,5630.55,5702.00,5515.80,5576.75,5666.30,5682.50,5633.65,8345.00,3843.00,1491897.00,8404825124.80,110619.00,Trent
01-Apr-25,EQ,5350.85,5614.95,5334.20,5325.15,5568.10,5576.75,5553.87,8345.00,3843.00,2260895.00,12556718286.80,179166.00,Trent
28-Mar-25,EQ,5422.95,5525.95,5290.00,5422.30,5306.05,5325.15,5400.91,8345.00,3843.00,1535964.00,8295597962.30,129118.00,Trent
27-Mar-25,EQ,5359.00,5444.95,5335.80,5321.95,5415.00,5422.30,5399.63,8345.00,3843.00,1670468.00,9019912938.60,150239.00,Trent
26-Mar-25,EQ,5205.00,5410.00,5118.50,5185.05,5308.00,5321.95,5301.06,8345.00,3843.00,1625697.00,8617921047.50,136914.00,Trent
25-Mar-25,EQ,5121.45,5248.80,5066.00,5054.70,5183.00,5185.05,5166.60,8345.00,3843.00,1461587.00,7551438707.85,124423.00,Trent
24-Mar-25,EQ,5150.45,5168.15,5044.80,5150.05,5063.00,5054.70,5085.98,8345.00,3843.00,908085.00,4618503397.30,86001.00,Trent
21-Mar-25,EQ,5224.50,5293.45,5125.50,5221.55,5138.00,5150.05,5177.54,8345.00,3843.00,1197537.00,6200291085.90,103497.00,Trent
20-Mar-25,EQ,5247.00,5275.55,5158.80,5230.85,5215.00,5221.55,5216.99,8345.00,3843.00,759448.00,3962029026.05,104367.00,Trent
19-Mar-25,EQ,5276.05,5299.90,5194.60,5260.25,5233.00,5230.85,5254.54,8345.00,3843.00,957079.00,5029007115.75,100774.00,Trent
18-Mar-25,EQ,5185.30,5285.40,5171.45,5159.55,5258.00,5260.25,5229.24,8345.00,3843.00,994888.00,5202510431.45,90479.00,Trent
17-Mar-25,EQ,5022.40,5179.90,5014.00,5022.40,5150.00,5159.55,5132.96,8345.00,3843.00,856529.00,4396529788.05,93390.00,Trent
13-Mar-25,EQ,5030.00,5107.90,4970.10,5015.35,5020.80,5022.40,5044.72,8345.00,3843.00,860279.00,4339865009.25,81246.00,Trent
12-Mar-25,EQ,5010.60,5105.00,4960.00,4995.45,5025.10,5015.35,5037.55,8345.00,3843.00,1026027.00,5168666523.10,83968.00,Trent
