Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,11950.00,11990.00,11857.00,11894.00,11915.00,11905.00,11917.28,12339.00,9427.10,209706.00,2499124960.00,58092.00,Ultracemco
15-May-25,EQ,11672.00,11932.00,11643.00,11672.00,11898.00,11894.00,11810.51,12339.00,9427.10,371371.00,4386081964.00,85017.00,Ultracemco
14-May-25,EQ,11676.00,11741.00,11624.00,11661.00,11692.00,11672.00,11679.31,12339.00,9427.10,179337.00,2094532337.00,37721.00,Ultracemco
13-May-25,EQ,11700.00,11748.00,11566.00,11736.00,11675.00,11661.00,11660.55,12339.00,9427.10,307678.00,3587695343.00,73888.00,Ultracemco
12-May-25,EQ,11590.00,11767.00,11565.00,11364.00,11745.00,11736.00,11662.23,12339.00,9427.10,182795.00,2131796695.00,42975.00,Ultracemco
09-May-25,EQ,11480.00,11558.00,11313.00,11631.00,11373.00,11364.00,11378.05,12339.00,9408.05,200270.00,2278682501.00,44207.00,Ultracemco
08-May-25,EQ,11601.00,11740.00,11539.00,11658.00,11539.00,11631.00,11638.56,12339.00,9408.05,388912.00,4526377227.00,68659.00,Ultracemco
07-May-25,EQ,11651.00,11700.00,11553.00,11693.00,11650.00,11658.00,11638.22,12339.00,9408.05,217460.00,2530847913.00,46430.00,Ultracemco
06-May-25,EQ,11699.00,11729.00,11544.00,11670.00,11660.00,11693.00,11657.32,12339.00,9408.05,273048.00,3183008987.00,44045.00,Ultracemco
05-May-25,EQ,11702.00,11728.00,11652.00,11644.00,11664.00,11670.00,11690.29,12339.00,9408.05,145699.00,1703263841.00,34830.00,Ultracemco
02-May-25,EQ,11641.00,11750.00,11481.00,11641.00,11650.00,11644.00,11632.05,12339.00,9408.05,255248.00,2969057482.00,54821.00,Ultracemco
30-Apr-25,EQ,11869.00,11925.00,11500.00,11869.00,11635.00,11641.00,11690.29,12339.00,9408.05,630392.00,7369467532.00,84540.00,Ultracemco
29-Apr-25,EQ,12201.00,12222.00,11800.00,12114.00,11850.00,11869.00,11916.39,12339.00,9408.05,516495.00,6154756933.00,81068.00,Ultracemco
28-Apr-25,EQ,12232.00,12339.00,12001.00,12237.00,12128.00,12114.00,12176.64,12339.00,9408.05,516745.00,6292216725.00,85617.00,Ultracemco
25-Apr-25,EQ,12149.00,12304.00,11860.00,12159.00,12190.00,12237.00,12152.24,12304.00,9408.05,412558.00,5013504624.00,74435.00,Ultracemco
24-Apr-25,EQ,11877.00,12188.00,11870.00,11949.00,12175.00,12159.00,12102.41,12188.00,9408.05,339743.00,4111707703.00,61628.00,Ultracemco
23-Apr-25,EQ,12040.00,12040.00,11826.00,11959.00,11867.00,11949.00,11920.31,12145.35,9408.05,267717.00,3191269838.00,52644.00,Ultracemco
22-Apr-25,EQ,11934.00,12017.00,11850.00,11934.00,11917.00,11959.00,11979.14,12145.35,9408.05,334667.00,4009023023.00,51365.00,Ultracemco
21-Apr-25,EQ,11816.00,12110.00,11781.00,11901.00,11931.00,11934.00,11984.98,12145.35,9408.05,230595.00,2763676318.00,48907.00,Ultracemco
17-Apr-25,EQ,11667.00,11922.00,11600.00,11728.00,11900.00,11901.00,11805.46,12145.35,9250.00,290473.00,3429166427.00,73621.00,Ultracemco
16-Apr-25,EQ,11667.00,11827.00,11667.00,11719.00,11741.00,11728.00,11758.79,12145.35,9250.00,268150.00,3153120543.00,44368.00,Ultracemco
15-Apr-25,EQ,11749.00,11749.00,11581.00,11502.65,11710.00,11719.00,11699.79,12145.35,9250.00,345260.00,4039469673.00,73287.00,Ultracemco
11-Apr-25,EQ,11842.35,11842.35,11454.05,11397.05,11500.00,11502.65,11547.62,12145.35,9250.00,351037.00,4053643064.05,60234.00,Ultracemco
09-Apr-25,EQ,11288.85,11423.00,11180.00,11270.45,11367.00,11397.05,11344.25,12145.35,9250.00,230611.00,2616109017.00,38075.00,Ultracemco
08-Apr-25,EQ,11317.75,11542.75,11240.80,11191.60,11275.00,11270.45,11331.35,12145.35,9250.00,602120.00,6822833917.00,98177.00,Ultracemco
07-Apr-25,EQ,11200.00,11300.05,11015.05,11498.65,11288.90,11191.60,11110.08,12145.35,9250.00,484513.00,5382976037.95,92786.00,Ultracemco
04-Apr-25,EQ,11599.00,11613.50,11421.00,11606.60,11500.00,11498.65,11492.67,12145.35,9250.00,222191.00,2553568851.90,42520.00,Ultracemco
03-Apr-25,EQ,11189.00,11650.05,11155.00,11250.95,11595.10,11606.60,11508.39,12145.35,9250.00,361884.00,4164702313.00,51687.00,Ultracemco
02-Apr-25,EQ,11360.00,11360.00,11178.10,11378.65,11275.00,11250.95,11237.33,12145.35,9250.00,376468.00,4230496231.20,53198.00,Ultracemco
01-Apr-25,EQ,11350.00,11565.65,11337.15,11509.55,11386.80,11378.65,11406.74,12145.35,9250.00,263144.00,3001615364.70,51116.00,Ultracemco
28-Mar-25,EQ,11585.50,11699.00,11458.65,11599.60,11481.10,11509.55,11534.35,12145.35,9250.00,280960.00,3240689786.75,49077.00,Ultracemco
27-Mar-25,EQ,11400.50,11629.95,11350.00,11402.10,11580.00,11599.60,11539.24,12145.35,9250.00,406112.00,4686225214.00,81057.00,Ultracemco
26-Mar-25,EQ,11381.00,11487.00,11300.00,11421.20,11401.00,11402.10,11430.83,12145.35,9250.00,401569.00,4590266489.65,56572.00,Ultracemco
25-Mar-25,EQ,11240.00,11478.85,11204.70,11051.20,11406.00,11421.20,11406.47,12145.35,9250.00,754457.00,8605690643.70,107473.00,Ultracemco
24-Mar-25,EQ,11018.95,11077.95,10853.85,10976.75,11050.00,11051.20,11005.52,12145.35,9250.00,294688.00,3243193967.70,40849.00,Ultracemco
21-Mar-25,EQ,11019.00,11064.00,10885.65,10948.15,10985.05,10976.75,10970.12,12145.35,9250.00,656565.00,7202598007.30,52274.00,Ultracemco
20-Mar-25,EQ,10931.15,11240.00,10816.00,10933.25,10933.00,10948.15,10892.96,12145.35,9250.00,549251.00,5982970409.65,69007.00,Ultracemco
19-Mar-25,EQ,10710.00,10945.10,10700.00,10698.10,10930.00,10933.25,10868.59,12145.35,9250.00,269175.00,2925552519.90,43132.00,Ultracemco
18-Mar-25,EQ,10570.00,10745.00,10551.00,10547.10,10690.00,10698.10,10675.73,12145.35,9250.00,354620.00,3785826052.40,66426.00,Ultracemco
17-Mar-25,EQ,10546.50,10577.35,10448.00,10452.10,10531.55,10547.10,10521.97,12145.35,9250.00,212061.00,2231298591.05,42223.00,Ultracemco
13-Mar-25,EQ,10520.00,10520.00,10380.10,10520.40,10458.00,10452.10,10441.76,12145.35,9250.00,219474.00,2291695762.50,36641.00,Ultracemco
12-Mar-25,EQ,10480.00,10549.80,10362.00,10439.25,10493.70,10520.40,10452.82,12145.35,9250.00,299765.00,3133388728.65,46444.00,Ultracemco
11-Mar-25,EQ,10411.00,10508.55,10356.25,10520.10,10458.60,10439.25,10447.70,12145.35,9250.00,180753.00,1888453990.60,38540.00,Ultracemco
10-Mar-25,EQ,10589.00,10645.60,10477.00,10582.40,10478.50,10520.10,10537.97,12145.35,9250.00,165649.00,1745604916.05,29030.00,Ultracemco
07-Mar-25,EQ,10501.00,10609.60,10446.70,10493.50,10560.05,10582.40,10571.75,12145.35,9250.00,302339.00,3196250841.65,55209.00,Ultracemco
06-Mar-25,EQ,10539.80,10540.00,10317.20,10464.20,10469.90,10493.50,10431.79,12145.35,9250.00,365920.00,3817200850.90,78871.00,Ultracemco
05-Mar-25,EQ,10387.90,10506.80,10295.25,10370.10,10457.55,10464.20,10403.96,12145.35,9250.00,310832.00,3233884581.65,71514.00,Ultracemco
04-Mar-25,EQ,10250.00,10454.80,10240.00,10340.80,10373.40,10370.10,10363.33,12145.35,9250.00,352922.00,3657446084.85,66697.00,Ultracemco
03-Mar-25,EQ,10319.25,10621.80,10283.15,10128.45,10348.00,10340.80,10362.21,12145.35,9250.00,835344.00,8656013709.75,101846.00,Ultracemco
28-Feb-25,EQ,10490.00,10490.00,10047.85,10447.65,10089.25,10128.45,10245.66,12145.35,9250.00,1230856.00,12610929778.00,122882.00,Ultracemco
27-Feb-25,EQ,10800.00,10800.00,10264.40,10964.15,10450.00,10447.65,10438.18,12145.35,9250.00,1722295.00,17977627891.50,166691.00,Ultracemco
25-Feb-25,EQ,11042.65,11054.25,10841.00,11042.65,10950.00,10964.15,10935.24,12145.35,9250.00,296499.00,3242286771.50,59380.00,Ultracemco
24-Feb-25,EQ,11008.65,11170.00,10975.05,11157.25,11036.95,11042.65,11098.36,12145.35,9250.00,175294.00,1945475234.95,47524.00,Ultracemco
21-Feb-25,EQ,11265.00,11290.00,10990.00,11287.60,11160.25,11157.25,11107.14,12145.35,9250.00,320240.00,3556949608.80,69280.00,Ultracemco
20-Feb-25,EQ,11291.10,11330.00,11245.20,11291.55,11256.00,11287.60,11301.42,12145.35,9250.00,142187.00,1606915445.15,32476.00,Ultracemco
19-Feb-25,EQ,11290.00,11460.00,11231.00,11308.90,11286.15,11291.55,11338.98,12145.35,9250.00,157580.00,1786797136.00,34374.00,Ultracemco
18-Feb-25,EQ,11450.00,11460.60,11251.00,11490.10,11283.05,11308.90,11318.07,12145.35,9250.00,268795.00,3042239335.90,43083.00,Ultracemco
17-Feb-25,EQ,11219.00,11509.90,11043.40,11263.85,11464.15,11490.10,11337.44,12145.35,9250.00,166053.00,1882616205.05,40481.00,Ultracemco
14-Feb-25,EQ,11589.00,11589.00,11182.00,11546.45,11256.00,11263.85,11299.13,12145.35,9250.00,279199.00,3154704929.30,50050.00,Ultracemco
13-Feb-25,EQ,11500.00,11649.90,11422.20,11478.50,11506.30,11546.45,11570.50,12145.35,9250.00,336128.00,3889167908.55,82868.00,Ultracemco
12-Feb-25,EQ,11300.00,11599.00,11074.60,11300.20,11466.00,11478.50,11373.57,12145.35,9250.00,347198.00,3948882383.90,74704.00,Ultracemco
11-Feb-25,EQ,11497.00,11515.60,11240.25,11532.30,11309.00,11300.20,11365.03,12145.35,9250.00,301338.00,3424714324.85,69132.00,Ultracemco
10-Feb-25,EQ,11520.00,11613.70,11490.00,11640.60,11505.00,11532.30,11536.86,12145.35,9250.00,262455.00,3027906597.25,47706.00,Ultracemco
07-Feb-25,EQ,11501.10,11733.00,11475.05,11477.35,11641.00,11640.60,11645.89,12145.35,9250.00,310549.00,3616620356.15,78341.00,Ultracemco
06-Feb-25,EQ,11577.20,11619.55,11327.70,11585.70,11480.00,11477.35,11462.36,12145.35,9250.00,308664.00,3538018281.20,66968.00,Ultracemco
05-Feb-25,EQ,11519.10,11632.85,11433.00,11519.15,11540.00,11585.70,11563.56,12145.35,9250.00,236897.00,2739372770.55,45416.00,Ultracemco
04-Feb-25,EQ,11200.10,11547.85,11112.15,11174.65,11499.00,11519.15,11410.05,12145.35,9250.00,314752.00,3591335389.90,73661.00,Ultracemco
03-Feb-25,EQ,11120.25,11282.80,10951.40,11259.15,11157.00,11174.65,11094.73,12145.35,9250.00,450593.00,4999207587.65,54636.00,Ultracemco
01-Feb-25,EQ,11544.90,11787.00,10798.25,11487.45,11318.00,11259.15,11388.94,12145.35,9250.00,513602.00,5849380061.50,79102.00,Ultracemco
31-Jan-25,EQ,11488.65,11599.00,11392.15,11479.40,11599.00,11487.45,11490.01,12145.35,9250.00,361656.00,4155432412.15,52858.00,Ultracemco
30-Jan-25,EQ,11544.85,11612.50,11450.00,11544.85,11527.90,11479.40,11496.29,12145.35,9250.00,274820.00,3159410782.80,51986.00,Ultracemco
29-Jan-25,EQ,11296.35,11574.95,11260.85,11296.35,11545.00,11544.85,11500.65,12145.35,9250.00,377755.00,4344426362.95,70380.00,Ultracemco
28-Jan-25,EQ,11215.00,11411.60,11066.00,11239.50,11244.00,11296.35,11219.45,12145.35,9250.00,436707.00,4899610864.20,65344.00,Ultracemco
27-Jan-25,EQ,11260.00,11360.00,11150.00,11285.85,11215.00,11239.50,11271.81,12145.35,9250.00,414994.00,4677733916.80,111767.00,Ultracemco
24-Jan-25,EQ,11251.00,11609.70,11222.40,11420.90,11300.00,11285.85,11383.23,12145.35,9250.00,545939.00,6214548727.30,97245.00,Ultracemco
23-Jan-25,EQ,10690.00,11571.45,10689.95,10693.75,11406.95,11420.90,11194.20,12145.35,9250.00,1510866.00,16912929812.85,159831.00,Ultracemco
22-Jan-25,EQ,10700.00,10797.80,10606.75,10667.80,10675.00,10693.75,10695.59,12145.35,9250.00,249552.00,2669106469.80,45822.00,Ultracemco
21-Jan-25,EQ,10677.50,10968.05,10642.05,10624.45,10668.95,10667.80,10797.33,12145.35,9250.00,593842.00,6411908549.65,97398.00,Ultracemco
20-Jan-25,EQ,10587.40,10652.80,10484.25,10580.00,10635.00,10624.45,10585.92,12145.35,9250.00,332061.00,3515171809.20,50916.00,Ultracemco
17-Jan-25,EQ,10636.20,10723.95,10500.10,10636.20,10600.00,10580.00,10573.66,12145.35,9250.00,297759.00,3148403337.30,59678.00,Ultracemco
