Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,stock_name
16-May-25,EQ,257.00,257.00,253.53,256.57,254.45,254.31,254.65,596.00,228.00,6640387.00,1691007320.80,66512.00,Wipro
15-May-25,EQ,253.20,257.10,250.62,252.94,256.10,256.57,254.19,596.00,228.00,12083645.00,3071569687.64,117124.00,Wipro
14-May-25,EQ,251.57,253.69,250.75,251.57,253.20,252.94,252.34,596.00,228.00,8839105.00,2230500015.74,88004.00,Wipro
13-May-25,EQ,256.95,256.95,250.62,257.28,251.80,251.57,252.86,596.00,228.00,11714159.00,2962085356.65,100429.00,Wipro
12-May-25,EQ,245.09,257.94,244.88,242.01,256.50,257.28,252.78,596.00,228.00,19791711.00,5002986476.09,136844.00,Wipro
09-May-25,EQ,236.60,242.95,236.50,241.57,241.71,242.01,240.70,596.00,228.00,10582438.00,2547226086.27,97358.00,Wipro
08-May-25,EQ,243.11,245.83,239.31,244.04,240.50,241.57,242.35,596.00,228.00,11434833.00,2771177904.14,108236.00,Wipro
07-May-25,EQ,236.01,244.45,236.01,241.19,244.00,244.04,242.30,596.00,228.00,9130056.00,2212255938.67,88615.00,Wipro
06-May-25,EQ,244.50,245.90,240.61,243.57,240.70,241.19,243.01,596.00,228.00,8869045.00,2155233525.77,70760.00,Wipro
05-May-25,EQ,244.00,246.87,242.70,242.87,243.20,243.57,244.40,596.00,228.00,12170446.00,2974410722.35,111265.00,Wipro
02-May-25,EQ,242.04,245.80,240.75,241.50,242.50,242.87,243.16,596.00,228.00,14411726.00,3504283638.81,104403.00,Wipro
30-Apr-25,EQ,241.55,243.40,239.20,241.40,240.80,241.50,241.15,596.00,228.00,14206640.00,3425952066.70,93233.00,Wipro
29-Apr-25,EQ,241.60,243.60,239.85,240.50,241.75,241.40,241.71,596.00,228.00,16647246.00,4023826273.60,107681.00,Wipro
28-Apr-25,EQ,240.50,241.95,238.75,240.90,240.70,240.50,240.47,596.00,228.00,14218414.00,3419038037.85,85423.00,Wipro
25-Apr-25,EQ,243.95,246.15,238.05,242.75,240.50,240.90,241.42,596.00,228.00,16620430.00,4012463415.35,111293.00,Wipro
24-Apr-25,EQ,244.80,245.15,241.50,243.60,242.70,242.75,243.06,596.00,228.00,23000820.00,5590535982.10,128941.00,Wipro
